id,mean_turno,mean_neste,mean_beta,richness,name,label,geo
1,0.638742969659849,0.150360335419164,0.789103305079013,51,Race Point,RP,NN
2,0.714474673940854,0.129467707384199,0.843942381325053,32,North Galiano,NG,NW
3,0.713247456411100,0.105678253216236,0.818925709627337,75,Spanish Hills,SH,NW
4,0.912087912087912,0.083256446179640,0.995344358267553,1,Spotlight Cove West Shore,SC_W,NW
19,0.444199687195048,0.308779007794936,0.752978694989984,163,Dionisio Point,DP,NN
20,0.653608791780717,0.124774371758362,0.778383163539079,61,Therah / Dionisio,TH_DIO,NC
21,0.665175478780853,0.132232552553169,0.797408031334022,99,Therah,TH,NC
22,0.686258937500368,0.111862347172655,0.798121284673023,54,Crystal Mountain,CM,NW
23,0.795585346366596,0.107136559941587,0.902721906308184,28,Spotlight Cove,SC,NW
38,0.670013986013986,0.187174960384273,0.857188946398260,20,DL86 East Shore,DL86,NE
39,0.641647465444570,0.143754716061008,0.785402181505578,41,DL85 / DL86,DL85_86,NE
40,0.622091870010802,0.194163028671471,0.816254898682272,152,Shaw's Bog,ER128,NC
41,0.642427995455450,0.141759879049179,0.784187874504629,74,Bodega Resort,BR,NC
42,0.633647952748794,0.149183877060079,0.782831829808873,51,Bodega Cove,BC,NW
57,0.855000000000000,0.134077786813030,0.989077786813030,2,DL85 East Shore,DL85_E,NE
58,0.668513980352342,0.150174779533154,0.818688759885497,33,Shore Access 49,SA49,NE
59,0.813898814692932,0.079390342487778,0.893289157180711,36,Bodega Beach Drive,BBD,NC
60,0.747521367521368,0.178684698242140,0.926206065763508,13,East of Bodega Cove,BC_E,NC
61,0.634867677763976,0.157392553944272,0.792260231708248,36,Bodega Rdige Provincial Park West Shore,BRPP_W,NW
77,0.813333333333333,0.151087588276433,0.964420921609766,6,Bodega Beach Drive East Shore,BBD_E2,NE
78,0.728055555555556,0.197027844520931,0.925083400076487,10,Bodega Hill,BH,NC
79,0.543026184328973,0.224120422414262,0.767146606743235,118,Bodega Ridge,BRPP,NC
80,0.960000000000000,0.039031733111095,0.999031733111095,1,Bodega Ridge Southwest Shore,BRPP_SW,NW
96,0.576014571988534,0.160755856915174,0.736770428903709,77,Bodega Provincial Park East Shore,BRPP_E,NE
97,0.691449729663118,0.117384260682463,0.808833990345580,45,Bodega Ridge Trail,BRPP_T,NC
98,0.472026937482093,0.276466439352746,0.748493376834839,140,Cottage Way,CW,NC
99,0.714990534546589,0.114850858082480,0.829841392629069,57,Xetthecum West,XET,NW
115,0.636388888888889,0.268947654814180,0.905336543703069,9,Bodega Beach Drive East,BBD_E,NE
116,0.579748730693631,0.203139684134977,0.782888414828608,139,Laughlin Lake,LL,NC
117,0.545096936834820,0.202107240335750,0.747204177170570,98,Xetthecum,XET,NW
134,0.534906168759269,0.196169424992394,0.731075593751664,97,Pebble Beach,PB,NE
135,0.703094911639580,0.112643570019621,0.815738481659201,81,Cable Bay Farm,CBF,NC
136,0.550042739098212,0.193331823245913,0.743374562344126,105,MLC West,MLC_W,SW
152,0.698021367521368,0.207564561355673,0.905585928877040,13,North Cable,NC,NE
153,0.674756877894450,0.127286736997274,0.802043614891723,86,Quadra Hill,QH,NC
154,0.242557998218239,0.532647653863012,0.775205652081251,291,MLC,MLC,SW
170,0.810000000000000,0.176519516295565,0.986519516295565,2,North Cable East,NC_E,NE
171,0.820000000000000,0.156786397558270,0.976786397558270,4,Quadra Hill East,QH_E,NC
172,0.633284880215163,0.138460347411730,0.771745227626893,65,MLC East,MLC_E,SC
173,0.796744366744367,0.115064612968033,0.911808979712399,22,Ganner Shore Access,GSA,SW
174,0.733333333333333,0.245230072701681,0.978563406035015,3,Ballingall Islets,BI,SW
189,0.731666666666667,0.236820180030288,0.968486846696954,3,East Shore Mid Island,MIDG_E,NE
190,0.718840689033623,0.098565303081139,0.817405992114762,76,Dexter's Place,DEX,SC
191,0.723809579309579,0.154562608396041,0.878372187705620,22,Serenity,SER,SW
193,0.687600181312259,0.126634045492607,0.814234226804866,45,Wise Island,WI,SW
208,0.775000000000000,0.208177484586121,0.983177484586121,2,Dexter's Place East,DEX_E,SE
209,0.669519981613328,0.141448850300388,0.810968831913716,38,Mid Galiano,MIDG,SC
210,0.689796696912487,0.114590930737214,0.804387627649701,51,Sri Chinmoy South Shore,TAP_S,SW
226,0.480000000000000,0.499820018091680,0.979820018091680,1,East Shore Mid Island 2,MIDG_E2,SE
227,0.704487567434068,0.131333366667984,0.835820934102052,36,Sri Chinmoy East,TAP_E,SC
228,0.680708567867945,0.115286972414953,0.795995540282897,75,Gustin Road,GR,SC
229,0.719884067401309,0.139403103590015,0.859287170991323,29,Shore West of Montague,SUM_W,SW
230,0.877575757575758,0.088917307356983,0.966493064932740,11,Little Parker,LP,SW
245,0.670195032689782,0.136459813891137,0.806654846580918,38,Cook Cove,CC,SE
246,0.716023698523699,0.159029081507725,0.875052780031424,21,South Cook Cove Corridor,CC_H_S,SC
247,0.415991206016616,0.328686354033866,0.744677560050482,162,Sumnuw,SUM,SW
248,0.482162643128508,0.283432349283449,0.765594992411957,148,Gray Peninsula,GP,SW
249,0.840000000000000,0.153004600540247,0.993004600540247,2,Winstanley Point,WP,SW
250,0.647777777777778,0.262848282745902,0.910626060523680,9,Parker Island South,PI_S,SE
263,0.655037948088873,0.147237861040257,0.802275809129130,42,Sticks West Shore,SW,SE
264,0.550911747376203,0.196603095459648,0.747514842835851,100,Shore Access 69,SA69,SE
265,0.801161616161616,0.142904166484755,0.944065782646371,11,Hydroline East of Sumnuw,SUM_H_E,SC
266,0.768230038615585,0.094422873839290,0.862652912454875,50,Montague Marina,MM,SW
267,0.721444444444444,0.206685305704526,0.928129750148970,10,Southwind,SOUTHW,SW
268,0.644419176332000,0.144204040523849,0.788623216855849,60,Philimore Point,PP,SE
269,0.775001751699394,0.106887480226126,0.881889231925519,34,Philimore Point Cove,PP_C,SW
282,0.652296585515254,0.152105776225172,0.804402361740427,81,Sticks West Community Park,SW_CP,SE
283,0.830000000000000,0.144322824021249,0.974322824021249,5,Hydroline East of Sumnuw 2,SUM_H_E2,SC
284,0.653062769893732,0.141000661061424,0.794063430955157,40,Porlier Pass Hydroline Intersection,PP_H_X,SC
285,0.675256273332470,0.115653407109639,0.790909680442109,67,Montague Road Hydroline X,MR_H_X,SC
286,0.547553137636947,0.211221129719448,0.758774267356396,122,Mount Sutil North,MS_N,SC
287,0.537496789737890,0.265237035730415,0.802733825468305,166,Mount Sutil,MS,SS
288,0.710172212525661,0.139456550037357,0.849628762563018,30,Collinson Point West,CP_W,SS
300,0.720848484848485,0.181195460697269,0.902043945545754,15,Shore Access 55,SA55,SE
301,0.489891399328362,0.229416078500569,0.719307477828931,106,Taylor Bay,TB,SC
302,0.624241218589697,0.137373414854029,0.761614633443726,66,Pattison Lane,PL,SC
303,0.764749634225187,0.093190535908978,0.857940170134164,39,Montague Road,MR,SC
304,0.777940626147159,0.081810753619842,0.859751379767001,45,Rose Longini's,RL,SC
305,0.591211547538929,0.219235991031325,0.810447538570253,136,Mount Galiano,MG,SS
306,0.738425480968584,0.126359613460624,0.864785094429209,32,Collinson Point Park,CPP,SS
319,0.602710684813177,0.155799078562860,0.758509763376037,53,Finlay Lake,FL,SE
320,0.719388154587677,0.101492075925722,0.820880230513399,59,Galiano Golf Course,GGC,SC
321,0.766052338971047,0.089981847321585,0.856034186292632,47,Woodstone Manor,WM,SC
322,0.741267256697202,0.093704205437786,0.834971462134988,63,Reeces' Fields,RF,SC
323,0.498693798480043,0.262052921109653,0.760746719589695,144,Georgeson Bay,GB,SS
324,0.706671831999418,0.142068572379742,0.848740404379160,33,Collinson Point,CP,SS
337,0.725878173061350,0.115972618826734,0.841850791888084,46,Lion Islet,LI,SE
338,0.738341380788110,0.101990841139682,0.840332221927793,59,Twiss,TWISS,SE
339,0.625660490292794,0.137018481375918,0.762678971668712,83,Galiano Community School,GCS,SC
340,0.612842549550856,0.142980613443916,0.755823162994772,68,Bluff Park North,BP_N,SC
341,0.405760208023192,0.343458273777025,0.749218481800217,174,Bluff Park Lookout,BP,SS
342,0.953333333333333,0.040791789624334,0.994125122957667,3,Matthew's Point West,MP_W,SS
356,0.836516203703704,0.124650153606826,0.961166357310529,9,Gossip Island,GI,SE
