,XID,CID,scientificName,Count,CSID,SID,TID,SM,XSM,eventDate,locality,Site.ID,Class,Sample,habitat,Transect,ID,Family,Order,Provenance,Duration,Habit,PFT,Aspect,Slope,Position,Canopy.cover,Soil.depth,Rock,Water,CWD,Duff,Soil,Min.soil,Shrub,Fern,Graminoid,Moss,Dist.LEV,Dist.dev,Dist.cult,Dist.mow,Dist.grz,Dist.log,Dist.pas,Dist.nat,yday
1,1ABP,XNBPA1,Acer_macrophyllum,100,XNBP,1BP,ABP,14.875,4.415,2018-04-13,Bluffs Park,BP,XN,1,partly sheltered outcrop base,A,ACEMAC,Aceraceae,Sapindales,native,perennial,tree,perennial_tree,236,70,MD,23,2,40,0,5,5,10,0,5,0,30,30,M,NA,NA,NA,GRZ,NA,NA,NAT,102
2,1ABP,XNBPA1,Cardamine_hirsuta,4,XNBP,1BP,ABP,14.875,4.415,2018-04-13,Bluffs Park,BP,XN,1,partly sheltered outcrop base,A,CARHIR,Brassicaceae,Brassicales,exotic,annual,forb,annual_forb,236,70,MD,23,2,40,0,5,5,10,0,5,0,30,30,M,NA,NA,NA,GRZ,NA,NA,NAT,102
3,1ABP,XNBPA1,Claytonia_perfoliata,7,XNBP,1BP,ABP,14.875,4.415,2018-04-13,Bluffs Park,BP,XN,1,partly sheltered outcrop base,A,CLAPER,Montiaceae,Caryophyllales,native,annual,forb,annual_forb,236,70,MD,23,2,40,0,5,5,10,0,5,0,30,30,M,NA,NA,NA,GRZ,NA,NA,NAT,102
4,1ABP,XNBPA1,Collinsia_grandiflora,4,XNBP,1BP,ABP,14.875,4.415,2018-04-13,Bluffs Park,BP,XN,1,partly sheltered outcrop base,A,COLGRA,Plantaginaceae,Lamiales,native,annual,forb,annual_forb,236,70,MD,23,2,40,0,5,5,10,0,5,0,30,30,M,NA,NA,NA,GRZ,NA,NA,NAT,102
5,1ABP,XNBPA1,Collinsia_parviflora,227,XNBP,1BP,ABP,14.875,4.415,2018-04-13,Bluffs Park,BP,XN,1,partly sheltered outcrop base,A,COLPAR,Plantaginaceae,Lamiales,native,annual,forb,annual_forb,236,70,MD,23,2,40,0,5,5,10,0,5,0,30,30,M,NA,NA,NA,GRZ,NA,NA,NAT,102
6,1ABP,XNBPA1,Erodium_cicutarium,26,XNBP,1BP,ABP,14.875,4.415,2018-04-13,Bluffs Park,BP,XN,1,partly sheltered outcrop base,A,EROCIC,Geraniaceae,Geraniales,exotic,annual,forb,annual_forb,236,70,MD,23,2,40,0,5,5,10,0,5,0,30,30,M,NA,NA,NA,GRZ,NA,NA,NAT,102
7,1ABP,XNBPA1,Erythranthe_alsinoides,30,XNBP,1BP,ABP,14.875,4.415,2018-04-13,Bluffs Park,BP,XN,1,partly sheltered outcrop base,A,ERYALS,Phrymaceae,Lamiales,native,annual,forb,annual_forb,236,70,MD,23,2,40,0,5,5,10,0,5,0,30,30,M,NA,NA,NA,GRZ,NA,NA,NAT,102
8,1ABP,XNBPA1,Lomatium_utriculatum,16,XNBP,1BP,ABP,14.875,4.415,2018-04-13,Bluffs Park,BP,XN,1,partly sheltered outcrop base,A,LOMUTR,Apiaceae,Apiales,native,perennial,forb,perennial_forb,236,70,MD,23,2,40,0,5,5,10,0,5,0,30,30,M,NA,NA,NA,GRZ,NA,NA,NAT,102
9,1ABP,XNBPA1,Trifolium_variegatum,2,XNBP,1BP,ABP,14.875,4.415,2018-04-13,Bluffs Park,BP,XN,1,partly sheltered outcrop base,A,TRIVAR,Fabaceae,Fabales,native,annual,forb,annual_forb,236,70,MD,23,2,40,0,5,5,10,0,5,0,30,30,M,NA,NA,NA,GRZ,NA,NA,NAT,102
10,1ABR,XNBRA1,Arctostaphylos_columbiana,60,XNBR,1BR,ABR,16.15,3.47,2018-04-09,Bodega Ridge,BR,XN,1,exposed outcrop,A,ARCCOL,Ericaceae,Ericales,native,perennial,shrub,perennial_shrub,210,120,NA,27,1,5,0,15,0,0,20,10,0,20,50,L,NA,NA,NA,GRZ,NA,NA,NA,98
