"","iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","coordinateUncertaintyInMeters"
"1","Scaphinotus angusticollis",63575,"Scaphinotus angusticollis",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Adephaga","","Caraboidea","Carabidae","Carabinae","Cychrini","Scaphinotus","angusticollis","iNat:716515",48.923935,-123.447136,"2014-06-03",NA,NA,"Andrew Simon","false",6
"2","Blera humeralis",869841,"Blera humeralis",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","Syrphidae","Eristalinae","Milesiini","Blera","humeralis","iNat:726389",48.920781,-123.451406,"2014-06-08",NA,NA,"Andrew Simon","false",101
"3","Papilio eurymedon",55521,"Papilio eurymedon",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Papilionoidea","Papilionidae","Papilioninae","Papilionini","Papilio","eurymedon","iNat:726629",48.920224,-123.450859,"2014-06-05",NA,NA,"Andrew Simon","false",26
"4","Pristoceuthophilus",91306,"Pristoceuthophilus",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Orthoptera","Ensifera","Tettigoniidea","Rhaphidophoroidea","Rhaphidophoridae","Ceuthophilinae","Pristoceuthophilini","Pristoceuthophilus","","iNat:726641",48.920195,-123.450923,"2014-06-05",NA,NA,"Andrew Simon","false",31
"5","Spilosoma virginica",60839,"Spilosoma virginica",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Erebidae","Arctiinae","Arctiini","Spilosoma","virginica","iNat:726916",48.920153,-123.450515,"2014-06-05",NA,NA,"Andrew Simon","false",55
"6","Sergiolus columbianus",230819,"Sergiolus columbianus",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Gnaphosoidea","Gnaphosidae","Herpyllinae","","Sergiolus","columbianus","iNat:728018",48.920217,-123.450848,"2014-06-09",NA,NA,"Andrew Simon","false",19
"7","Bombus melanopygus",130222,"Bombus melanopygus",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Apidae","Apinae","Bombini","Bombus","melanopygus","iNat:730443",48.920368,-123.45061,"2014-06-10",NA,NA,"Andrew Simon","false",17
"8","Platycryptus californicus",228315,"Platycryptus californicus",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Salticoidea","Salticidae","Salticinae","Dendryphantini","Platycryptus","californicus","iNat:735770",48.92028,-123.450773,"2014-06-13",NA,NA,"Andrew Simon","false",21
"9","Eratigena duellica",750907,"Eratigena duellica",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Agelenoidea","Agelenidae","Ageleninae","","Eratigena","duellica","iNat:748881",48.920238,-123.450655,"2014-06-21",NA,NA,"Andrew Simon","false",21
"10","Omus dejeanii",226395,"Omus dejeanii",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Adephaga","","Caraboidea","Carabidae","Cicindelinae","Megacephalini","Omus","dejeanii","iNat:1287081",48.930933,-123.47429,"2015-03-04",NA,NA,"Andrew Simon","false",43
"11","Lycosidae",47416,"Lycosidae",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Lycosoidea","Lycosidae","","","","","iNat:1287083",48.930454,-123.473904,"2015-03-04",NA,NA,"Andrew Simon","false",43
"12","Trombidiidae",57652,"Trombidiidae",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","Acari","Acariformes","Trombidiformes","Parasitengona","Trombidia","Trombidioidea","Trombidiidae","","","","","iNat:1288458",48.932145,-123.473389,"2015-02-15",NA,NA,"Andrew Simon","false",43
"13","Collembola",49470,"Collembola",NA,"Animalia","Arthropoda","Hexapoda","","Entognatha","Collembola","","","","","","","","","","","iNat:1288465",48.930919,-123.479333,"2015-03-04",NA,NA,"Andrew Simon","false",43
"14","Empididae",49460,"Empididae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Orthorrhapha","Empidoidea","Empididae","","","","","iNat:1288488",48.930823,-123.477359,"2015-03-04",NA,NA,"Andrew Simon","false",87
"15","Simuliidae",63164,"Simuliidae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Nematocera","Culicomorpha","Chironomoidea","Simuliidae","","","","","iNat:1295300",48.932313,-123.484708,"2015-03-13",NA,NA,"Andrew Simon","false",21
"16","Amara",130434,"Amara",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Adephaga","","Caraboidea","Carabidae","Pterostichinae","Zabrini","Amara","","iNat:1295355",48.929977,-123.468733,"2015-03-13",NA,NA,"Andrew Simon","false",87
"17","Pardosa",47415,"Pardosa",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Lycosoidea","Lycosidae","Pardosinae","","Pardosa","","iNat:1295363",48.928821,-123.469806,"2015-03-13",NA,NA,"Andrew Simon","false",87
"18","Callophrys gryneus plicataria",234704,"Callophrys gryneus plicataria",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Papilionoidea","Lycaenidae","Theclinae","Eumaeini","Callophrys","gryneus","iNat:1563736",48.930033,-123.467231,"2015-05-28",NA,NA,"Andrew Simon","false",87
"19","Agelenidae",47345,"Agelenidae",NA,"Animalia","Arthropoda","Chelicerata","","Arachnida","","","Araneae","Araneomorphae","Entelegynae","Agelenoidea","Agelenidae","","","","","iNat:1563796",48.928624,-123.468046,"2015-05-28",NA,NA,"Andrew Simon","false",87
"20","Adela septentrionella",317689,"Adela septentrionella",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Adeloidea","Adelidae","Adelinae","","Adela","septentrionella","iNat:1564628",48.926909,-123.466072,"2015-05-14",NA,NA,"Andrew Simon","false",174
"21","Enallagma",50175,"Enallagma",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Odonata","Zygoptera","","Coenagrionoidea","Coenagrionidae","","","Enallagma","","iNat:1637889",48.933417,-123.484011,"2015-06-05",NA,NA,"Andrew Simon","false",13809
"22","Rhionaeschna multicolor",67737,"Rhionaeschna multicolor",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Odonata","Anisoptera","","Aeshnoidea","Aeshnidae","","","Rhionaeschna","multicolor","iNat:1690511",48.93137,-123.477745,"2015-06-24",NA,NA,"Andrew Simon","false",43
