Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name,Observation Taxon Name
Ambystoma gracile,"(Baird, 1859)",,northwestern salamander,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,Ambystoma,gracile,,,,native,S4S5 (2016),,new 2016,observed,,,,,,2016-04-10,Marlin Stewart,iNat:2914558,,26747,HER,accepted,26747,Ambystoma gracile,Ambystoma gracile,Ambystoma gracile
Ambystoma macrodactylum,"Baird, 1849",,long-toed salamander,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,Ambystoma,macrodactylum,,,,native,S5 (2016),,new 2016,observed,,,,,,2016-10-30,Jenny Breukelman,iNat:4469044,,26754,HER,accepted,26754,Ambystoma macrodactylum,Ambystoma macrodactylum,Ambystoma macrodactylum macrodactylum
Contia tenuis,Baird & Girard,,sharp-tailed snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Dipsadinae,,Contia,tenuis,,,,native,S1S2 (2018),,reported,unobserved,,"BC Ministry of Water, Land & Air Protection",Sharp-tailed Snake Wildlife in BC At Risk Report,,,,,,considered extirpated,26916,HER,accepted,26916,Contia tenuis,Contia tenuis,
Elgaria coerulea,"(Wiegmann, 1828)",,northern alligator lizard,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Anguidae,Gerrhonotinae,,Elgaria,coerulea,,,,native,S4 (2018),,new 2014,observed,,,,,,2014-08-20,Christian Adler,iNat:5258381,,32064,HER,accepted,32064,Elgaria coerulea,Elgaria coerulea,Elgaria coerulea
Pituophis catenifer catenifer,"(Blainville, 1835)",,Pacific gopher snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,Pituophis,catenifer,,catenifer,,native,SX (2018),,confirmed,observed,1957-07-01,A.I. Ortenburger,Sam Noble Oklahoma Museum of Natural History,29149,,2019-06-11,Jessica Kirkwood,iNat:26849039,long considered extirpated,51440,HER,accepted,51440,Pituophis catenifer catenifer,Pituophis catenifer catenifer,Pituophis catenifer catenifer
Pseudacris regilla,"Baird and Girard, 1852",,northern Pacific treefrog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hylidae,Acridinae,,Pseudacris,regilla,,,,native,S5 (2016),,confirmed,observed,1957,A. I. Ortenburger,Sam Noble Oklahoma Museum of Natural History.,27613,,2008-07-27,Ian Guthrie,iNat:4167009,,24259,HER,accepted,24259,Pseudacris regilla,Pseudacris regilla,Pseudacris regilla
Rana aurora,"Baird and Girard, 1852",,northern red-legged frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,Rana,aurora,,,,native,S3 (2016),,confirmed,observed,2010-04-17,Kent Brothers,VMS,,,2010-07-27,Cameron Eckert,iNat:18549880,,25545,HER,accepted,25545,Rana aurora,Rana aurora,Rana aurora
Taricha granulosa,"(Skilton, 1849)",,rough-skinned newt,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Salamandridae,Pleurodelinae,,Taricha,granulosa,,,,native,S4S5 (2016),,confirmed,observed,1979-10-28,Geoffrey G.E. Scudder,UBC,H001463,,2007-11-03,Shera Street,iNat:2635602,,27826,HER,accepted,27826,Taricha granulosa,Taricha granulosa,Taricha granulosa
Thamnophis elegans vagrans,"(Baird & Girard, 1853)",Baird & Girard (1853),wandering garter snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,Thamnophis,elegans,,vagrans,,native,S5 (2018),,new 2006,observed,,,,,,2006-07-22,jmclatchie,iNat:64748293,,28403,HER,accepted,28403,Thamnophis elegans vagrans,Thamnophis elegans vagrans,Thamnophis elegans vagrans
Thamnophis ordinoides,"(Baird & Girard, 1852)",,northwestern garter snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,Thamnophis,ordinoides,,,,native,S4 (2018),,new 2009,observed,,,,,,2009-05-03,Shera Street,iNat:2635597,,28389,HER,accepted,28389,Thamnophis ordinoides,Thamnophis ordinoides,Thamnophis ordinoides
Thamnophis sirtalis pickeringii,"(Linnaeus, 1758)","(Baird & Girard, 1853)",common garter snake,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,Thamnophis,sirtalis,,pickeringii,,native,S5 (2018),,confirmed,observed,2010-04-17,Kent Brothers,VMS,,,2012-04-14,Brian Starzomski,iNat:22396982,,28363,HER,accepted,28363,Thamnophis sirtalis pickeringii,Thamnophis sirtalis pickeringii,Thamnophis sirtalis pickeringii
Trachemys scripta elegans,"(Thunberg in Schoepff, 1792)","(Wied-Neuwied, 1839)",pond slider,Animalia,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Emydidae,Deirochelyinae,,Trachemys,scripta,,elegans,,exotic,unlisted,,new 2016,observed,,,,,,2016-06-26,Henny Schnare,iNat:3534875,,51271,HER,accepted,51271,Trachemys scripta elegans,Trachemys scripta elegans,Trachemys scripta elegans
