"Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"Abietinaria greenei","(Murray, 1860)","","fibre-optic hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Sertularioidea","Sertulariidae","","","Abietinaria","greenei","","","","native","unlisted","","reported","unobserved","1971-08-21","Andy Lamb","PMLS","","","","","","","429858","CNI"
"Abietinaria spp.","","","coarse sea fir hydroids","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Sertularioidea","Sertulariidae","","","Abietinaria","spp.","","","","","","","reported","unobserved","1981-05-31","Andy Lamb","PMLS","","","","","","","55322","CNI"
"Acanthodoris atrogriseata","O'Donoghue, 1927","","gray pilose dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","atrogriseata","","","","native","unlisted","","reported","unobserved","2008-06-15","Andy Lamb","PMLS","","","","","","reported as Acanthodoris pilosa (Abildgaard in Müller, 1789)","1080211","MOL"
"Acanthodoris hudsoni","MacFarland, 1905","","Hudson's dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","hudsoni","","","","native","unlisted","","confirmed","observed","1994-10-23","Andy Lamb","PMLS","","","2015-05-16","Peter Luckham","http://www.inaturalist.org/observations/2854926","","48447","MOL"
"Acanthodoris lutea","MacFarland, 1925","","sandalwood dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","lutea","","","","native","unlisted","","new 2009","observed","","","","","","2009-11-14","Karin Fletcher","https://inaturalist.ca/observations/68751252","","47472","MOL"
"Acanthodoris nanaimoensis","O'Donoghue, 1921","","Nanaimo nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Acanthodoris","nanaimoensis","","","","native","unlisted","","confirmed","observed","1994-10-07","Andy Lamb","PMLS","","","2013-10-13","Peter Luckham","http://www.inaturalist.org/observations/2976276","","47476","MOL"
"Acantholithodes hispidus","(Stimpson, 1860)","","hairy-spined crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Hapalogastridae","","","Acantholithodes","hispidus","","","","native","unlisted","","confirmed","observed","1994-09-10","Andy Lamb","PMLS","","","2007-10-23","Jackson Chu","https://www.inaturalist.org/observations/59908564","","450310","ART"
"Acarnus erithacus","Laubenfels, 1927","","thick encrusting scarlet sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Acarnidae","","","Acarnus","erithacus","","","","native","unlisted","","reported","unobserved","2008-08-29","Andy Lamb","PMLS","","","","","","","63669","POR"
"Acila castrensis","(Hinds, 1843)","","nutclam or nutshell","Animalia","Mollusca","","","Bivalvia","Protobranchia","","Nuculida ","","Nuculoidea","Nuculidae","","","Acila","castrensis","","","","native","unlisted","","reported","unobserved","1961-05-13","Dan B. Quayle","RBCM","982-00207-002","1898323311","","","","","339158","MOL"
"Acmaea mitra","Rathke, 1833","","whitecap limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Acmaeidae","","","Acmaea","mitra","","","","native","unlisted","","reported","unobserved","1981-05-31","Andy Lamb","PMLS","","","","","","","47676","MOL"
