Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Abrothallus welwitschii,Mont. ex Tul.,,,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,,,Abrothallales,,,Lichenoconiaceae,,,Abrothallus,welwitschii,,,,native,unlisted,,new 2021,observed,,,,,,2021-10-23,Alejandro Huereca Delgado,iNat:101068179,,,LIC
Acolium inquinans,(Sm.) A. Massal.,,cupped soot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Acolium,inquinans,,,,native,unlisted,,new 2017,observed,,,,,,2017-06-16,Andrew Simon,iNat:7503518,,636286,LIC
Alectoria sarmentosa,(Ach.) Ach.,,witch’s hair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Alectoria,sarmentosa,,,,native,S4 (2018),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L14347,,2019-05-05,Brian Starzomski,iNat:24665187,reported as Alectoria “vancouverensis”—coastal chemomorph of A sarmentosa,126626,LIC
Alyxoria varia,(Pers.) Ertz & Tehler,,scribble lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Lecanographaceae,,,Alyxoria,varia,,,,native,unlisted,,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35904,,2016-10-23,Andrew Simon,iNat:4425709,reported as Opegrapha varia,462268,LIC
Amandinea punctata,(Hoffm.) Coppins & Scheid.,,tiny button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,Amandinea,punctata,,,,native,unlisted,,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35871,,2016-10-16,Andrew Simon,iNat:4381611,reported as Buellia punctata,155082,LIC
Arthonia polygramma,Nyl.,,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,Arthonia,polygramma,,,,native,unlisted,,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,214289,LIC
Arthonia stellaris,Krempelh.,,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,Arthonia,stellaris,,,,native,SU (2020),,new 2021,observed,,,,,,2021-11-03,Randal Mindell,iNat:100262222,,214305,LIC
Arthothelium spectabile,A. Massal.,,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,Arthothelium,spectabile,,,,native,unlisted,,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L35930,,,,,reported as Arthonia spectabilis,214359,LIC
Bacidia rubella,(Hoffm.) A. Massal.,,frosty-rimmed dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,Bacidia,rubella,,,,native,unlisted,,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L48879,,,,,,205562,LIC
Blastenia ferruginea,(Huds.) Th. Fr.,,firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Caloplacoideae,,Blastenia,ferruginea,,,,native,unlisted,,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-02-21,Andrew Simon,iNat:5159803,reported as Caloplaca ferruginea (Huds.) Th. Fr.,462481,LIC
