"Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"Cribraria vulgaris","Schrad.","","slime mold","Protozoa","Mycetozoa","","","Myxomycetes","","","Liceales","","","Cribrariaceae","","","Cribraria","vulgaris","","","","","","","new 2021","observed","","","","","","2021-10-23","Pam Janszen","iNat:iNat:101241795","",382043,"PRO"
"Dictydiaethalium plumbeum","(Schumach.) Rostaf.","","slime mold","Protozoa","Mycetozoa","","","Myxomycetes","","","Liceales","","","Dictydiaethaliaceae","","","Dictydiaethalium","plumbeum","","","","cosmopolitan","unlisted","","new 2019","observed","2019-05-01","Pam Janszen","PJ private collection","Galiano #8","","2019-05-04","Pam Janszen","iNat:iNat:24652691","",324282,"PRO"
"Lycogala epidendrum","(L.) Fr.","","wolf's milk","Protozoa","Mycetozoa","","","Myxomycetes","","","Liceales","","","Tubiferaceae","","","Lycogala","epidendrum","","","","cosmopolitan","unlisted","","confirmed","observed","2012-03-11","Kent Brothers","VMS","","","2019-07-19","Kevin Toomer","iNat:iNat:29123769","",47680,"PRO"
"Reticularia lycoperdon","Bull.","","False Puffball","Protozoa","Mycetozoa","","","Myxomycetes","","","Liceales","","","Tubiferaceae","","","Reticularia","lycoperdon","","","","","","","new 2021","observed","","","","","","2021-06-05","Caitlin Robinson","iNat:iNat:81817997","",145366,"PRO"
"Tubifera ferruginosa","(Batsch) J.F. Gmel.","","red raspberry slime","Protozoa","Mycetozoa","","","Myxomycetes","","","Liceales","","","Tubiferaceae","","","Tubifera","ferruginosa","","","","cosmopolitan","unlisted","","confirmed","observed","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","","","2021-10-23","Pam Janszen","iNat:iNat:101733901","",126522,"PRO"
"Didymium bahiense","Gottsb.","","slime mold","Protozoa","Mycetozoa","","","Myxomycetes","","","Physarales","","","Didymiaceae","","","Didymium","bahiense","","","","","","","new 2022","observed","","","","","","2022-03-05","Andrew Simon","iNat:iNat:108007864","",382180,"PRO"
"Didymium difforme","(Pers.) Gray","","slime mold","Protozoa","Mycetozoa","","","Myxomycetes","","","Physarales","","","Didymiaceae","","","Didymium","difforme","","","","","","","new 2022","observed","","","","","","2022-03-05","Andrew Simon","iNat:iNat:108007865","",382181,"PRO"
"Didymium squamulosum","(Alb. & Schwein.) Fr. & Palmquist","","slime mold","Protozoa","Mycetozoa","","","Myxomycetes","","","Physarales","","","Didymiaceae","","","Didymium","squamulosum","","","","","","","new 2022","observed","","","","","","2022-03-06","Pam Janszen","iNat:iNat:111226291","",327928,"PRO"
"Badhamia foliicola","Lister","","slime mold","Protozoa","Mycetozoa","","","Myxomycetes","","","Physarales","","","Physaraceae","","","Badhamia","foliicola","","","","cosmopolitan","unlisted","","new 2017","observed","2017-05-01","Pam Janszen","PJ private collection","Galiano #4","","2017-05-27","Pam Janszen","iNat:iNat:33635443","",381369,"PRO"
"Badhamia utricularis","(Bull.) Berk","","slime mold","Protozoa","Mycetozoa","","","Myxomycetes","","","Physarales","","","Physaraceae","","","Badhamia","utricularis","","","","cosmopolitan","unlisted","","new 2018","observed","","","","","","2018-01-14","Kevin Toomer","iNat:iNat:9475067","",56264,"PRO"
