Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Protocystis sp.,,,filose amoeba,Chromista,Bigyra,,,Labyrinthulea,,,Phaeodaria,,,Challengeridae,,,Protocystis,unlisted,unlisted,new 2016,observed,,,,,,2016-01-18,Mark Webber,https://www.inaturalist.org/observations/4849188,,521012,ALG
Tintinnopsis sp.,,,ciliate,Chromista,Ciliophora,,,Oligotrichea,,,Choreotrichida,,,Codonellidae,,,Tintinnopsis,unlisted,unlisted,new 2005,observed,,,,,,2005-07-01,Mark Webber,https://www.inaturalist.org/observations/4848931,,485979,ALG
Ceratium fusus,(Ehrenberg) Dujardin,,dinoflagellate,Chromista,Miozoa,,,Dinophyceae,,,Gonyaulacales,,,Ceratiaceae,,,Ceratium,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/4848820,,203749,ALG
Ceratium lineatum,(Ehrenberg) Cleve,,dinoflagellate,Chromista,Miozoa,,,Dinophyceae,,,Gonyaulacales,,,Ceratiaceae,,,Ceratium,unlisted,unlisted,new 2006,observed,,,,,,2006-01-21,Mark Webber,https://www.inaturalist.org/observations/9291462,,345251,ALG
Dinophysis acuminata,Claparède & Lachmann,,dinoflagellate,Chromista,Miozoa,,,Dinophyceae,,,Dinophysiales,,,Dinophysiaceae,,,Dinophysis,unlisted,unlisted,new 2012,observed,,,,,,2012-08-05,Mark Webber,https://www.inaturalist.org/observations/4849148,,320121,ALG
Phalacroma rotundatum,(Claparéde & Lachmann) Kofoid & Michener,,dinoflagellate,Chromista,Miozoa,,,Dinophyceae,,,Dinophysiales,,,Dinophysiaceae,,,Phalacroma,unlisted,unlisted,new 2006,observed,,,,,,2006-01-18,Mark Webber,https://www.inaturalist.org/observations/5197633,,320131,ALG
Achnanthes sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Acnanthales,,,Achnanthaceae,,,Achnanthes,unlisted,unlisted,new 2004,observed,,,,,,2004-07-22,Mark Webber,https://www.inaturalist.org/observations/5197598,,339308,ALG
Achnanthes subconstricta,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Mastogloiales,,,Achnanthaceae,,,Achnanthes,unlisted,unlisted,new 2010,observed,,,,,,2010-07-26,Mark Webber,https://www.inaturalist.org/observations/50191595,,1100778,ALG
Actinoptychus senarius,(Ehrenberg) Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Hemipeltaceae,,,Actinoptychus,unlisted,unlisted,new 2010,observed,,,,,,2010-09-12,Mark Webber,https://www.inaturalist.org/observations/4874664,,475747,ALG
Agarum clathratum,Dumortier,,sea colander kelp,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Agaraceae,,,Agarum,unlisted,unlisted,reported,unobserved,2016-01-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,"has been recorded from the area as A. cribrosum, species distribution includes Galiano",182956,ALG
Alaria marginata,Postels & Ruprecht,,winged kelp,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Alariaceae,,,Alaria,unlisted,unlisted,confirmed,observed,1996-09-28,Andy Lamb & Donna Gibbs,PMLS,,,2016-07-18,Andrew Simon,https://www.inaturalist.org/observations/3701137,common and has been recorded from here,124814,ALG
Amphora sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Thalassiophysales,,,Catenulaceae,,,Amphora,unlisted,unlisted,new 2006,observed,,,,,,2006-07-21,Mark Webber,https://www.inaturalist.org/observations/4874677,,325558,ALG
Analipus japonicus,(Harvey) M.J.Wynne,,bottlebrush seaweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Ectocarpales,,,Chordariaceae,,,Analipus,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,https://www.inaturalist.org/observations/25860485,,130230,ALG
Arachnoidiscus schmidtii,Hajós,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Arachnoidiscales,,,Arachnoidiscaceae,,,Arachnoidiscus,unlisted,unlisted,new 2005,observed,,,,,,2005-01-31,Mark Webber,https://www.inaturalist.org/observations/4874715,,521732,ALG
Asterionellopsis glacialis,(Castracane) Round,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Asterionellopsis,unlisted,unlisted,new 2004,observed,,,,,,2004-07-25,Mark Webber,https://www.inaturalist.org/observations/4848898,,428503,ALG
