"","Taxon","Taxon Author","Subtaxon Author","Common Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial Status","National Status","Reporting Status","Observation","Collected/Reported (y-m-d)","Collector/Source","Collection/List","Accession Number","GBIF ID","First Observed","Observer","iNaturalist Link","Notes","ID","Stats Code"
"1","Protocystis sp.","","","filose amoeba","Chromista","Bigyra","","","Labyrinthulea","","","Phaeodaria","","","Challengeridae","","","Protocystis","","","","","unlisted","unlisted","","new 2016","observed","","","","","","2016-01-18","Mark Webber","https://www.inaturalist.org/observations/4849188","","521012","ALG"
"2","Tintinnopsis sp.","","","ciliate","Chromista","Ciliophora","","","Oligotrichea","","","Choreotrichida","","","Codonellidae","","","Tintinnopsis","","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-01","Mark Webber","https://www.inaturalist.org/observations/4848931","","485979","ALG"
"3","Ceratium fusus","(Ehrenberg) Dujardin","","dinoflagellate","Chromista","Miozoa","","","Dinophyceae","","","Gonyaulacales","","","Ceratiaceae","","","Ceratium","","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-14","Mark Webber","https://www.inaturalist.org/observations/4848820","","203749","ALG"
"4","Ceratium lineatum","(Ehrenberg) Cleve","","dinoflagellate","Chromista","Miozoa","","","Dinophyceae","","","Gonyaulacales","","","Ceratiaceae","","","Ceratium","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-21","Mark Webber","https://www.inaturalist.org/observations/9291462","","345251","ALG"
"5","Dinophysis acuminata","Claparède & Lachmann","","dinoflagellate","Chromista","Miozoa","","","Dinophyceae","","","Dinophysiales","","","Dinophysiaceae","","","Dinophysis","","","","","unlisted","unlisted","","new 2012","observed","","","","","","2012-08-05","Mark Webber","https://www.inaturalist.org/observations/4849148","","320121","ALG"
"6","Phalacroma rotundatum","(Claparéde & Lachmann) Kofoid & Michener","","dinoflagellate","Chromista","Miozoa","","","Dinophyceae","","","Dinophysiales","","","Dinophysiaceae","","","Phalacroma","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-18","Mark Webber","https://www.inaturalist.org/observations/5197633","","320131","ALG"
"7","Achnanthes sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","","","Acnanthales","","","Achnanthaceae","","","Achnanthes","","","","","unlisted","unlisted","","new 2004","observed","","","","","","2004-07-22","Mark Webber","https://www.inaturalist.org/observations/5197598","","339308","ALG"
"8","Achnanthes subconstricta","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae","","Mastogloiales","","","Achnanthaceae","","","Achnanthes","subconstricta","","","","unlisted","unlisted","","new 2010","observed","","","","","","2010-07-26","Mark Webber","https://www.inaturalist.org/observations/50191595","","1100778","ALG"
"9","Actinoptychus senarius","(Ehrenberg) Ehrenberg","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Coscinodiscales","","","Hemipeltaceae","","","Actinoptychus","senarius","","","","unlisted","unlisted","","new 2010","observed","","","","","","2010-09-12","Mark Webber","https://www.inaturalist.org/observations/4874664","","475747","ALG"
"10","Agarum clathratum","Dumortier","","sea colander kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Laminariales","","","Agaraceae","","","Agarum","","","","","unlisted","unlisted","","reported","unobserved","2016-01-23","Andy Lamb & Donna Gibbs","PMLS","","","","","","has been recorded from the area as A. cribrosum, species distribution includes Galiano","182956","ALG"
