Taxon,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial,National.S,latitude,longitude,geoprivacy,private_la,private_lo,id,grid_cell
Ilex aquifolium,Ilex,aquifolium,,,,exotic,unlisted,,48.879056990000002,-123.319142799999995,private,"48.87905699","-123.3191428","2767539",358
Lamium galeobdolon ssp. argentatum,Lamium,galeobdolon,,argentatum,,exotic,unlisted,,48.873336000000002,-123.346591000000004,,NA,NA,"125681210",322
Crocus × stellaris,Crocus,,Crocus × stellaris,,,exotic,unlisted,,48.895526570000001,-123.410335000000003,,NA,NA,"38469122",248
Crocus × stellaris,Crocus,,Crocus × stellaris,,,exotic,unlisted,,48.895650000000003,-123.410346700000005,,NA,NA,"70515530",248
Geranium × oxonianum,Geranium,,Geranium × oxonianum,,,exotic,unlisted,,48.872678229999998,-123.348945099999995,,NA,NA,"85291250",322
Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.892712469999999,-123.391152599999998,,NA,NA,"6047517",266
Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.872082300000002,-123.312289199999995,,NA,NA,"6425084",376
Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.872411669999998,-123.311541700000006,,NA,NA,"24701576",376
Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.871773949999998,-123.310873900000004,,NA,NA,"24713780",376
Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.868049999999997,-123.387171699999996,,NA,NA,"24768192",269
Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.868056670000001,-123.387161699999993,,NA,NA,"24768193",269
Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.871555000000001,-123.311058299999999,,NA,NA,"24874156",376
Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.871686670000003,-123.312103300000004,,NA,NA,"32125266",376
Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.898256670000002,-123.401120000000006,,NA,NA,"110820863",247
Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.871596670000002,-123.311128299999993,,NA,NA,"111111016",376
