"","Taxon","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","latitude","longitude","geoprivacy","private_latitude","private_longitude","id"
"234","Corallorhiza maculata var. ozettensis","Corallorhiza","maculata","","","ozettensis","native","S3 (2018)","",48.978878732,-123.5650235502,"",48.931029,-123.47708,2563709
"235","Corallorhiza maculata var. ozettensis","Corallorhiza","maculata","","","ozettensis","native","S3 (2018)","",48.9340861427,-123.3364113952,"",48.86682,-123.338487,12819711
"236","Corallorhiza maculata var. ozettensis","Corallorhiza","maculata","","","ozettensis","native","S3 (2018)","",48.8437244421,-123.4230454705,"obscured",NA,NA,12871801
"237","Corallorhiza maculata var. ozettensis","Corallorhiza","maculata","","","ozettensis","native","S3 (2018)","",48.9352740758,-123.3438819921,"",48.880657,-123.339343,12916676
"238","Corallorhiza maculata var. ozettensis","Corallorhiza","maculata","","","ozettensis","native","S3 (2018)","",48.9170048103,-123.4841257985,"",48.9153722222,-123.4231194444,12996624
"239","Corallorhiza maculata var. ozettensis","Corallorhiza","maculata","","","ozettensis","native","S3 (2018)","",48.8566470685,-123.4023402538,"",48.951065,-123.5071,12996820
"240","Corallorhiza maculata var. ozettensis","Corallorhiza","maculata","","","ozettensis","native","S3 (2018)","",48.9553686004,-123.4642060935,"",48.942078,-123.475971,13027602
"241","Corallorhiza maculata var. ozettensis","Corallorhiza","maculata","","","ozettensis","native","S3 (2018)","",49.0403806196,-123.4525776792,"",49.000513,-123.582308,13372380
"242","Corallorhiza maculata var. ozettensis","Corallorhiza","maculata","","","ozettensis","native","S3 (2018)","",48.9086766828,-123.3108611005,"",48.9136541434,-123.3958829812,52033143
"243","Corallorhiza maculata var. ozettensis","Corallorhiza","maculata","","","ozettensis","native","S3 (2018)","",48.8546541071,-123.434567099,"",NA,NA,90752993
"17010","Allium amplectens","Allium","amplectens","","","","native","S3 (2019)","",48.8974333333,-123.3386916667,"",NA,NA,6249542
"17110","Allium amplectens","Allium","amplectens","","","","native","S3 (2019)","",48.8972716283,-123.3387261783,"",NA,NA,6447929
"17210","Allium amplectens","Allium","amplectens","","","","native","S3 (2019)","",48.8975416667,-123.33853,"",NA,NA,26057588
"17310","Allium amplectens","Allium","amplectens","","","","native","S3 (2019)","",48.8973927639,-123.3387933727,"",NA,NA,26288907
"17410","Allium amplectens","Allium","amplectens","","","","native","S3 (2019)","",48.909615,-123.37194,"",NA,NA,111053106
"17510","Allium amplectens","Allium","amplectens","","","","native","S3 (2019)","",48.90951,-123.3712066667,"",NA,NA,114482009
"17610","Allium amplectens","Allium","amplectens","","","","native","S3 (2019)","",48.9096266667,-123.3719533333,"",NA,NA,119369501
"17710","Allium amplectens","Allium","amplectens","","","","native","S3 (2019)","",48.8973583333,-123.3386683333,"",NA,NA,120494798
