scientificName,Group,Abundance.Notes,recordedBy,eventDate,Notes
Alnus rubra,vascular plants,dominant,Hans Roemer,1980-03-29,
Athyrium filix-femina,vascular plants,present,Hans Roemer,1980-03-29,
Carex obnupta,vascular plants,present,Hans Roemer,1980-03-29,
Drosera rotundifolia,vascular plants,present,Hans Roemer,1980-03-29,
Eriophorum chamissonis,vascular plants,present,Hans Roemer,1980-03-29,
Gaultheria shallon,vascular plants,dominant,Hans Roemer,1980-03-29,
Juncus effusus,vascular plants,present,Hans Roemer,1980-03-29,
Kalmia polifolia ssp. microphylla,vascular plants,present,Hans Roemer,1980-03-29,
Ledum groenlandicum,vascular plants,present,Hans Roemer,1980-03-29,
Lysichiton americanum,vascular plants,present,Hans Roemer,1980-03-29,
Nuphar polysepalum,vascular plants,present,Hans Roemer,1980-03-29,
Phragmites communis,vascular plants,present,Hans Roemer,1980-03-29,
Pinus monticola,vascular plants,present,Hans Roemer,1980-03-29,
Polystichum munitum,vascular plants,present,Hans Roemer,1980-03-29,
Pseudotsuga menziesii,vascular plants,present,Hans Roemer,1980-03-29,
Pteridium aquilinum,vascular plants,present,Hans Roemer,1980-03-29,
Rubus spectabilis,vascular plants,present,Hans Roemer,1980-03-29,
Rubus ursinus,vascular plants,present,Hans Roemer,1980-03-29,
Salix sitchensis,vascular plants,present,Hans Roemer,1980-03-29,
Scirpus validus,vascular plants,present,Hans Roemer,1980-03-29,
Spiraea douglasii,vascular plants,dominant,Hans Roemer,1980-03-29,
Stachys cooleyae,vascular plants,present,Hans Roemer,1980-03-29,
Thuja plicata,vascular plants,present,Hans Roemer,1980-03-29,
Typha latifolia,vascular plants,present,Hans Roemer,1980-03-29,
Vaccinium oxycoccus,vascular plants,present,Hans Roemer,1980-03-29,
Cladina portentosa,lichens,present,Hans Roemer,1980-03-29,
Hylocomium splendens,bryophytes,present,Hans Roemer,1980-03-29,
Rhizomnium glabrescens,bryophytes,present,Hans Roemer,1980-03-29,
Rhytidiadelphus triquetrus,bryophytes,present,Hans Roemer,1980-03-29,
Amelanchier alnifolia,vascular plants,present,Hans Roemer,1980-03-29,
Carex livida,vascular plants,present,Hans Roemer,1980-03-29,
Carex sitchensis,vascular plants,present,Hans Roemer,1980-03-29,
Phalaris arundinacea,vascular plants,present,Hans Roemer,1980-03-29,
Rhamnus purshiana,vascular plants,present,Hans Roemer,1980-03-29,
Calliergon cf. giganteum,bryophytes,present,Hans Roemer,1980-03-29,
Dicranum polysetum,bryophytes,present,Hans Roemer,1980-03-29,
Fissidens sp.,bryophytes,present,Hans Roemer,1980-03-29,
Kindbergia oregana,bryophytes,present,Hans Roemer,1980-03-29,
Kindbergia praelonga,bryophytes,present,Hans Roemer,1980-03-29,
Pleurozium schreberi,bryophytes,present,Hans Roemer,1980-03-29,
Sphagnum capillifolium,bryophytes,present,Hans Roemer,1980-03-29,
Sphagnum pacificum,bryophytes,present,Hans Roemer,1980-03-29,
Sphagnum papillosum,bryophytes,present,Hans Roemer,1980-03-29,
Sphagnum fuscum,bryophytes,dominant,Hans Roemer,1980-03-29,Abundance note attributed to Hans Roemer uncertain (noted as ? On species list)
Carex echinata,vascular plants,present,Harvey Janszen,1980-04-12,
Carex lasiocarpa,vascular plants,present,Harvey Janszen,1980-04-12,
Carex leptalea,vascular plants,present,Harvey Janszen,1980-04-12,
Circaea alpina,vascular plants,present,Harvey Janszen,1980-04-12,
Comarum palustre,vascular plants,present,Harvey Janszen,1980-04-12,
Galium trifidum,vascular plants,present,Harvey Janszen,1980-04-12,
Juncus balticus,vascular plants,present,Harvey Janszen,1980-04-12,
Mentha arvensis,vascular plants,present,Harvey Janszen,1980-04-12,
Myosotis laxa,vascular plants,present,Harvey Janszen,1980-04-12,
Oenanthe sarmentosa,vascular plants,present,Harvey Janszen,1980-04-12,
Polygonum amphibium,vascular plants,present,Harvey Janszen,1980-04-12,
Rhynchospora alba,vascular plants,present,Harvey Janszen,1980-04-12,
Salix scouleriana,vascular plants,present,Harvey Janszen,1980-04-12,
Scirpus microcarpus,vascular plants,present,Harvey Janszen,1980-04-12,
Trientalis arctica,vascular plants,present,Harvey Janszen,1980-04-12,
Alnus rubra,vascular plants,dominant,Harvey Janszen,1980-04-12,
Athyrium filix-femina,vascular plants,present,Harvey Janszen,1980-04-12,
Carex obnupta,vascular plants,dominant,Harvey Janszen,1980-04-12,
Drosera rotundifolia,vascular plants,present,Harvey Janszen,1980-04-12,
Eriophorum chamissonis,vascular plants,present,Harvey Janszen,1980-04-12,
Gaultheria shallon,vascular plants,present,Harvey Janszen,1980-04-12,
Juncus effusus,vascular plants,present,Harvey Janszen,1980-04-12,
Kalmia polifolia ssp. microphylla,vascular plants,present,Harvey Janszen,1980-04-12,
Ledum groenlandicum,vascular plants,dominant,Harvey Janszen,1980-04-12,
Lysichiton americanum,vascular plants,present,Harvey Janszen,1980-04-12,
Nuphar polysepalum,vascular plants,present,Harvey Janszen,1980-04-12,
