"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences"
"Achnanthes subconstricta","(F.Meister) K.Toyoda",1100778,"Chromista","Ochrophyta","Bacillariophyceae","Mastogloiales","","","","Achnanthaceae","Achnanthes","","subconstricta","","species","","","50191595","iNaturalist","","Mark Webber","","",2010-07-26,"2010","07","26","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9775907552","-123.5687189624","68","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Acrosiphonia coalita","(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes",429957,"Plantae","Chlorophyta","Ulvophyceae","Ulotrichales","","","","Ulotrichaceae","Acrosiphonia","","coalita","","species","","","25859551","iNaturalist","","Bridgette Clarkston","","",2019-05-04,"2019","05","04","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9402552618","-123.5005989153","8","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Acrosiphonia coalita","(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes",429957,"Plantae","Chlorophyta","Ulvophyceae","Ulotrichales","","","","Ulotrichaceae","Acrosiphonia","","coalita","","species","","","72235835","iNaturalist","","Andrew Simon","","",2021-03-27,"2021","03","27","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8965688465","-123.3365295718","54","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Acrosiphonia coalita","(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes",429957,"Plantae","Chlorophyta","Ulvophyceae","Ulotrichales","","","","Ulotrichaceae","Acrosiphonia","","coalita","","species","","","72321490","iNaturalist","","Andrew Simon","","",2021-03-17,"2021","03","17","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.9413016667","-123.5019483333","","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Acrosiphonia coalita","(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes",429957,"Plantae","Chlorophyta","Ulvophyceae","Ulotrichales","","","","Ulotrichaceae","Acrosiphonia","","coalita","","species","PMLS","","PMLS2021:106","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-06-12,"2009","06","12","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","84","","present","","","","","unlisted","unlisted","","","","","","",""
"Actinoptychus senarius","(Ehrenberg) Ehrenberg",475747,"Chromista","Ochrophyta","Bacillariophyceae","Coscinodiscales","","","","Hemipeltaceae","Actinoptychus","","senarius","","species","","","4874664","iNaturalist","","Mark Webber","","",2010-09-12,"2010","09","12","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.994591","-123.585992","174","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Actinoptychus senarius","(Ehrenberg) Ehrenberg",475747,"Chromista","Ochrophyta","Bacillariophyceae","Coscinodiscales","","","","Hemipeltaceae","Actinoptychus","","senarius","","species","","","5197612","iNaturalist","","Mark Webber","","",2010-09-12,"2010","09","12","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.994163","-123.585384","165","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Agardhiella sp.","",345832,"Plantae","Rhodophyta","Florideophyceae","Gigartinales","","","","Solieriaceae ","Agardhiella","","","","genus","OSC","","OSC-A-011250","Portland State University Herbarium (HPSU)","2488402","Byron E. Lippert","s.n.","",1979-04-03,"1979","04","03","PreservedSpecimen","Vancouver Islands, Galiano Island, Georgia Straits","","Galiano Island","British Columbia","Canada","CA","48.937097","-123.450924","13164","Heaven Roberts","","","","Drift.","","","present","","","","","unlisted","unlisted","","","","","","",""
"Agarum clathratum","Dumortier",182956,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Agaraceae","Agarum","","clathratum","","species","PMLS","","PMLS2021:987","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2016-01-23,"2016","01","23","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","60","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","","","3701137","iNaturalist","","Andrew Simon","","",2016-07-18,"2016","07","18","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8948003812","-123.4094452858","152","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
