"Taxon","Matched.Taxon","Critical.Note"
"Achnanthidium","Achnanthidium sp.",""
"Agardhiella","Sarcodiotheca gaudichaudii",""
"Amoebophrya","Amoebophrya sp.",""
"Amphora margalefii var. lacustris","Halamphora margalefii var. lacustris",""
"Antithamnionella pacifica var. pacifica","Antithamnionella pacifica",""
"Arcocellulus","Arcocellulus sp.",""
"Audouinella","Audouinella sp.",""
"Bacillaria","Bacillaria sp.",""
"Bacillaria paxiillifer","Bacillaria paxillifera",""
"Bacillaria paxilifer","Bacillaria paxiillifer",""
"Berkeleya","Berkeleya sp.",""
"Biecheleria","Biecheleria sp.",""
"Bolbocoleon","Bolbocoleon sp.",""
"Bolidomonas","Bolidomonas sp.",""
"Bonnemaisonia nootkana","Bonnemaisonia californica",""
"Branchioglossum bipinnatifidum","Branchioglossum woodii",""
"Brooklynella","Brooklynella sp.",""
"Callophyllis cf. flabellulata","Callophyllis flabellulata",""
"Ceramium cf. gardneri","Ceramium gardneri",""
"cf. Callophyllis","Callophyllis variforma",""
"cf. Neoporphyra perforata","Neoporphyra perforata",""
"cf. Pugetia fragilissima","Pugetia fragilissima",""
"cf. Saccharina latissima","Saccharina latissima",""
"Chaetoceros contortus","Chaetoceros compressus","double-check; synonymy appears off"
"Chlamydomonas","Chlamydomonas sp.",""
"Clathromorphum etc.","Clathromorphum sp.",""
"Cocconeis","Cocconeis sp.",""
"Colaconema","Colaconema sp.",""
"Cothurnia","Cothurnia sp.",""
"Cyclotella","Cyclotella sp.",""
"Cymathere triplicata","Cymathaere triplicata",""
"Cymbella","Cymbella sp.",""
"Cystoseira geminata","Stephanocystis geminata",""
"Desmarestia cf. ligulata","Desmarestia ligulata",""
"Desmochloris","Desmochloris sp.",""
"Diploneis","Diploneis sp.",""
"Discostella","Discostella sp.",""
"Dysteria","Dysteria sp.",""
"Ellerbeckia","Ellerbeckia sp.",""
"Encyonema","Encyonema sp.",""
"Entomoneis","Entomoneis sp.",""
"Ephelota","Ephelota sp.",""
"Extubocellulus spinifer ","Extubocellulus spinifer",""
"Fauchea fryeana","Gloiocladia fryeana",""
"Fistulifera","Fistulifera sp.",""
"Fragilariopsis oceanica","Fragilariopsis cf oceanica",""
"Fucus gardneri","Fucus distichus",""
"Gedaniella boltonii","Sarcophagodes boltonii",""
"Gigartina exasperata","Chondracanthus exasperatus",""
"Gomphoneis","Gomphoneis sp.",""
"Gomphonemopsis pseudoexigua","Gomphonemopsis pseudexigua",""
"Gymnogongrus chiton","Fredericqia chiton",""
"Gyrodinium","Gyrodinium sp.",""
"Halamphora","Halamphora sp.",""
"Halothrix","Halothrix sp.",""
"Harveyella","Harveyella sp.",""
"Hemiophrys","Amphileptus sp.",""
"Heterocapsa","Heterocapsa sp.",""
"Heterosigma","Heterosigma sp.",""
"Holmesia californica","Loranthophycus californicus",""
"Holosticha","Holosticha sp.",""
"Hymenena spp.","Hymenena sp.",""
"Laminaria bongardiana","Hedophyllum nigripes","""Now called Hedophyllum nigripes (J.Agardh) Starko, S.C.Lindstrom & Martone in the local area (H. bongardiana is a NW Pacific species).  This species has gone by numerous other names in the local flora: Laminaria groenlandica, Saccharina groenlandica, Saccharina nigripes, Saccharina subsimplex--they are all the same thing!” (Sandra Lindstrom, pers. comm. 2023)"
"Laminaria saccharina","Saccharina latissima",""
"Laminaria setchellii","Hedophyllum nigripes",""
"Leucocryptos","Leucocryptos sp.",""
"Licmorphora paradoxa","Licmophora paradoxa",""
"Lithothamnion","Lithothamnion sp.",""
"Melosira","Melosira sp.",""
"Membranoptera multiramosa","Membranoptera platyphylla",""
"Mesophyllum","Mesophyllum sp.",""
"Mesophyllum","Mesophyllum sp.",""
"Microglena","Microglena sp.",""
"Navicula pseudacceptata","Hippodonta pseudacceptata",""
"Navicula rhynchocephala var. hankensis","Navicula rhynchocephala",""
"Neobodo","Neobodo sp.",""
"Nitophyllum nottii","Polyneura latissima",""
"Nitzschia laevis","Nitzschia amabilis",""
"Nitzschia nanodissipata","Homoeocladia nanodissipata",""
"Odontella longicruris","Hobaniella longicruris",""
"Omegastrombidium","Omegastrombidium sp.",""
"Palmaria callophylloides","Devaleraea mollis",""
"Palmaria mollis","Devaleraea mollis",""
"Paraphysomonas","Paraphysomonas sp.",""
"Pedospumella","Pedospumella sp.",""
"Pelagodinium","Pelagodinium sp.",""
"Phaeodactylum","Phaeodactylum sp.",""
"Phycodrys isabelliae","Phycodrys isabellae",""
"Picochlorum","Picochlorum sp.",""
"Pinnularia","Pinnularia sp.",""
"Placoneis","Placoneis sp.",""
"Plagiogramma","Plagiogramma sp.",""
"Planothidium","Planothidium sp.",""
"Platythamnion","Pterothamnion sp.","“All species formerly called Platythamnion are now recognized as species of Pterothamnion.” (Sandra Lindstrom, pers. comm. 2023)"
"Pleaurosigma","Pleurosigma sp.",""
"Pleurosigma","Pleurosigma sp.",""
"Plocamium cartilagineum pacificum","Plocamium cartilagineum ssp. pacificum",""
"Plocamium pacificum","Plocamium cartilagineum ssp. pacificum",""
"Polysiphonia","Polysiphonia sp.",""
"Porosira","Porosira sp.",""
"Porphyra","Pyropia sp.","""Most species previously identified as Porphyra in the local area are now species of Pyropia.” (Sandra Lindstrom, pers. comm. 2023)"
"Porphyra gardneri","Porphyrella gardneri",""
"Porphyra nereocystis","Pyropia nereocystis",""
"Prasiola furfuracea","Prasiola borealis","Material under the name Prasiola furfuracea is most likely Prasiola borealis. Since P. borealis has type localities of Unalaska and Kodiak Islands, Alaska, whereas P. furfuracea, which is the older name, has a type locality of Denmark, we follow AlgaeBase (Guiry and Guiry 2021) and identify our specimen(s) as P. borealis. Both species are distinguished by cells occurring in groups; they may or may not be infected with a fungus, which turns them black.”  "
"Psammodictyon","Psammodictyon sp.",""
"Pseudendoclonium","Pseudendoclonium sp.",""
"Pseudogomphonema kamschaticum","Pseudogomphonema kamtschaticum",""
"Pseudolithophyllum","Pseudolithophyllum sp.",""
"Pteridomonas","Pteridomonas sp.",""
"Pterochondria woodii","Vertebrata woodii",""
"Pterosiphonia gracilis","Symphyocladiella gracilis",""
"Pugetia cf. fragilissima","Pugetia fragilissima",""
"Pylaiella","Pylaiella sp.",""
"Rhizoclonium","Rhizoclonium sp.",""
