vernacularName,scientificName,idQualifier,datasetName,eventDate,recordedBy,locality,decimalLatitude,decimalLongitude,eventRemarks
Yarrow,Achillea millefolium,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,"study went from 06/2011 to 10/2011, lat and long is general point of retreat island"
Cornflower,Centaurea cyanus,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Hairy cat's ear,Hypocaeris radicata,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Gumweed,Grindelia,cf.,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Wall lettuce,Mycelis muralis,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Dandilion,taraxicum officinale,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Salal,Gaultheria shallon,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Kinnikinnick,Arctostaphylos uva-ursi,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Red huckleberry,Vaccinium parvifolium,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Evergreen huckleberry,Vaccinnium ovatum,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Broom,Cytisus scoparius,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Purple Peavine,Lathyrus nevadensis,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Common Vetch,Vicia sativa,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Harvest Brodiaea,Brodiaea coronaria ssp. coronaria,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Fawn lily,Erythronium oregonum,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Chocolate lily,Fritillaria affinis var. affinis,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
western (spotted) coralroot,Corallorhiza maculata,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Rattlesnake Plantain,Goodyera oblongifolia,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Tall Rein Orchid,Piperia elegans,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Sweet vernalgrass,Anthoxanthum odoratum,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Cheatgrass,Bromus tectorum,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Hedgehog dogtail,Cynosurus echinatus,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Orchard Grass,Dactylis glomerata,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Blue wild rye,Elymus glaucus,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
Western fescue,Festuca occidentalis,,The Plants of Retreat Island,2011,Undiné Celeste Thompson,Galiano Island; Retreat island,48.940414,-123.504297,
