Sample ID,Process ID,Collection Code,Institution Storing,Project Code,Morphological ID,Genetic ID,scientificName,Genetic Notes,COI-5P Seq. Length,recordedBy,eventDate,Country/Ocean,State/Province,Region,Sector,Exact Site,Lat,Lon,Depth,Sampling Protocol,Collection Event ID,Tissue Descriptor,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,Species
BHAK-12381,BHAK7987-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Armandia brevis,,Armandia brevis,No match to published records,683[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Annelida,Polychaeta,Opheliida,Opheliidae,,,Armandia,Armandia brevis
BHAK-12382,BHAK7988-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Paguridae,Pagurus granosimanus,Pagurus granosimanus,,659[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Malacostraca,Decapoda,Paguridae,,,,
BHAK-12383,BHAK7989-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Pinnotheridae,Pinnotheridae,Pinnotheridae,No species level ID,660[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,whole specimen,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,,,,
BHAK-12384,BHAK7990-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Lophopanopeus,Telmessus cheiragonus,Telmessus cheiragonus,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,whole specimen,Arthropoda,Malacostraca,Decapoda,Panopeidae,,,Lophopanopeus,
BHAK-12385,BHAK7991-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Paguridae,Pagurus granosimanus,Pagurus granosimanus,,633[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,whole specimen,Arthropoda,Malacostraca,Decapoda,Paguridae,,,,
BHAK-12388,BHAK7994-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,,Amphipoda,No match to published records,662[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12389,BHAK7995-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Armandia brevis,,Armandia brevis,No match to published records,682[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Annelida,Polychaeta,Opheliida,Opheliidae,,,Armandia,Armandia brevis
BHAK-12390,BHAK7996-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Tanaidacea,Pentidotea wosnesenskii,Pentidotea wosnesenskii,Idoteidae,660[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Malacostraca,Tanaidacea,,,,,
BHAK-12393,BHAK7938-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Haminoea vesicula,Haminoea vesicula,Haminoea vesicula,,658[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Montague Harbour,48.901,-123.408,1.6,SCUBA Hand Collection,006,,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,,,Haminoea,Haminoea vesicula
BHAK-12406,BHAK7958-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Copepoda,Diosaccus spinatus,Diosaccus spinatus,,649[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Copepoda,,,,,,
BHAK-12407,BHAK7959-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Copepoda,Diosaccus spinatus,Diosaccus spinatus,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Copepoda,,,,,,
BHAK-12408,BHAK7960-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Copepoda,,Copepoda,No match to published records,664[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Copepoda,,,,,,
BHAK-12410,BHAK7962-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Thecostraca,Balanus crenatus ,Balanus crenatus ,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Thecostraca,,,,,,
BHAK-12411,BHAK7963-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Thecostraca,Balanus crenatus ,Balanus crenatus ,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Thecostraca,,,,,,
BHAK-12412,BHAK7964-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Decapoda,Hippolyte clarki ,Hippolyte clarki ,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Malacostraca,Decapoda,,,,,
BHAK-12413,BHAK7965-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Copepoda,,Copepoda,No match to published records,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,whole specimen,Arthropoda,Copepoda,,,,,,
BHAK-12414,BHAK7966-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Cumacea,Cumella vulgaris,Cumella vulgaris,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,whole specimen,Arthropoda,Malacostraca,Cumacea,,,,,
BHAK-12415,BHAK7967-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Pugettia,Telmessus cheiragonus,Telmessus cheiragonus,not Pugettia,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,whole specimen,Arthropoda,Malacostraca,Decapoda,Epialtidae,Epialtinae,,Pugettia,
BHAK-12416,BHAK7968-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Pugettia,Telmessus cheiragonus,Telmessus cheiragonus,not Pugettia,659[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,whole specimen,Arthropoda,Malacostraca,Decapoda,Epialtidae,Epialtinae,,Pugettia,
BHAK-12417,BHAK7969-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Pugettia,Telmessus cheiragonus,Telmessus cheiragonus,not Pugettia,644[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,whole specimen,Arthropoda,Malacostraca,Decapoda,Epialtidae,Epialtinae,,Pugettia,
BHAK-12418,BHAK7970-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Pugettia,Telmessus cheiragonus,Telmessus cheiragonus,not Pugettia,660[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,whole specimen,Arthropoda,Malacostraca,Decapoda,Epialtidae,Epialtinae,,Pugettia,
BHAK-12419,BHAK7971-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Pugettia,Telmessus cheiragonus,Telmessus cheiragonus,not Pugettia,626[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,1,Pelagic Light Trap,GBP04,whole specimen,Arthropoda,Malacostraca,Decapoda,Epialtidae,Epialtinae,,Pugettia,
BHAK-12421,BHAK7928-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Bivalvia,Balanus crenatus,Balanus crenatus,,658[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,3.5,Plankton Net,GBP01,whole specimen,Mollusca,Bivalvia,,,,,,
BHAK-12425,BHAK7931-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,Calliopius pacificus,Calliopius pacificus,,729[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,3.5,Plankton Net,GBP01,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12426,BHAK7932-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Hydrozoa,Muggiaea atlantica,Muggiaea atlantica,,661[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,3.5,Plankton Net,GBP01,whole specimen,Cnidaria,Hydrozoa,,,,,,
BHAK-12428,BHAK7934-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,Tisbe furcata,Tisbe furcata,,712[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,3.5,Plankton Net,GBP01,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12431,BHAK7977-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Harpacticoida,Diosaccus spinatus,Diosaccus spinatus,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Copepoda,Harpacticoida,,,,,
BHAK-12432,BHAK7978-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Harpacticoida,Diosaccus spinatus,Diosaccus spinatus,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Copepoda,Harpacticoida,,,,,
BHAK-12433,BHAK7979-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Harpacticoida,Diosaccus spinatus,Diosaccus spinatus,,659[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Copepoda,Harpacticoida,,,,,
BHAK-12434,BHAK7980-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Harpacticoida,Diosaccus spinatus,Diosaccus spinatus,,659[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Copepoda,Harpacticoida,,,,,
BHAK-12435,BHAK7981-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Harpacticoida,Diosaccus spinatus,Diosaccus spinatus,,704[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Copepoda,Harpacticoida,,,,,
BHAK-12436,BHAK7918-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Branchiopoda,Podon leuckartii,Podon leuckartii,,658[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,3.5,Plankton Net,GBP01,whole specimen,Arthropoda,Branchiopoda,,,,,,
BHAK-12437,BHAK7919-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Branchiopoda,Podon leuckartii,Podon leuckartii,,620[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,3.5,Plankton Net,GBP01,whole specimen,Arthropoda,Branchiopoda,,,,,,
BHAK-12438,BHAK7920-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Evadne,Balanus crenatus,Balanus crenatus,contaminated?,635[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,3.5,Plankton Net,GBP01,whole specimen,Arthropoda,Branchiopoda,Onychopoda,Podonidae,,,Evadne,
BHAK-12441,BHAK7923-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Calanoida,Calanus pacificus,Calanus pacificus,,658[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,3.5,Plankton Net,GBP01,whole specimen,Arthropoda,Copepoda,Calanoida,,,,,
BHAK-12442,BHAK7924-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Branchiopoda,Podon leuckartii ,Podon leuckartii ,,597[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,3.5,Plankton Net,GBP01,whole specimen,Arthropoda,Branchiopoda,,,,,,
BHAK-12445,BHAK7937-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Terebellidae,,Terebellidae,No match to published records,658[0n],Hakai Institute,2023-05-27,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,6.5,SCUBA Hand Collection,034,tenticle piece,Annelida,Polychaeta,Terebellida,Terebellidae,,,,
BHAK-12446,BHAK7998-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,Calanus pacificus,Calanus pacificus,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,1,Settlement Brush,GBP05,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12447,BHAK7975-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,,Amphipoda,No match to published records,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,1,Settlement Brush,GBP05,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12448,BHAK7976-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,Apohyale cf. pugettensis,Apohyale cf. pugettensis,,659[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,1,Settlement Brush,GBP05,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12451,BHAK7973-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Polychaeta,,Polychaeta,No match to published records,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Annelida,Polychaeta,,,,,,
BHAK-12452,BHAK7974-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,Diosaccus spinatus,Diosaccus spinatus,,659[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
BHAK-12453,BHAK7948-23,Galiano_Bioblitz_2023,Hakai Institute,BHAK,Amphipoda,Diosaccus spinatus,Diosaccus spinatus,,658[0n],Hakai Institute,2023-05-28,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.94,-123.502,6,Benthic Light Trap,GBP03,whole specimen,Arthropoda,Malacostraca,Amphipoda,,,,,
