Project Code,Process ID,Sample ID,Field ID,Collection Date,Morphological Identification,BOLD/NCBI,%Match,Phylum,Class,Order,Family,Genus,Species,Identifier,Taxonomy Notes,Collectors,Collection Date,Country/Ocean,State/Province,Region,Sector,Exact Site,Lat,Lon,Depth,Habitat,Sampling Protocol,Collection Notes,,,,,,,
AHAK,AHAK1734-23,SCL17873,SCL 17873,27-May-2023,Branchioglossum bipinnatifidum,Branchioglossum bipinnatifidum,100,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Branchioglossum,Branchioglossum bipinnatifidum,Sandra Lindstrom,,Hakai Institute,27-May-2023,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,11.2,rock,SCUBA Hand Collection,,,,,,,,
AHAK,AHAK1743-23,SCL17893,SCL 17893,27-May-2023,Callophyllis,Callophyllis sp. (best match is variforma),95,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,,Sandra Lindstrom,,Hakai Institute,27-May-2023,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,13,,SCUBA Hand Collection,,,,,,,,
AHAK,AHAK1748-23,BHAK-12391,BHAK-12391,27-May-2023,Gracilariaceae,Gracilaria pacifica,100,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,,identifier: Hakai Institute,,Hakai Institute,27-May-2023,Canada,British Columbia,Southern Gulf Islands,,Montague Harbour,48.901,-123.408,3,,SCUBA Hand Collection,,,,,,,,
AHAK,AHAK1749-23,BHAK-12392,BHAK-12392,27-May-2023,Gracilariaceae,Gracilariopsis andersonii,100,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,,,identifier: Hakai Institute,,Hakai Institute,27-May-2023,Canada,British Columbia,Southern Gulf Islands,,Montague Harbour,48.901,-123.408,3,,SCUBA Hand Collection,,,,,,,,
AHAK,AHAK1744-23,SCL17899,SCL 17899,28-May-2023,Neorhodomela oregona,Neorhodomela oregona,100,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Neorhodomela,Neorhodomela oregona,Sandra Lindstrom,,Sandra Lindstrom,28-May-2023,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.943,-123.51,,shallow tidepool in bedrock,hand collection,Depth: upper mid intertidal,,,,,,,
AHAK,AHAK1741-23,SCL17887,SCL 17887,27-May-2023,Pugetia,Pugetia cryptica,100,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Pugetia,,Sandra Lindstrom,Species: Pugetia cf. fragilissima,Hakai Institute,27-May-2023,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,11.2,rock,SCUBA Hand Collection,,,,,,,,
AHAK,AHAK1745-23,SCL17900,SCL 17900,28-May-2023,Blidingia,Ulva intestinalis,100,Chlorophyta,Ulvophyceae,Ulvales,Kornmanniaceae,Blidingia,,Sandra Lindstrom,Species: Minima complex,Sandra Lindstrom,28-May-2023,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.943,-123.51,,seepage area on cobble and pebble,hand collection,Depth: high intertidal,,,,,,,
AHAK,AHAK1747-23,SCL17902,SCL 17902,28-May-2023,Ulva fenestrata,Ulva australis,99,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva fenestrata,Sandra Lindstrom,,Sandra Lindstrom,28-May-2023,Canada,British Columbia,Southern Gulf Islands,,Retreat Cove,48.943,-123.515,,barnacles on sandstone bedrock,hand collection,Depth: high intertidal,,,,,,,
AHAK,AHAK1735-23,SCL17876,SCL 17876,27-May-2023,Sparlingia pertusa,sequence fail,,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,Sparlingia,Sparlingia pertusa,Sandra Lindstrom,,Hakai Institute,27-May-2023,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,11.2,rock,SCUBA Hand Collection,,,,,,,,
AHAK,AHAK1736-23,SCL17878,SCL 17878,27-May-2023,Pugetia,sequence fail,,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Pugetia,,Sandra Lindstrom,Species: Pugetia cf. fragilissima,Hakai Institute,27-May-2023,Canada,British Columbia,Southern Gulf Islands,,Spanish Hills,48.995,-123.585,11.2,rock,SCUBA Hand Collection,,,,,,,,
