"id","time_observed_at","observed_on","user_name","quality_grade","coordinates_obscured","image_url","positional_accuracy","positioning_method","positioning_device","scientific_name","common_name","captive","taxon_id","taxon_rank","latitude","longitude","phylum","kingdom","class","order","infraorder","superfamily","family","subfamily","genus","nameStatus","Taxon.name","Kingdom","Phylum","Class","Order","Infraorder","Superfamily","Subfamily","Family","Genus","Common.name","Taxon.rank"
48201556,"2020-06-01T18:31:00-07:00","2020-06-01","Andrew Simon","research","true","https://inaturalist-open-data.s3.amazonaws.com/photos/76469550/square.jpeg",42,NA,NA,"Falco peregrinus","Peregrine Falcon","false",4647,"species",48.9634345973,-123.5504669512,"Chordata","Animalia","Aves","Falconiformes",NA,NA,"Falconidae",NA,"Falco","accepted","Falco peregrinus","Animalia","Chordata","Aves","Falconiformes",NA,NA,NA,"Falconidae","Falco","Peregrine Falcon","species"
114482718,"2022-05-01T14:58:00-07:00","2022-05-01","Andrew Simon","research","true","https://inaturalist-open-data.s3.amazonaws.com/photos/193300783/square.jpeg",103,NA,NA,"Falco peregrinus","Peregrine Falcon","false",4647,"species",48.8630449211,-123.3312950221,"Chordata","Animalia","Aves","Falconiformes",NA,NA,"Falconidae",NA,"Falco","accepted","Falco peregrinus","Animalia","Chordata","Aves","Falconiformes",NA,NA,NA,"Falconidae","Falco","Peregrine Falcon","species"
260106678,"2025-01-29T10:30:00-08:00","2025-01-29","Adam Huggins","research","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467042357/square.jpeg",10,NA,NA,"Haliaeetus leucocephalus","Bald Eagle","false",5305,"species",48.8615194444,-123.3164527778,"Chordata","Animalia","Aves","Accipitriformes",NA,NA,"Accipitridae","Buteoninae","Haliaeetus","accepted","Haliaeetus leucocephalus","Animalia","Chordata","Aves","Accipitriformes",NA,NA,"Buteoninae","Accipitridae","Haliaeetus","Bald Eagle","species"
167227,"2012-04-19T11:52:35-07:00","2012-04-19","BJ Stacey","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/223621/square.jpg",NA,NA,NA,"Chroicocephalus philadelphia","Bonaparte's Gull","false",144502,"species",48.85682,-123.31239,"Chordata","Animalia","Aves","Charadriiformes",NA,NA,"Laridae","Larinae","Chroicocephalus","accepted","Chroicocephalus philadelphia","Animalia","Chordata","Aves","Charadriiformes",NA,NA,"Larinae","Laridae","Chroicocephalus","Bonaparte's Gull","species"
167228,"2012-04-19T11:50:40-07:00","2012-04-19","BJ Stacey","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/223622/square.jpg",NA,NA,NA,"Branta canadensis","Canada Goose","false",7089,"species",48.85682,-123.31239,"Chordata","Animalia","Aves","Anseriformes",NA,NA,"Anatidae",NA,"Branta","accepted","Branta canadensis","Animalia","Chordata","Aves","Anseriformes",NA,NA,NA,"Anatidae","Branta","Canada Goose","species"
167229,"2012-04-19T11:01:38-07:00","2012-04-19","BJ Stacey","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/223623/square.jpg",NA,NA,NA,"Bucephala clangula","Common Goldeneye","false",6990,"species",48.85682,-123.31239,"Chordata","Animalia","Aves","Anseriformes",NA,NA,"Anatidae",NA,"Bucephala","accepted","Bucephala clangula","Animalia","Chordata","Aves","Anseriformes",NA,NA,NA,"Anatidae","Bucephala","Common Goldeneye","species"
167230,"2012-04-19T10:59:46-07:00","2012-04-19","BJ Stacey","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/223624/square.jpg",NA,NA,NA,"Gavia immer","Great Northern Diver","false",4626,"species",48.85682,-123.31239,"Chordata","Animalia","Aves","Gaviiformes",NA,NA,"Gaviidae",NA,"Gavia","accepted","Gavia immer","Animalia","Chordata","Aves","Gaviiformes",NA,NA,NA,"Gaviidae","Gavia","Great Northern Diver","species"
167231,"2012-04-19T12:17:05-07:00","2012-04-19","BJ Stacey","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/223625/square.jpg",NA,NA,NA,"Bucephala albeola","Bufflehead","false",6993,"species",48.85682,-123.31239,"Chordata","Animalia","Aves","Anseriformes",NA,NA,"Anatidae",NA,"Bucephala","accepted","Bucephala albeola","Animalia","Chordata","Aves","Anseriformes",NA,NA,NA,"Anatidae","Bucephala","Bufflehead","species"
730525,"2014-05-26","2014-05-26","Andrew Simon","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/918040/square.jpg",14,NA,NA,"Haliaeetus leucocephalus","Bald Eagle","false",5305,"species",48.920286,-123.45081,"Chordata","Animalia","Aves","Accipitriformes",NA,NA,"Accipitridae","Buteoninae","Haliaeetus","accepted","Haliaeetus leucocephalus","Animalia","Chordata","Aves","Accipitriformes",NA,NA,"Buteoninae","Accipitridae","Haliaeetus","Bald Eagle","species"
2380925,"2015-06-20","2015-06-20","Bridget Spencer","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/2652970/square.jpg",43,NA,NA,"Empidonax difficilis","Western Flycatcher","false",16598,"species",48.869232,-123.313293,"Chordata","Animalia","Aves","Passeriformes",NA,NA,"Tyrannidae",NA,"Empidonax","accepted","Empidonax difficilis","Animalia","Chordata","Aves","Passeriformes",NA,NA,NA,"Tyrannidae","Empidonax","Western Flycatcher","species"
