"id","time_observed_at","observed_on","user_name","quality_grade","coordinates_obscured","image_url","positional_accuracy","positioning_method","positioning_device","scientific_name","common_name","captive","taxon_id","taxon_rank","latitude","longitude","phylum","kingdom","class","order","infraorder","superfamily","family","subfamily","genus","nameStatus","Taxon.name","Kingdom","Phylum","Class","Order","Infraorder","Superfamily","Subfamily","Family","Genus","Common.name","Taxon.rank"
4167009,"2008-07-27T11:20:48-07:00","2008-07-27","Ian Guthrie","research","true","https://static.inaturalist.org/photos/4961063/square.jpg",20,NA,NA,"Pseudacris regilla","Pacific chorus frog","false",24259,"species",48.948693,-123.502797,"Chordata","Animalia","Amphibia","Anura",NA,NA,"Hylidae",NA,"Pseudacris","accepted","Pseudacris regilla","Animalia","Chordata","Amphibia","Anura",NA,NA,NA,"Hylidae","Pseudacris","Pacific chorus frog","species"
4167010,"2008-09-13T08:15:17-07:00","2008-09-13","Ian Guthrie","research","true","https://static.inaturalist.org/photos/4961064/square.jpg",20,NA,NA,"Pseudacris regilla","Pacific chorus frog","false",24259,"species",48.948693,-123.502797,"Chordata","Animalia","Amphibia","Anura",NA,NA,"Hylidae",NA,"Pseudacris","accepted","Pseudacris regilla","Animalia","Chordata","Amphibia","Anura",NA,NA,NA,"Hylidae","Pseudacris","Pacific chorus frog","species"
4171209,"2008-09-07T10:01:45-07:00","2008-09-07","Ian Guthrie","research","true","https://static.inaturalist.org/photos/4966941/square.jpg",49,NA,NA,"Pseudacris regilla","Pacific chorus frog","false",24259,"species",48.948421,-123.502298,"Chordata","Animalia","Amphibia","Anura",NA,NA,"Hylidae",NA,"Pseudacris","accepted","Pseudacris regilla","Animalia","Chordata","Amphibia","Anura",NA,NA,NA,"Hylidae","Pseudacris","Pacific chorus frog","species"
4171261,"2008-09-08","2008-09-08","Ian Guthrie","research","true","https://static.inaturalist.org/photos/4966978/square.jpg",49,NA,NA,"Pseudacris regilla","Pacific chorus frog","false",24259,"species",48.948421,-123.502298,"Chordata","Animalia","Amphibia","Anura",NA,NA,"Hylidae",NA,"Pseudacris","accepted","Pseudacris regilla","Animalia","Chordata","Amphibia","Anura",NA,NA,NA,"Hylidae","Pseudacris","Pacific chorus frog","species"
4171332,"2008-09-13","2008-09-13","Ian Guthrie","research","true","https://static.inaturalist.org/photos/4967023/square.jpg",49,NA,NA,"Pseudacris regilla","Pacific chorus frog","false",24259,"species",48.948421,-123.502298,"Chordata","Animalia","Amphibia","Anura",NA,NA,"Hylidae",NA,"Pseudacris","accepted","Pseudacris regilla","Animalia","Chordata","Amphibia","Anura",NA,NA,NA,"Hylidae","Pseudacris","Pacific chorus frog","species"
4171349,"2008-09-13T08:15:17-07:00","2008-09-13","Ian Guthrie","research","true","https://static.inaturalist.org/photos/4967056/square.jpg",20,NA,NA,"Pseudacris regilla","Pacific chorus frog","false",24259,"species",48.948693,-123.502797,"Chordata","Animalia","Amphibia","Anura",NA,NA,"Hylidae",NA,"Pseudacris","accepted","Pseudacris regilla","Animalia","Chordata","Amphibia","Anura",NA,NA,NA,"Hylidae","Pseudacris","Pacific chorus frog","species"
731423,"2014-05-26","2014-05-26","Andrew Simon","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/919062/square.jpg",21,NA,NA,"Taricha granulosa","Rough-skinned Newt","false",27826,"species",48.920393,-123.450687,"Chordata","Animalia","Amphibia","Caudata",NA,NA,"Salamandridae","Pleurodelinae","Taricha","accepted","Taricha granulosa","Animalia","Chordata","Amphibia","Caudata",NA,NA,"Pleurodelinae","Salamandridae","Taricha","Rough-skinned Newt","species"
2333734,"2013-09-27","2013-09-27","Bridget Spencer","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/2589624/square.jpg",43,NA,NA,"Rana aurora","Northern Red-legged Frog","false",25545,"species",48.948238,-123.502164,"Chordata","Animalia","Amphibia","Anura",NA,NA,"Ranidae",NA,"Rana","accepted","Rana aurora","Animalia","Chordata","Amphibia","Anura",NA,NA,NA,"Ranidae","Rana","Northern Red-legged Frog","species"
2333739,"2013-09-28","2013-09-28","Bridget Spencer","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/2589635/square.jpg",21,NA,NA,"Taricha granulosa","Rough-skinned Newt","false",27826,"species",48.948175,-123.501499,"Chordata","Animalia","Amphibia","Caudata",NA,NA,"Salamandridae","Pleurodelinae","Taricha","accepted","Taricha granulosa","Animalia","Chordata","Amphibia","Caudata",NA,NA,"Pleurodelinae","Salamandridae","Taricha","Rough-skinned Newt","species"
2567727,"2015-04-04","2015-04-04","Andrew Simon","research","false","https://inaturalist-open-data.s3.amazonaws.com/photos/2862755/square.jpg",86,NA,NA,"Rana aurora","Northern Red-legged Frog","false",25545,"species",48.930236,-123.467016,"Chordata","Animalia","Amphibia","Anura",NA,NA,"Ranidae",NA,"Rana","accepted","Rana aurora","Animalia","Chordata","Amphibia","Anura",NA,NA,NA,"Ranidae","Rana","Northern Red-legged Frog","species"
