"id","time_observed_at","observed_on","user_name","quality_grade","coordinates_obscured","image_url","positional_accuracy","positioning_method","positioning_device","scientific_name","common_name","captive","taxon_id","taxon_rank","latitude","longitude","phylum","kingdom","class","order","infraorder","superfamily","family","subfamily","genus","nameStatus","Taxon.name","Kingdom","Phylum","Class","Order","Infraorder","Superfamily","Subfamily","Family","Genus","Common.name","Taxon.rank"
260106679,"2025-01-29T10:43:00-08:00","2025-01-29","Adam Huggins","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467042422/square.jpeg",10,NA,NA,"Kindbergia oregana","Oregon Beaked Moss","false",120909,"species",48.8632555556,-123.3159777778,"Bryophyta","Plantae","Bryopsida","Hypnales",NA,NA,"Brachytheciaceae",NA,"Kindbergia","accepted","Kindbergia oregana","Plantae","Bryophyta","Bryopsida","Hypnales",NA,NA,NA,"Brachytheciaceae","Kindbergia","Oregon Beaked Moss","species"
260106681,"2025-01-29T10:50:00-08:00","2025-01-29","Adam Huggins","research","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467042565/square.jpeg",10,NA,NA,"Hylocomium splendens","stairstep moss","false",122555,"species",48.8633,-123.3161083333,"Bryophyta","Plantae","Bryopsida","Hypnales",NA,NA,"Hylocomiaceae",NA,"Hylocomium","accepted","Hylocomium splendens","Plantae","Bryophyta","Bryopsida","Hypnales",NA,NA,NA,"Hylocomiaceae","Hylocomium","stairstep moss","species"
260106692,"2025-01-29T11:37:00-08:00","2025-01-29","Adam Huggins","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467042823/square.jpeg",10,NA,NA,"Pseudisothecium",NA,"false",1262634,"genus",48.8637583333,-123.3185888889,"Bryophyta","Plantae","Bryopsida","Hypnales",NA,NA,"Lembophyllaceae",NA,"Pseudisothecium","accepted","Pseudisothecium","Plantae","Bryophyta","Bryopsida","Hypnales",NA,NA,NA,"Lembophyllaceae","Pseudisothecium","","genus"
260106694,"2025-01-29T11:46:00-08:00","2025-01-29","Adam Huggins","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467042992/square.jpeg",10,NA,NA,"Dicranum","Forkmosses","false",123120,"genus",48.8628583333,-123.3187027778,"Bryophyta","Plantae","Bryopsida","Dicranales",NA,NA,"Dicranaceae",NA,"Dicranum","accepted","Dicranum","Plantae","Bryophyta","Bryopsida","Dicranales",NA,NA,NA,"Dicranaceae","Dicranum","Forkmosses","genus"
260106696,"2025-01-29T11:46:00-08:00","2025-01-29","Adam Huggins","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467042980/square.jpeg",10,NA,NA,"Polytrichum","haircap mosses","false",67912,"genus",48.8628527778,-123.3187027778,"Bryophyta","Plantae","Polytrichopsida","Polytrichales",NA,NA,"Polytrichaceae",NA,"Polytrichum","accepted","Polytrichum","Plantae","Bryophyta","Polytrichopsida","Polytrichales",NA,NA,NA,"Polytrichaceae","Polytrichum","haircap mosses","genus"
260106700,"2025-01-29T11:47:00-08:00","2025-01-29","Adam Huggins","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467043006/square.jpeg",10,NA,NA,"Hylocomiadelphus triquetrus","rough goose neck moss","false",1138381,"species",48.8628611111,-123.3186944444,"Bryophyta","Plantae","Bryopsida","Hypnales",NA,NA,"Hylocomiaceae",NA,"Hylocomiadelphus","accepted","Hylocomiadelphus triquetrus","Plantae","Bryophyta","Bryopsida","Hypnales",NA,NA,NA,"Hylocomiaceae","Hylocomiadelphus","rough goose neck moss","species"
260106715,"2025-01-29T12:13:00-08:00","2025-01-29","Adam Huggins","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467043330/square.jpeg",10,NA,NA,"Leucolepis acanthoneura","Menzies' Tree Moss","false",120870,"species",48.8623111111,-123.3173527778,"Bryophyta","Plantae","Bryopsida","Bryales",NA,NA,"Mniaceae",NA,"Leucolepis","accepted","Leucolepis acanthoneura","Plantae","Bryophyta","Bryopsida","Bryales",NA,NA,NA,"Mniaceae","Leucolepis","Menzies' Tree Moss","species"
260106726,"2025-01-29T12:43:00-08:00","2025-01-29","Adam Huggins","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467043692/square.jpeg",10,NA,NA,"Bryophyta","Mosses","false",311249,"phylum",48.8617111111,-123.3160777778,"Bryophyta","Plantae",NA,NA,NA,NA,NA,NA,NA,"accepted","Bryophyta","Plantae","Bryophyta",NA,NA,NA,NA,NA,NA,NA,"Mosses","phylum"
260106727,"2025-01-29T12:44:00-08:00","2025-01-29","Adam Huggins","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467043733/square.jpeg",10,NA,NA,"Timmiella",NA,"false",68059,"genus",48.8616611111,-123.3161027778,"Bryophyta","Plantae","Bryopsida","Pottiales",NA,NA,"Pottiaceae",NA,"Timmiella","accepted","Timmiella","Plantae","Bryophyta","Bryopsida","Pottiales",NA,NA,NA,"Pottiaceae","Timmiella","","genus"
260106728,"2025-01-29T12:44:00-08:00","2025-01-29","Adam Huggins","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467043734/square.jpeg",10,NA,NA,"Polytrichum","haircap mosses","false",67912,"genus",48.8616638889,-123.3161083333,"Bryophyta","Plantae","Polytrichopsida","Polytrichales",NA,NA,"Polytrichaceae",NA,"Polytrichum","accepted","Polytrichum","Plantae","Bryophyta","Polytrichopsida","Polytrichales",NA,NA,NA,"Polytrichaceae","Polytrichum","haircap mosses","genus"
260106731,"2025-01-29T12:45:00-08:00","2025-01-29","Adam Huggins","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467043826/square.jpeg",10,NA,NA,"Racomitrium",NA,"false",119160,"genus",48.8615972222,-123.3160944444,"Bryophyta","Plantae","Bryopsida","Grimmiales",NA,NA,"Grimmiaceae",NA,"Racomitrium","accepted","Racomitrium","Plantae","Bryophyta","Bryopsida","Grimmiales",NA,NA,NA,"Grimmiaceae","Racomitrium","","genus"
260106735,"2025-01-29T12:49:00-08:00","2025-01-29","Adam Huggins","needs_id","true","https://inaturalist-open-data.s3.amazonaws.com/photos/467043877/square.jpeg",10,NA,NA,"Bryophyta","Mosses","false",311249,"phylum",48.86155,-123.3164611111,"Bryophyta","Plantae",NA,NA,NA,NA,NA,NA,NA,"accepted","Bryophyta","Plantae","Bryophyta",NA,NA,NA,NA,NA,NA,NA,"Mosses","phylum"
