"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Aequorea victoria s.lat.","","","water jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Aequoreidae","","","Aequorea","victoria",,"",,"native","unlisted",,"2017-05-26","","iNaturalist","",,"2023-08-06","","iNaturalist","",,37,"new 2017","observed","",325995,"CNI"
"Aglantha digitale","(O. F. Müller, 1776)","","pink helmit","Animalia","Cnidaria","","","Hydrozoa","Trachylinae","","Trachymedusae","","","Rhopalonematidae","","","Aglantha","digitale",,"",,"native","unlisted",,"1861-01-01","Alexander Agassiz","Agassiz (1861)","AGASSIZGI:2",,"1861-01-01","Alexander Agassiz","Agassiz (1861)","AGASSIZGI:2",,1,"reported","unobserved","",256085,"CNI"
"Aglaophenia sp.","","","ostrich-plume hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Plumularioidea","Aglaopheniidae","","","Aglaophenia","",,"",,"","",,"1971-08-21","Andy Lamb","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,29,"confirmed","unobserved","",51218,"CNI"
"Alcyonium sp.","","","orange soft coral","Animalia","Cnidaria","","","Anthozoa","Octocorallia","","Malacalcyonacea","","","Alcyoniidae","","","Alcyonium","",,"",,"","",,"1985-12-07","Andy Lamb","PMLS","",,"2023-09-04","","iNaturalist","",,106,"confirmed","observed","",338004,"CNI"
"Amphisbetia greenei","(Murray, 1860)","","fibre-optic hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Sertularioidea","Sertulariidae","","","Amphisbetia","greenei",,"",,"native","unlisted",,"1971-08-21","Andy Lamb","PMLS","",,"2008-11-13","Andy Lamb","PMLS","",,6,"confirmed","unobserved","",1353331,"CNI"
"Anthopleura artemisia","(Pickering in Dana, 1846)","","burrowing anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Actinioidea","Actiniidae","","","Anthopleura","artemisia",,"",,"native","unlisted",,"1996-09-29","Charlie Gibbs","PMLS","",,"2023-07-13","","iNaturalist","",,52,"confirmed","observed","",51658,"CNI"
"Anthopleura elegantissima","(Brandt, 1835)","","pink-tipped anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Actinioidea","Actiniidae","","","Anthopleura","elegantissima",,"",,"native","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2023-08-17","","iNaturalist","",,89,"confirmed","observed","",52564,"CNI"
"Aurelia labiata","Chamisso & Eysenhardt, 1821","","moon jelly","Animalia","Cnidaria","","","Scyphozoa","Discomedusae","","Semaeostomeae","","","Ulmaridae","Aureliinae","","Aurelia","labiata",,"",,"native","unlisted",,"1996-09-28","Charlie Gibbs","PMLS","",,"2023-06-04","","iNaturalist","",,47,"confirmed","observed","",130235,"CNI"
"Balanophyllia (Balanophyllia) elegans","Verrill, 1864","","orange cup coral","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Scleractinia","","","Dendrophylliidae","","","Balanophyllia","elegans",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-08-09","","iNaturalist","",,233,"reported","observed","",51799,"CNI"
"Balticina willemoesi","(Kölliker, 1880)","","sea whip","Animalia","Cnidaria","","","Anthozoa","Octocorallia","","Scleralcyonacea","","Pennatuloidea","Balticinidae","","","Balticina","willemoesi",,"",,"native","unlisted",,"2007-12-09","Andy Lamb","PMLS","",,"2007-12-09","Andy Lamb","PMLS","",,1,"reported","unobserved","",1283181,"CNI"
"Bougainvillia sp.","","","cluster-tentacled jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Anthoathecata","Filifera","","Bougainvilliidae","","","Bougainvillia","",,"",,"","",,"2008-10-05","Andy Lamb","PMLS","",,"2009-04-13","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",247135,"CNI"
"Caryophyllia (Caryophyllia) alaskensis","Vaughan, 1941","","round tan cup coral","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Scleractinia","","","Caryophylliidae","","","Caryophyllia","alaskensis",,"",,"native","unlisted",,"2009-02-14","Andy Lamb","PMLS","",,"2019-05-04","Stefania Gorgopa","PMLS","",,3,"reported","unobserved","",459907,"CNI"
"Catablema vesicarium nodulosum","Bigelow, 1913","","","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Anthoathecata","Filifera","","Pandeidae","","","Catablema","vesicarium",,"nodulosum",,"native","unlisted",,"2021-04-11","","iNaturalist","",,"2021-04-18","","iNaturalist","",,8,"new 2021","observed","",888777,"CNI"
"Clytia gregaria","(Agassiz, 1862)","","gregarious jellyfish","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Campanulariidae","","","Clytia","gregaria",,"",,"native","unlisted",,"1976-06-19","O'Clair, Rita M.","CMN","CMNI 1900-1132",,"2023-07-22","","iNaturalist","",,30,"confirmed","observed","",195428,"CNI"
"Cribrinopsis fernaldi","Siebert & Spaulding, 1976","","snakelock anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Actinioidea","Actiniidae","","","Cribrinopsis","fernaldi",,"",,"native","unlisted",,"1971-08-21","Andy Lamb","PMLS","",,"2016-07-24","Andy Lamb","PMLS","",,44,"confirmed","unobserved","",465158,"CNI"
