"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Acantholithodes hispidus","(Stimpson, 1860)","","hairy-spined crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Hapalogastridae","","","Acantholithodes","hispidus",,"",,"native","unlisted",,"1994-09-10","Andy Lamb","PMLS","",,"2022-05-06","","iNaturalist","",,33,"confirmed","observed","",450310,"ART"
"Ampelisca hancocki","J.L. Barnard, 1954","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Synopioidea","Ampeliscidae","","","Ampelisca","hancocki",,"",,"native","unlisted",,"1961-06-22","","RBCM","976-01146-018",,"1961-06-22","","RBCM","976-01146-018",,1,"reported","unobserved","",295404,"ART"
"Ampelisca lobata","Holmes, 1908","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Synopioidea","Ampeliscidae","","","Ampelisca","lobata",,"",,"native","unlisted",,"1961-06-22","","RBCM","976-01146-017",,"1961-06-22","","RBCM","976-01146-017",,1,"reported","unobserved","",295407,"ART"
"Ampelisca unsocalae","J.L. Barnard, 1960","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Synopioidea","Ampeliscidae","","","Ampelisca","unsocalae",,"",,"native","unlisted",,"1961-06-22","","RBCM","976-01146-019",,"1961-06-22","","RBCM","976-01146-019",,1,"reported","unobserved","",1265117,"ART"
"Ampithoe lacertosa","Bate, 1858","","sea lettuce sea flea","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Corophioidea","Ampithoidae","","","Ampithoe","lacertosa",,"",,"native","unlisted",,"2009-02-14","Andy Lamb","PMLS","",,"2009-02-14","Andy Lamb","PMLS","",,1,"reported","unobserved","",260501,"ART"
"Argulus pugettensis","Dana, 1853","","surfperch fish louse","Animalia","Arthropoda","Crustacea","Oligostraca","Ichthyostraca","Branchiura","","Arguloida","","Arguloidea","Argulidae","","","Argulus","pugettensis",,"",,"native","unlisted",,"2007-09-29","Andy Lamb","PMLS","",,"2012-08-09","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",873865,"ART"
"Balanus crenatus","Bruguière, 1789","","common acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","Thoracicalcarea","Balanomorpha","","Balanoidea","Balanidae","","","Balanus","crenatus",,"",,"native","unlisted",,"2019-01-25","","iNaturalist","",,"2023-06-02","","iNaturalist","",,3,"new 2019","observed","",117672,"ART"
"Balanus glandula","Darwin, 1854","","common acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","Thoracicalcarea","Balanomorpha","","Balanoidea","Balanidae","","","Balanus","glandula",,"",,"native","unlisted",,"1969-02-22","Andy Lamb","PMLS","",,"2023-08-17","","iNaturalist","",,135,"confirmed","observed","",81610,"ART"
"Balanus nubilus","Darwin, 1854","","giant acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","Thoracicalcarea","Balanomorpha","","Balanoidea","Balanidae","","","Balanus","nubilus",,"",,"native","unlisted",,"1969-02-21","Andy Lamb","PMLS","",,"2023-09-09","","iNaturalist","",,215,"confirmed","observed","",49127,"ART"
"Balanus rostratus","Hoek, 1883","","large acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","Thoracicalcarea","Balanomorpha","","Balanoidea","Balanidae","","","Balanus","rostratus",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-026",,"2023-09-10","","iNaturalist","",,3,"confirmed","observed","",782656,"ART"
"Bopyroides hippolytes","(Kröyer, 1838)","","shrimp parasitic isopod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Epicaridea","Bopyroidea","Bopyridae","Bopyrinae","","Bopyroides","hippolytes",,"",,"native","unlisted",,"2010-07-17","Andy Lamb","PMLS","",,"2010-07-17","Andy Lamb","PMLS","",,1,"reported","unobserved","",873867,"ART"
"Cancer productus","Randall, 1840","","red rock crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Cancroidea","Cancridae","","","Cancer","productus",,"",,"native","unlisted",,"1985-12-07","Andy Lamb","PMLS","",,"2023-08-30","","iNaturalist","",,172,"confirmed","observed","",47826,"ART"
"Caprella alaskana","Mayer, 1903","","Alaskan skeleton shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Caprelloidea","Caprellidae","Caprellinae","","Caprella","alaskana",,"",,"native","unlisted",,"2008-06-21","Andy Lamb","PMLS","",,"2019-05-04","Emily Adamczyk","PMLS","",,2,"confirmed","unobserved","",508889,"ART"
"Caprella mutica","Schurin, 1935","","Japanese skeleton shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Caprelloidea","Caprellidae","Caprellinae","","Caprella","mutica",,"",,"native","unlisted",,"2019-05-04","","iNaturalist","",,"2023-06-16","","iNaturalist","",,5,"new 2019","observed","",64634,"ART"
"Chorilia longipes","Dana, 1851","","longhorn decorator crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Majoidea","Epialtidae","Pisinae","","Chorilia","longipes",,"",,"native","unlisted",,"2008-05-22","Jackson W.F. Chu","Chu & Leys (2010)","",,"2021-08-13","","iNaturalist","",,7,"confirmed","observed","",459559,"ART"
"Chromopleustes oculatus","(Holmes, 1908)","","black-and-white sea flea","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Amphilochoidea","Pleustidae","Parapleustinae","","Chromopleustes","oculatus",,"",,"native","unlisted",,"1995-02-24","Charlie Gibbs","PMLS","",,"2008-05-30","Andy Lamb","PMLS","",,6,"confirmed","unobserved","",796029,"ART"
"Chthamalus dalli","Pilsbry, 1916","","small acorn barnacle","Animalia","Arthropoda","Crustacea","Multicrustacea","Hexanauplia","Thecostraca","Thoracicalcarea","Balanomorpha","","Chthamaloidea","Chthamalidae","","","Chthamalus","dalli",,"",,"native","unlisted",,"2008-02-16","Andy Lamb","PMLS","",,"2023-06-02","","iNaturalist","",,14,"confirmed","observed","",129910,"ART"
"Crangon nigricauda","Stimpson, 1856","","blacktail bay shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Crangonoidea","Crangonidae","","","Crangon","nigricauda",,"",,"","",,"2018-05-31","","iNaturalist","",,"2020-08-01","","iNaturalist","",,2,"new 2018","observed","",339110,"ART"
"Cryptolithodes sitchensis","J.F. Brandt, 1853","","umbrella crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Lithodidae","","","Cryptolithodes","sitchensis",,"",,"native","unlisted",,"1999-10-02","Andy Lamb","PMLS","",,"2007-10-14","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",47395,"ART"
"Cryptolithodes typicus","J.F. Brandt, 1848","","butterfly crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Lithodidae","","","Cryptolithodes","typicus",,"",,"native","unlisted",,"1985-07-29","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,38,"confirmed","unobserved","",53845,"ART"
"Desdimelita californica","(Alderman, 1936)","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Hadzioidea","Melitidae","","","Desdimelita","californica",,"",,"native","unlisted",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2006-0611",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2006-0611",,1,"reported","unobserved","",1128629,"ART"
"Desdimelita microdentata","Jarrett & Bousfield, 1996","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Hadzioidea","Melitidae","","","Desdimelita","microdentata",,"",,"native","unlisted",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2007-0102",,"1976-06-19","O'Clair, Rita M.","CMN","CMNC 2007-0102",,1,"reported","unobserved","",1128632,"ART"
"Discorsopagurus schmitti","(Stevens, 1925)","","tubeworm hermit","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Paguroidea","Paguridae","","","Discorsopagurus","schmitti",,"",,"native","unlisted",,"1986-09-30","","RBCM","986-00197-025",,"1986-09-30","","RBCM","986-00197-025",,1,"reported","unobserved","",459564,"ART"
"Echidnocerus cibarius","White, 1842","","Puget Sound king crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Lithodidae","","","Echidnocerus","cibarius",,"",,"native","unlisted",,"1994-02-27","Charlie Gibbs","PMLS","",,"2023-10-08","","iNaturalist","",,93,"confirmed","observed","reported as Lopholithodes mandtii",1439280,"ART"
"Echidnocerus foraminatus","(Stimpson, 1859)","","brown box crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Lithodoidea","Lithodidae","","","Echidnocerus","foraminatus",,"",,"native","unlisted",,"2008-05-22","Jackson W.F. Chu","Chu & Leys (2010)","",,"2008-05-25","","iNaturalist","",,8,"confirmed","observed","reported as Lopholithodes foraminatus",1439282,"ART"
