"scientificName","ID","Curator.Decision","Curator.Notes"
"Abietinaria","55322","DELETE","genus"
"Acanthochitonina","372790","DELETE","higher"
"Acanthodoris","47467","DELETE","genus"
"Acanthomorpha","1632273","DELETE","higher"
"Acotylea","56708","DELETE","higher"
"Actiniaria","47797","DELETE","higher"
"Actiniidae","47796","DELETE","higher"
"Actinioidea","813994","DELETE","higher"
"Actinopterygii","47178","DELETE","higher"
"Aeolidia","47464","DELETE","genus"
"Aeolidina","1644037","DELETE","higher"
"Aeolidioidea","564817","DELETE","higher"
"Aequorea","191502","DELETE","genus"
"Aglaja","49844","DELETE","genus"
"Alcyoniidae","155097","DELETE","higher"
"Aldisa","50096","DELETE","genus"
"Alia","129946","DELETE","genus"
"Alitta","152973","DELETE","genus"
"Alpheoidea","51195","DELETE","higher"
"Amphipoda","47628","DELETE","higher"
"Amphissa","117645","DELETE","genus"
"Ampithoidae","118499","DELETE","higher"
"Anisogammaridae","171654","DELETE","higher"
"Annelida","47491","DELETE","higher"
"Anoplarchus","67317","DELETE","genus"
"Anthoathecata","48922","DELETE","higher"
"Anthopleura","49052","DELETE","genus"
"Anthozoa","47533","DELETE","higher"
"Apata","631465","DELETE","genus"
"Aplidium","56053","DELETE","genus"
"Aplousobranchia","541417","DELETE","higher"
"Apodichthys","67407","DELETE","genus"
"Arenicolidae","208367","DELETE","higher"
"Argulus","248564","DELETE","genus"
"Artedius","86650","DELETE","genus"
"Arthropoda","47120","DELETE","higher"
"Ascidiacea","47811","DELETE","higher"
"Asteriidae","47671","DELETE","higher"
"Asteroidea","47668","DELETE","higher"
"Aurelia","48329","DELETE","genus"
"Balanidae","49128","DELETE","higher"
"Balanoidea","47661","DELETE","higher"
"Balanomorpha","49068","DELETE","higher"
"Balanophyllia","51801","DELETE","genus"
"Balanus","49129","DELETE","genus"
"Beroe","51507","DELETE","genus"
"Bivalvia","47584","DELETE","higher"
"Bolinopsis","416816","DELETE","genus"
"Boltenia","194570","DELETE","genus"
"Botrylloides","68097","DELETE","genus"
"Bougainvilliidae","63663","DELETE","higher"
"Brachyura","121639","DELETE","higher"
"Bryozoa","68104","DELETE","higher"
"Buccinoidea","499859","DELETE","higher"
"Bugulina","551800","DELETE","genus"
"Buguloidea","840957","DELETE","higher"
"Cadlina","47401","DELETE","genus"
"Caenogastropoda","246139","DELETE","higher"
"Calanoida","85507","DELETE","higher"
"Callianassidae","56657","DELETE","higher"
"Calliopioidea","983383","DELETE","higher"
"Calliostoma","48642","DELETE","genus"
"Camarodonta","85508","DELETE","higher"
"Campanulariidae","49537","DELETE","higher"
"Cancridae","47828","DELETE","higher"
"Caprella","47629","DELETE","genus"
"Caprellidae","47626","DELETE","higher"
"Caprelloidea","47627","DELETE","higher"
