"Family","Family_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Collection_List","Accession_Number","Historical_metadata","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link","story_text"
"Auks, murres & puffins (Alcidae)","Alcidae","Confirmed record","Synthliboramphus antiquus","Galiano Naturalist","W. Cartwright","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2019-10-26",NA,"35634215","https://www.inaturalist.org/observations/35634215","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of auks, murres & puffins, which was later confirmed by W. Cartwright in 2019."
"Blackbirds, orioles & meadowlarks (Icteridae)","Icteridae","Remaining historical report","Xanthocephalus xanthocephalus","Galiano Naturalist",NA,"Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016",NA,NA,NA,NA,"In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of blackbirds, orioles & meadowlarks, which has not been seen since."
"Blackbirds, orioles & meadowlarks (Icteridae)","Icteridae","Confirmed record","Sturnella neglecta","Galiano Naturalist","lornasdr","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2022-11-06",NA,"141331288","https://www.inaturalist.org/observations/141331288","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of blackbirds, orioles & meadowlarks, which was later confirmed by lornasdr in 2022."
"Cardinals, grosbeaks & buntings (Cardinalidae)","Cardinalidae","Remaining historical report","Passerina amoena","Galiano Naturalist",NA,"Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016",NA,NA,NA,NA,"In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of cardinals, grosbeaks & buntings, which has not been seen since."
"Cardinals, grosbeaks & buntings (Cardinalidae)","Cardinalidae","Confirmed record","Pheucticus melanocephalus","Galiano Naturalist","Sarah Tweedale","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2015-05-14",NA,"4039998","https://www.inaturalist.org/observations/4039998","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of cardinals, grosbeaks & buntings, which was later confirmed by Sarah Tweedale in 2015."
"Chickadees & tits (Paridae)","Paridae","Confirmed record","Poecile rufescens","Galiano Naturalist","lesfreck","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2011-07-25",NA,"86518608","https://www.inaturalist.org/observations/86518608","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of chickadees & tits, which was later confirmed by lesfreck in 2011."
"Cormorants (Phalacrocoracidae)","Phalacrocoracidae","Confirmed record","Urile penicillatus","Galiano Naturalist","Michael Hoebel","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2012-05-03",NA,"4046927","https://www.inaturalist.org/observations/4046927","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of cormorants, which was later confirmed by Michael Hoebel in 2012."
"Crows, ravens & jays (Corvidae)","Corvidae","Confirmed record","Corvus brachyrhynchos caurinus","Galiano Naturalist","lesfreck","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2012-07-23",NA,"86523788","https://www.inaturalist.org/observations/86523788","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of crows, ravens & jays, which was later confirmed by lesfreck in 2012."
"Dippers (Cinclidae)","Cinclidae","Confirmed record","Cinclus mexicanus","Galiano Naturalist","Christopher King","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2017-02-01",NA,"5815600","https://www.inaturalist.org/observations/5815600","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of dippers, which was later confirmed by Christopher King in 2017."
"Ducks, geese & swans (Anatidae)","Anatidae","Remaining historical report","Aythya marila","Galiano Naturalist",NA,"Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016",NA,NA,NA,NA,"In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of ducks, geese & swans, which has not been seen since."
"Ducks, geese & swans (Anatidae)","Anatidae","Confirmed record","Aythya collaris","Galiano Naturalist","Michael Hoebel","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2011-05-10",NA,"4046933","https://www.inaturalist.org/observations/4046933","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of ducks, geese & swans, which was later confirmed by Michael Hoebel in 2011."
"Falcons (Falconidae)","Falconidae","Remaining historical report","Falco columbarius","Galiano Naturalist",NA,"Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016",NA,NA,NA,NA,"In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of falcons, which has not been seen since."
"Falcons (Falconidae)","Falconidae","Confirmed record","Falco peregrinus","Galiano Naturalist","Michael Hoebel","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2009-08-15",NA,"4046871","https://www.inaturalist.org/observations/4046871","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of falcons, which was later confirmed by Michael Hoebel in 2009."
"Finches (Fringillidae)","Fringillidae","Confirmed record","Hesperiphona vespertina","Galiano Naturalist","Sarah Tweedale","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2015-05-21",NA,"4039972","https://www.inaturalist.org/observations/4039972","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of finches, which was later confirmed by Sarah Tweedale in 2015."
