"Family","Family_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Collection_List","Accession_Number","Historical_metadata","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link","story_text"
"Adder's-tongue family (Ophioglossaceae)","Ophioglossaceae","Remaining historical report","Sceptridium multifidum","Harvey Janszen",NA,"RBCM","V097818"," (RBCM, V097818)","1979-06-08",NA,NA,NA,NA,"In 1979, Harvey Janszen (RBCM, V097818) reported this taxon of adder's-tongue family, which has not been seen since."
"Amaranth family (Amaranthaceae)","Amaranthaceae","Remaining historical report","Salicornia depressa","Andy Lamb & Donna Gibbs",NA,"Ocean Wise",NA," (Ocean Wise)","2006-06-30",NA,NA,NA,NA,"In 2006, Andy Lamb & Donna Gibbs (Ocean Wise) reported this taxon of amaranth family, which has not been seen since."
"Amaranth family (Amaranthaceae)","Amaranthaceae","Confirmed record","Atriplex dioica","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-06-19",NA,"3495353","https://www.inaturalist.org/observations/3495353","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of amaranth family, which was later confirmed by Andrew Simon in 2016."
"Amaryllis family (Amaryllidaceae)","Amaryllidaceae","Confirmed record","Allium cernuum","Jenifer Penny, Charlotte Norris, & Harvey Janszen","Adam Huggins","RBCM","V178592"," (RBCM, V178592)","1996-05-21","2016-05-25",NA,"3318682","https://www.inaturalist.org/observations/3318682","In 1996, Jenifer Penny, Charlotte Norris, & Harvey Janszen (RBCM, V178592) reported this taxon of amaryllis family, which was later confirmed by Adam Huggins in 2016."
"Arrow-grass family (Juncaginaceae)","Juncaginaceae","Remaining historical report","Triglochin concinna var. concinna","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of arrow-grass family, which has not been seen since."
"Arrow-grass family (Juncaginaceae)","Juncaginaceae","Confirmed record","Triglochin maritima","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-05-10",NA,"3310652","https://www.inaturalist.org/observations/3310652","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of arrow-grass family, which was later confirmed by Andrew Simon in 2016."
"Arum family (Araceae)","Araceae","Confirmed record","Spirodela polyrhiza","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-06-05",NA,"3672168","https://www.inaturalist.org/observations/3672168","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of arum family, which was later confirmed by Andrew Simon in 2016."
"Asparagus family (Asparagaceae)","Asparagaceae","Confirmed record","Brodiaea coronaria","Harvey Janszen","Brian Starzomski","RBCM","V113756"," (RBCM, V113756)","1981-07-07","2012-06-21",NA,"7641848","https://www.inaturalist.org/observations/7641848","In 1981, Harvey Janszen (RBCM, V113756) reported this taxon of asparagus family, which was later confirmed by Brian Starzomski in 2012."
"Balsam family (Balsaminaceae)","Balsaminaceae","Remaining historical report","Impatiens glandulifera","P. F. Zika",NA,"WTU","361123"," (WTU, 361123)","2004-08-22",NA,NA,NA,NA,"In 2004, P. F. Zika (WTU, 361123) reported this taxon of balsam family, which has not been seen since."
"Barberry family (Berberidaceae)","Berberidaceae","Confirmed record","Achlys triphylla","Harvey Janszen","Felix Erhard","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2013-04-10",NA,"2583396","https://www.inaturalist.org/observations/2583396","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of barberry family, which was later confirmed by Felix Erhard in 2013."
"Beech family (Fagaceae)","Fagaceae","Confirmed record","Quercus garryana var. garryana","Angela Wood","T. Abe Lloyd","RBCM","V097386"," (RBCM, V097386)","1975-05-31","2011-12-22",NA,"38191914","https://www.inaturalist.org/observations/38191914","In 1975, Angela Wood (RBCM, V097386) reported this taxon of beech family, which was later confirmed by T. Abe Lloyd in 2011."
"Bellflower family (Campanulaceae)","Campanulaceae","Remaining historical report","Campanula rotundifolia","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of bellflower family, which has not been seen since."
"Bellflower family (Campanulaceae)","Campanulaceae","Confirmed record","Campanula scouleri","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-05-14",NA,"3296703","https://www.inaturalist.org/observations/3296703","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of bellflower family, which was later confirmed by Lauren Magner in 2016."
