"Taxon","Matched.Taxon","Critical.Note"
"Ambystoma gracile (Baird, 1859)","Ambystoma gracile",""
"Ambystoma gracile Baird, 1859","Ambystoma gracile",""
"Ambystoma gracile decorticatum","Ambystoma gracile",""
"Ambystoma gracile gracile","Ambystoma gracile",""
"Ambystoma gracile mormon","Ambystoma gracile",""
"Ambystoma macrodactylum Baird, 1850","Ambystoma macrodactylum",""
"Ambystoma macrodactylum macrodactylum","Ambystoma macrodactylum",""
"Anaxyrus boreas (Baird & Girard, 1852)","Anaxyrus boreas",""
"Anaxyrus boreas (Baird and Girard, 1852)","Anaxyrus boreas",""
"Anaxyrus boreas boreas","Anaxyrus boreas",""
"Anaxyrus boreas boreas (Baird & Girard, 1852)","Anaxyrus boreas",""
"Aneides vagrans Wake and Jackman, 1999","Aneides vagrans",""
"Bufo boreas","Anaxyrus boreas",""
"Bufo boreas boreas","Anaxyrus boreas",""
"Charina bottae (Blainville, 1835)","Charina bottae",""
"Chrysemys picta bellii","Chrysemys picta",""
"Chrysemys picta bellii (Gray, 1831)","Chrysemys picta",""
"Chrysemys picta marginata","Chrysemys picta",""
"Chrysemys picta picta","Chrysemys picta",""
"Chrysemys picta subsp. bellii","Chrysemys picta",""
"Coluber constrictor mormon","Coluber constrictor",""
"Contia tenuis (Baird and Girard, 1852)","Contia tenuis",""
"Crotalus oreganus Holbrook, 1840","Crotalus oreganus",""
"Dicamptodon ensatus","Dicamptodon tenebrosus",""
"Elgaria coerulea (Wiegmann, 1828)","Elgaria coerulea",""
"Elgaria coerulea principis","Elgaria coerulea",""
"Elgaria coerulea principis Baird and Girard, 1852","Elgaria coerulea",""
"Elgaria coerulea Wiegmann, 1828","Elgaria coerulea",""
"Ensatina eschscholtzii Gray, 1850","Ensatina eschscholtzii",""
"Ensatina eschscholtzii oregonensis","Ensatina eschscholtzii",""
"Hyla regilla","Pseudacris regilla",""
"Lithobates catesbeiana (Shaw, 1802)","Lithobates catesbeianus",""
"Lithobates catesbeianus (Shaw, 1802)","Lithobates catesbeianus",""
"Lithobates clamitans (Latreille, 1801)","Lithobates clamitans",""
"Lithobates clamitans melanota (Rafinesque, 1820)","Lithobates clamitans",""
"Lithobates pipiens (Schreber, 1782)","Lithobates pipiens",""
"Pituophis catenifer","Pituophis catenifer catenifer",""
"Pituophis catenifer deserticola Stejneger, 1893","Pituophis catenifer deserticola",""
"Plethodon vehiculum (Cooper, 1860)","Plethodon vehiculum",""
"Podarcis muralis (Laurenti, 1768)","Podarcis muralis",""
"Podarcis muralis maculiventris","Podarcis muralis",""
"PSEUDACRIS REGILLA","Pseudacris regilla",""
"Pseudacris regilla (Baird and Girard, 1852)","Pseudacris regilla",""
"RANA AURORA","Rana aurora",""
"Rana aurora aurora","Rana aurora",""
"Rana aurora aurora Baird and Girard, 1852","Rana aurora",""
"Rana aurora Baird & Girard  1852","Rana aurora",""
"Rana aurora Baird & Girard, 1852","Rana aurora",""
"Rana aurora Baird and Girard, 1852","Rana aurora",""
"Rana catesbeiana","Lithobates catesbeianus",""
"Rana luteiventris Thompson, 1913","Rana luteiventris",""
"Rana pretiosa Baird & Girard, 1853","Rana pretiosa",""
"Rana pretiosa pretiosa","Rana pretiosa",""
"Sceloporus occidentalis occidentalis","Sceloporus occidentalis",""
"Taricha granulosa (Skilton, 1849)","Taricha granulosa",""
"Taricha granulosa granulosa","Taricha granulosa",""
"Taricha granulosa granulosus","Taricha granulosa",""
"THAMNOPHIS ELEGANS","Thamnophis elegans",""
"Thamnophis elegans (Baird and Girard, 1853)","Thamnophis elegans",""
"Thamnophis elegans vagrans","Thamnophis elegans",""
"Thamnophis elegans vagrans (Baird & Girard, 1853)","Thamnophis elegans",""
"THAMNOPHIS ORDINOIDES","Thamnophis ordinoides",""
"Thamnophis ordinoides (Baird & Girard, 1852)","Thamnophis ordinoides",""
"Thamnophis ordinoides (Baird and Girard, 1852)","Thamnophis ordinoides",""
"Thamnophis ordinoides Baird & Girard, 1852","Thamnophis ordinoides",""
"Thamnophis ordinoides ordinoides Baird & Girard, 1852","Thamnophis ordinoides",""
"Thamnophis sirtalis fitchi Fox, 1951","Thamnophis sirtalis fitchi",""
"Thamnophis sirtalis pickeringi","Thamnophis sirtalis pickeringii",""
"Thamnophis sirtalis pickeringi (Baird & Girard, 1853)","Thamnophis sirtalis pickeringii",""
"Trachemys scripta elegans","Trachemys scripta",""
"Trachemys scripta elegans (Wied-Neuwied, 1839)","Trachemys scripta",""
"Trachemys scripta scripta","Trachemys scripta",""
"Trachemys scripta subsp. elegans (Wied, 1838)","Trachemys scripta",""
"Thamnophis thamnophis","",""
"Thamnophis sirtalis","",""
"Aneides ferreus","",""
"Thamnophis sirtalis concinnus (Hallowell, 1852)","",""
"Anolis sagrei","",""
"Lithobates","",""
"Chelydra serpentina","",""
"Pseudemys concinna","",""
"Ambystoma maculatum","",""
"Thamnophis","",""
"Trachemys","",""
"Deirochelyinae","",""
"Graptemys pseudogeographica","",""
"Graptemys ouachitensis","",""
"Ichthyosaura alpestris","",""
"Podarcis siculus","",""
"Ambystoma","",""
"BOLD:AAD3817","",""
"THAMNOPHIS SIRTALIS","",""
"Thamnophis sirtalis (Linnaeus, 1758)","",""
"Triturus torosus","",""
"Thamnophis sirtalis Linnaeus, 1758","",""
"Thamnophis sirtalis sirtalis (Linnaeus, 1758)","",""
