"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","observationStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Lepus americanus","Erxleben, 1777","","snowshoe hare","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Lagomorpha","","","Leporidae","","","Lepus","americanus",NA,"",NA,"native","S5 (2015)","","confirmed","observed","1916-07-15","Spreadborough, William","CMN","2674","1804070550","2012-07-13","onyxrat","https://www.inaturalist.org/observations/67885414",NA,"43132","MAM"
"Lepus americanus washingtonii","Erxleben, 1777","Baird, 1855","Washington snowshoe hare","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Lagomorpha","","","Leporidae","","","Lepus","americanus",NA,"washingtonii",NA,"native","S1 (2011)","","confirmed","observed","1894-12-13","Allan Cyril Brooks","MCZ","BANGS-2435","476815461","2011-07-09","Lee E. Harding","https://www.inaturalist.org/observations/7617644",NA,"236660","MAM"
"Oryctolagus cuniculus","Linnaeus, 1758","","European rabbit","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Lagomorpha","","","Leporidae","","","Oryctolagus","cuniculus",NA,"",NA,"exotic","S (2020)","","confirmed","observed","1800-01-01","","UWBM","30115","1702669245","2007-09-07","queenb1960s","https://www.inaturalist.org/observations/129503894",NA,"43151","MAM"
"Sylvilagus floridanus","J. A. Allen, 1890","","eastern cottontail","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Lagomorpha","","","Leporidae","","","Sylvilagus","floridanus",NA,"",NA,"exotic","S (2020)","","reported","unobserved","1941-08-04","J. Waskey; Preparator(s): J. Waskey","UWBM","51266","1702689149","","","",NA,"43111","MAM"
"Ochotona princeps","Richardson, 1828","","American pika","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Lagomorpha","","","Ochotonidae","","","Ochotona","princeps",NA,"",NA,"native","S4S5 (2015)","","confirmed","observed","1916-08-09","Young, Charles H.","CMN","2696","1804076307","2003-07-05","Steve Ansell","https://www.inaturalist.org/observations/108401818",NA,"43188","MAM"
"Aplodontia rufa","Rafinesque, 1817","","mountain beaver","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Sciuromorpha","","Aplodontiidae","","","Aplodontia","rufa",NA,"",NA,"native","S4","","reported","unobserved","1925-11-25","","UWBM","18838","1702667031","","","",NA,"43736","MAM"
"Castor canadensis","Kuhl, 1820","","Canadian beaver","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Castorimorpha","","Castoridae","","","Castor","canadensis",NA,"",NA,"native","S5","","confirmed","observed","1800-01-01","Woodland Park Zoo","UWBM","19682","1702667440","2004-06-13","Pål A. Olsvik","https://www.inaturalist.org/observations/117708688",NA,"43794","MAM"
"Clethrionomys gapperi","(Vigors, 1830)","","southern red-backed vole","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Clethrionomyini","Clethrionomys","gapperi",NA,"",NA,"native","S5 (2015)","","confirmed","observed","1910-04-22","Annie M. Alexander","MVZ","12310","1145691035","2013-06-18","Sean Daniels","https://www.inaturalist.org/observations/103183981",NA,"1431274","MAM"
"Clethrionomys gapperi occidentalis","(Vigors, 1830)","(Merriam, 1890)","southern red-backed vole, western subspecies","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Clethrionomyini","Clethrionomys","gapperi",NA,"occidentalis",NA,"native","S1 (2006)","","reported","unobserved","1946-09-30","M.J. Carter  H.D. Fisher","UBCBBM","M001974","1291997252","","","",NA,"1431805","MAM"
"Microtus longicaudus","Merriam, 1888","","long-tailed vole","Animalia","Chordata","Vertebrata",NA,"Mammalia","Theria","Euarchontoglires","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Microtini","Microtus","longicaudus",NA,"",NA,"native","S5 (2015)","","reported","unobserved","1916-06-26","Spreadborough, William","CMN","2655","1804069078","","","",NA,"44307","MAM"
