"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"Cribraria tubulina","(Alb. & Schwein.) Rostaf.",NA,"Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Lucisporomycetidae","Cribrariidia","Cribrariales",NA,NA,NA,"Cribrariaceae",NA,NA,"Cribraria","tubulina",NA,NA,NA,"S4S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Leocarpus fragilis","(Dicks.) Rostaf.","insect-egg slime","Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Columellomycetidae","Stemonitidia","Physarales",NA,NA,NA,"Physaraceae",NA,NA,"Leocarpus","fragilis",NA,NA,NA,"S3S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Arcyria cinerea","(Bull.) Pers.","White Carnival Candy Slime Mold","Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Lucisporomycetidae","Trichiidia","Trichiales",NA,NA,NA,"Arcyriaceae",NA,NA,"Arcyria","cinerea",NA,NA,NA,"S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Arcyria denudata","(L.) Wettst.","carnival candy slime mold","Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Lucisporomycetidae","Trichiidia","Trichiales",NA,NA,NA,"Arcyriaceae",NA,NA,"Arcyria","denudata",NA,NA,NA,"S3S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Arcyria stipata","(Schwein.) Lister",NA,"Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Lucisporomycetidae","Trichiidia","Trichiales",NA,NA,NA,"Arcyriaceae",NA,NA,"Arcyria","stipata",NA,NA,NA,"SU","Apr 2023","Unknown",NA,NA,NA,NA,NA
"Comatricha nigra","(Pers. ex J.F.Gmel.) J.Schröt.",NA,"Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Columellomycetidae","Stemonitidia","Stemonitidales",NA,NA,NA,"Amaurochaetaceae",NA,NA,"Comatricha","nigra",NA,NA,NA,"S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Diachea leucopodia","(Bull.) Rostaf.","White-footed Slime","Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Columellomycetidae","Stemonitidia","Physarales",NA,NA,NA,"Didymiaceae",NA,NA,"Diachea","leucopodia",NA,NA,NA,"S3","Apr 2023","Blue",NA,NA,NA,NA,NA
"Dictydiaethalium plumbeum","(Schumach.) Rostaf.",NA,"Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Lucisporomycetidae","Trichiidia","Trichiales",NA,NA,NA,"Dianemataceae",NA,NA,"Dictydiaethalium","plumbeum",NA,NA,NA,"S3S4","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Hemitrichia decipiens","(Pers.) Rostaf.","salmon-eggs","Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Lucisporomycetidae","Trichiidia","Trichiales",NA,NA,NA,"Hemitrichiaceae",NA,NA,"Hemitrichia","decipiens",NA,NA,NA,"S3S4","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Physarum album","(Bull.) Chevall.",NA,"Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Columellomycetidae","Stemonitidia","Physarales",NA,NA,NA,"Physaraceae",NA,NA,"Physarum","album",NA,NA,NA,"S4S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Physarum viride","(Bull.) Pers.",NA,"Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Columellomycetidae","Stemonitidia","Physarales",NA,NA,NA,"Physaraceae",NA,NA,"Physarum","viride",NA,NA,NA,"S4S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Reticularia lycoperdon","Bull.","False Puffball","Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Lucisporomycetidae","Trichiidia","Reticulariales",NA,NA,NA,"Reticulariaceae",NA,NA,"Reticularia","lycoperdon",NA,NA,NA,"S3S4","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Stemonitis splendens","Rostaf.","chocolate tube slime","Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Columellomycetidae","Stemonitidia","Stemonitidales",NA,NA,NA,"Stemonitidaceae",NA,NA,"Stemonitis","splendens",NA,NA,NA,"S4S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Trichia varia","(Pers.) Pers.",NA,"Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Lucisporomycetidae","Trichiidia","Trichiales",NA,NA,NA,"Trichiaceae",NA,NA,"Trichia","varia",NA,NA,NA,"S4S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Badhamia utricularis","(Bull.) Berk.",NA,"Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Columellomycetidae","Stemonitidia","Physarales",NA,NA,NA,"Physaraceae",NA,NA,"Badhamia","utricularis",NA,NA,NA,"S3S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Brefeldia maxima","(Fr.) Rostaf.","Tapioca Slime Mold","Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Columellomycetidae","Stemonitidia","Stemonitidales",NA,NA,NA,"Amaurochaetaceae",NA,NA,"Brefeldia","maxima",NA,NA,NA,"S3S4","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Ceratiomyxa fruticulosa","(O.F.Müll.) T.Macbr.","Common Coral Slime","Protozoa","Mycetozoa",NA,NA,"Ceratiomyxomycetes",NA,NA,"Ceratiomyxales",NA,NA,NA,"Ceratiomyxaceae",NA,NA,"Ceratiomyxa","fruticulosa",NA,NA,NA,"S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
"Fuligo septica","(L.) F.H.Wigg.","Dog Vomit Slime Mold","Protozoa","Mycetozoa",NA,NA,"Myxomycetes","Columellomycetidae","Stemonitidia","Physarales",NA,NA,NA,"Physaraceae",NA,NA,"Fuligo","septica",NA,NA,NA,"S5","Apr 2023","Yellow",NA,NA,NA,NA,NA
