"scientificName","scientificNameAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","species","variety","subspecies","hybrid","provincial_status","Prov Status Review Date","bc_list","national_status","COSEWIC Date","SARA Schedule","SARA_status","SARA Date"
"× Elyhordeum stebbinsianum","(Bowden) Barkworth & D.R.Dewey","Stebbins' elyhordeum","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Pooideae","Triticeae",NA,NA,NA,NA,"× Elyhordeum stebbinsianum",NA,NA,NA,NA,NA,NA,NA,NA
"Acer palmatum","Thunberg","Japanese maple","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Sapindales",NA,NA,NA,"Sapindaceae",NA,NA,"Acer","palmatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthoxanthum nitens","(Weber) Y.Schouten & Veldkamp","bison grass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Pooideae","Poeae","Anthoxanthum","nitens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arbutus unedo","L.","strawberry tree","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Ericales",NA,NA,NA,"Ericaceae","Arbutoideae",NA,"Arbutus","unedo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aruncus sylvester","Kostel. ex Maxim.","goatsbeard","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Amygdaloideae","Spiraeeae","Aruncus","sylvester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aucuba sp.","Thunb.","aucubas","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Garryales",NA,NA,NA,"Garryaceae",NA,NA,"Aucuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Berberis × hortensis","Mabb.","Hybrid Mahonia","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Ranunculales",NA,NA,NA,"Berberidaceae","Berberidoideae","Berberideae","Berberis",NA,NA,NA,"Berberis × hortensis",NA,NA,NA,NA,NA,NA,NA,NA
"Berberis darwinii","Hook.","Darwin's Barberry","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Ranunculales",NA,NA,NA,"Berberidaceae","Berberidoideae","Berberideae","Berberis","darwinii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botrychium lunaria","(L.) Sw.","moonwort","Plantae","Tracheophyta",NA,NA,"Polypodiopsida","Ophioglossidae",NA,"Ophioglossales",NA,NA,NA,"Ophioglossaceae","Botrychioideae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botrychium sp.","Sw.","moonworts","Plantae","Tracheophyta",NA,NA,"Polypodiopsida","Ophioglossidae",NA,"Ophioglossales",NA,NA,NA,"Ophioglossaceae","Botrychioideae",NA,"Botrychium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callicarpa sp.","L.","Beautyberries","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Lamiales",NA,NA,NA,"Lamiaceae","Callicarpoideae",NA,"Callicarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campanula alaskana","L.","Alaskan bellflower","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Asterales",NA,NA,NA,"Campanulaceae","Campanuloideae",NA,"Campanula","alaskana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex lenticularis","Michx.","lenticular sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Cyperaceae","Cyperoideae","Cariceae","Carex","lenticularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex plectocarpa","T.J.Howell","Goose-grass Sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Cyperaceae","Cyperoideae","Cariceae","Carex","plectocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex pyrenaica","wahlenb.","Pyrenean Sedge","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Cyperaceae","Cyperoideae","Cariceae","Carex","pyrenaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castanea sativa","Mill.","Sweet Chestnut","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Fagales",NA,NA,NA,"Fagaceae",NA,NA,"Castanea","sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castanea sp.","Mill.","Chestnuts","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Fagales",NA,NA,NA,"Fagaceae",NA,NA,"Castanea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Consolida sp.","L.","Eurasian Larkspurs","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Ranunculales",NA,NA,NA,"Ranunculaceae","Ranunculoideae","Delphinieae","Delphinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convallaria majalis","L.","European lily of the valley","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Asparagales",NA,NA,NA,"Asparagaceae","Nolinoideae","Convallarieae","Convallaria","majalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cotoneaster integrifolius","(Roxb.) G.Klotz","entire-leaved cotoneaster","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Rosales",NA,NA,NA,"Rosaceae","Amygdaloideae","Maleae","Cotoneaster","integrifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crocosmia × crocosmiiflora","(Lemoine) N.E. Br.","Garden Montbretia","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Asparagales",NA,NA,NA,"Iridaceae","Crocoideae","Ixieae","Crocosmia",NA,NA,NA,"Crocosmia × crocosmiiflora",NA,NA,NA,NA,NA,NA,NA,NA
"Dichanthelium sp.","(Hitchc. & Chase) Gould","rosette grasses","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Panicoideae","Paniceae","Dichanthelium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diphasiastrum alpinum × sitchense","(L.) Holub","Alpine × Sitka Clubmoss","Plantae","Tracheophyta",NA,NA,"Lycopodiopsida",NA,NA,"Lycopodiales",NA,NA,NA,"Lycopodiaceae","Lycopodioideae",NA,"Diphasiastrum",NA,NA,NA,"Diphasiastrum alpinum × sitchense",NA,NA,NA,NA,NA,NA,NA,NA
"Elymus trachycaulus","(Link) Gould ex Shinners","slender wheatgrass","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Pooideae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia characias","L.","Mediterranean spurge","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Malpighiales",NA,NA,NA,"Euphorbiaceae","Euphorbioideae","Euphorbieae","Euphorbia","characias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphrasia officinalis","L.","Eyebright","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Lamiales",NA,NA,NA,"Orobanchaceae",NA,"Rhinantheae","Euphrasia","officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fagus sylvatica","L.","European beech","Plantae","Tracheophyta","Angiospermae",NA,"Magnoliopsida",NA,NA,"Fagales",NA,NA,NA,"Fagaceae",NA,NA,"Fagus","sylvatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fargesia murielae","(Gamble) T.P.Yi","Umbrella Bamboo","Plantae","Tracheophyta","Angiospermae",NA,"Liliopsida",NA,NA,"Poales",NA,NA,NA,"Poaceae","Bambusoideae","Arundinarieae","Fargesia","murielae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
