"scientificName","source_file","report_group"
"Larus smithsonianus","Howe_Sound_birds_reviewed.csv","BIRDS"
"Setophaga aestiva","Howe_Sound_birds_reviewed.csv","BIRDS"
"Aspicilia sp.","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Candelariella sp.","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Cetraria islandica","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Cladonia cristatella","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Cladonia ecmocyna","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Cladonia gracilis","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Cladonia nitens","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Cladonia polydactyla","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Cladonia subsquamosa","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Cyclohymenia epilithica","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Halokirschsteiniothelia maritima","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Hypogymnia metaphysodes","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Ionaspis sp.","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Lepraria caesioalba","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Lepraria lobificans","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Melanelixia fuliginosa","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Microthyrium macrosporum","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Notoparmelia kerguelensis","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Ochrolechia pallescens","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Pannaria sp.","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Piricauda pelagica","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Polycauliona polycarpa","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Ramularia rubella","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Rehmia reducta","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Sphaerulina populicola","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Stereocaulon dactylophyllum","Howe_Sound_lichens_reviewed.csv","LICHENS"
"Tuckermanopsis subalpina","Howe_Sound_lichens_reviewed.csv","LICHENS"
