"Scientific name","Common name","Provincial status","BC list","National status","SARA status","Residency status"
"Callipepla californica","California Quail","SNA (2015)","Exotic","","","introduced"
"Ammospiza nelsoni","Nelson's Sparrow","S2B (2018)","Red","","","accidental"
"Amphispiza bilineata","Black-throated Sparrow","SNA (2024)","Accidental","","","accidental"
"Chondestes grammacus","Lark Sparrow","S2S4B (2022)","Blue","","","accidental"
"Junco hyemalis","Dark-eyed Junco","S5 (2015)","Yellow","","","permanent"
"Melospiza georgiana","Swamp Sparrow","S4S5 (2015)","Yellow","","","passage migrant (rare), winter (rare)"
"Melospiza lincolnii","Lincoln's Sparrow","S5B, SNRN (2015)","Yellow","","","passage migrant, winter"
"Melospiza melodia","Song Sparrow","S5 (2015)","Yellow","","","permanent"
"Passerculus sandwichensis","Savannah Sparrow","S5B (2022)","Yellow","","","breeding, winter (rare)"
"Passerella iliaca","Fox Sparrow","S5 (2015)","Yellow","","","permanent"
"Pipilo maculatus","Spotted Towhee","S5 (2015)","Yellow","","","permanent"
"Pooecetes gramineus affinis","Oregon Vesper Sparrow","S1B (2022)","Red","Endangered (2018)","S1: Endangered (2007)","accidental"
"Spizella breweri breweri","Sagebrush Brewer's Sparrow","S2S3B (2025)","Blue","","","accidental"
"Spizella pallida","Clay-colored Sparrow","S5B (2015)","Yellow","","","passage migrant (rare)"
"Spizella passerina","Chipping Sparrow","S5B (2015)","Yellow","","","breeding"
"Spizella pusilla","Field Sparrow","SNA (2024)","Accidental","","","accidental"
"Spizelloides arborea","American Tree Sparrow","S4B (2015)","Yellow","","","winter (rare)"
"Zonotrichia albicollis","White-throated Sparrow","S5 (2015)","Yellow","","","winter (rare)"
"Zonotrichia atricapilla","Golden-crowned Sparrow","S5?B (2015)","Yellow","","","winter"
"Zonotrichia leucophrys","White-crowned Sparrow","S5 (2011)","Yellow","","","breeding"
"Zonotrichia querula","Harris's Sparrow","SUM (2015)","Unknown","Special Concern (2017)","","accidental"
"Cathartes aura","Turkey Vulture","S4 (2015)","Yellow","","","breeding"
"Cardellina canadensis","Canada Warbler","S3B (2022)","Blue","Special Concern (2020)","S1: Threatened (2010)","accidental"
"Cardellina pusilla","Wilson's Warbler","S5B (2015)","Yellow","","","breeding"
"Geothlypis tolmiei","MacGillivray's Warbler","S5B (2015)","Yellow","","","breeding"
"Geothlypis trichas","Common Yellowthroat","S5 (2015)","Yellow","","","breeding"
"Leiothlypis celata","Orange-crowned Warbler","S5B (2015)","Yellow","","","breeding, winter (rare)"
"Leiothlypis celata lutescens","Pacific Orange-crowned Warbler","S5B (2015)","Yellow","","","breeding, winter (rare)"
"Leiothlypis peregrina","Tennessee Warbler","S5B (2015)","Yellow","","","passage migrant (rare)"
"Leiothlypis ruficapilla","Nashville Warbler","S5B (2015)","Yellow","","","breeding (rare)"
"Mniotilta varia","Black-and-white Warbler","S4S5B (2015)","Yellow","","","accidental"
"Oporornis agilis","Connecticut Warbler","S3B (2024)","Blue","","","accidental"
"Parkesia noveboracensis","Northern Waterthrush","S5B (2015)","Yellow","","","passage migrant (rare)"
"Seiurus aurocapilla","Ovenbird","S5B (2015)","Yellow","","","accidental"
"Setophaga aestiva","Northern Yellow Warbler","","","","","breeding"
"Setophaga coronata","Yellow-rumped Warbler","S5B (2015)","Yellow","","","breeding, winter (rare)"
"Setophaga nigrescens","Black-throated Gray Warbler","S4S5B (2015)","Yellow","","","breeding"
"Setophaga palmarum","Palm Warbler","S4S5B (2015)","Yellow","","","winter (rare)"
"Setophaga pensylvanica","Chestnut-sided Warbler","SNA (2024)","Accidental","","","accidental"
"Setophaga ruticilla","American Redstart","S5B (2015)","Yellow","","","breeding"
"Setophaga townsendi","Townsend's Warbler","S5B (2015)","Yellow","","","breeding"
"Setophaga virens","Black-throated Green Warbler","S3B (2024)","Blue","","","accidental"
"Passer domesticus","House Sparrow","SNA (2024)","Exotic","","","introduced"
"Brachyramphus marmoratus","Marbled Murrelet","S3 (2022)","Blue","Threatened (2012)","S1: Threatened (2003)","permanent"
"Cepphus columba","Pigeon Guillemot","S4 (2023)","Yellow","","","permanent"
"Cerorhinca monocerata","Rhinoceros Auklet","S4 (2025)","Yellow","","","winter"
"Ptychoramphus aleuticus","Cassin's Auklet","S2B, S3N (2018)","Red","Special Concern (2014)","S1: Special Concern (2019)","accidental"
"Synthliboramphus antiquus","Ancient Murrelet","S2S3B, S4N (2022)","Blue","Special Concern (2014)","S1: Special Concern (2006)","winter (rare)"
"Uria aalge","Common Murre","S2B, S3S4N (2015)","Red","","","passage migrant, winter"
"Tyto alba","Western Barn Owl","S3 (2022)","Blue","Threatened","S1: Threatened (2018)","permanent"
"Agelaius phoeniceus","Red-winged Blackbird","S5B, S5N (2015)","Yellow","","","permanent"
"Dolichonyx oryzivorus","Bobolink","S2?B (2022)","Red","Special Concern (2022)","S1: Threatened (2017)","accidental"
"Euphagus carolinus","Rusty Blackbird","S3S4 (2025)","Blue","Special Concern (2017)","S1: Special Concern (2009)","winter (rare)"
"Euphagus cyanocephalus","Brewer's Blackbird","S5 (2015)","Yellow","","","permanent"
"Icterus bullockii","Bullock's Oriole","S5B (2015)","Yellow","","","breeding (rare)?"
"Molothrus ater","Brown-headed Cowbird","S5 (2015)","Yellow","","","breeding, winter (rare)"
"Sturnella neglecta","Western Meadowlark","S4?B, SNRN (2022)","Yellow","","","passage migrant, winter"
"Xanthocephalus xanthocephalus","Yellow-headed Blackbird","S4B (2015)","Yellow","","","passage migrant, breeding?"
"Passerina amoena","Lazuli Bunting","S5B (2015)","Yellow","","","breeding (rare)"
"Passerina ciris","Painted Bunting","SNA (2024)","Accidental","","","accidental"
"Passerina cyanea","Indigo Bunting","SNA (2015)","Accidental","","","accidental"
"Pheucticus ludovicianus","Rose-breasted Grosbeak","S4S5B (2015)","Yellow","","","accidental"
"Pheucticus melanocephalus","Black-headed Grosbeak","S5B (2016)","Yellow","","","breeding"
"Piranga ludoviciana","Western Tanager","S5B (2015)","Yellow","","","breeding"
"Poecile atricapillus","Black-capped Chickadee","S5 (2015)","Yellow","","","permanent"
"Poecile gambeli","Mountain Chickadee","S5 (2015)","Yellow","","","permanent"
"Poecile rufescens","Chestnut-backed Chickadee","S5 (2022)","Yellow","","","permanent"
"Nannopterum auritum","Double-crested Cormorant","S3S4 (2015)","Blue","","","permanent (non-breeding)"
"Urile pelagicus","Pelagic Cormorant","S4 (2015)","Yellow","","","permanent"
"Urile penicillatus","Brandt's Cormorant","S1B, S4N (2015)","Red","","","permanent (non-breeding)"
"Antigone canadensis","Sandhill Crane","S4B (2018)","Yellow","","","passage migrant"
"Aphelocoma californica","California Scrub-Jay","SUB (2015)","Unknown","","","accidental"
"Corvus brachyrhynchos caurinus","Northwestern Crow","S5 (2015)","Yellow","","","permanent"
"Cyanocitta cristata","Blue Jay","S4S5 (2015)","Yellow","","","accidental"
"Cyanocitta stelleri","Steller's Jay","S3 (2019)","Blue","","","permanent"
"Nucifraga columbiana","Clark's Nutcracker","S5 (2015)","Yellow","","","breeding?, winter"
"Perisoreus canadensis","Canada Jay","S5 (2015)","Yellow","","","permanent"
"Pica hudsonia","Black-billed Magpie","S5 (2015)","Yellow","","","accidental"
"Coccyzus americanus","Yellow-billed Cuckoo","SXB (2022)","Red","","","accidental"
"Cinclus mexicanus","American Dipper","S4 (2015)","Yellow","","","permanent"
"Aix sponsa","Wood Duck","S4B, S4N (2015)","Yellow","","","permanent"
"Anas acuta","Northern Pintail","S4B, S5N (2015)","Yellow","","","permanent"
"Anas crecca","Green-winged Teal","S5B, S5N (2015)","Yellow","","","permanent"
"Anas platyrhynchos","Mallard","S5B, S5N (2015)","Yellow","","","permanent"
"Anas rubripes","American Black Duck","SNA (2015)","Exotic","","","accidental"
"Anser albifrons","Greater White-fronted Goose","S4M (2015)","Yellow","","","passage migrant"
"Anser caerulescens","Snow Goose","S4M (2015)","Yellow","","","passage migrant"
"Anser canagicus","Emperor Goose","SNA (2015)","Accidental","","","accidental"
"Anser rossii","Ross's Goose","SNA (2015)","Accidental","","","accidental"
"Aythya affinis","Lesser Scaup","S5B, S5N (2015)","Yellow","","","winter"
"Aythya americana","Redhead","S4B, S5N (2015)","Yellow","","","winter (rare)"
"Aythya collaris","Ring-necked Duck","S5B, S5N (2015)","Yellow","","","permanent"
"Aythya fuligula","Tufted Duck","SNA (2015)","Accidental","","","accidental"
"Aythya marila","Greater Scaup","S4N (2015)","Yellow","","","winter"
"Aythya valisineria","Canvasback","S4B, SNRN (2015)","Yellow","","","winter"
"Branta bernicla","Brant","S3M (2015)","Blue","","","passage migrant"
"Branta canadensis","Canada Goose","S5 (2015)","Yellow","","","permanent"
"Branta canadensis occidentalis","Dusky Canada Goose","S2M (2009)","Red","","","winter"
"Branta hutchinsii","Cackling Goose","S4S5M (2015)","Yellow","","","passage migrant"
"Bucephala albeola","Bufflehead","S5B, SNRN (2015)","Yellow","","","winter"
"Bucephala clangula","Common Goldeneye","S5 (2015)","Yellow","","","permanent"
"Bucephala islandica","Barrow's Goldeneye","S4S5 (2015)","Yellow","","","permanent"
"Clangula hyemalis","Long-tailed Duck","S2S3B, S4N (2015)","Blue","","","winter"
"Cygnus buccinator","Trumpeter Swan","S4B, S5N (2015)","Yellow","","","winter"
"Cygnus columbianus","Tundra Swan","S3N (2015)","Blue","","","winter"
"Cygnus olor","Mute Swan","SNA (2015)","Exotic","","","accidental"
"Histrionicus histrionicus","Harlequin Duck","S4B, S3N (2015)","Yellow","","","permanent"
"Lophodytes cucullatus","Hooded Merganser","S5 (2015)","Yellow","","","permanent"
"Mareca americana","American Wigeon","S5B, S5N (2015)","Yellow","","","breeding?, winter"
"Mareca penelope","Eurasian Wigeon","SNRN (2015)","Not Reviewed","","","passage migrant, winter"
"Mareca strepera","Gadwall","S5 (2015)","Yellow","","","permanent"
"Melanitta americana","Black Scoter","S3S4N (2015)","Blue","","","passage migrant, winter"
"Melanitta deglandi","White-winged Scoter","S4S5 (2015)","Yellow","","","passage migrant, winter"
