scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
Ardea ibis,,Western Cattle-Egret,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,,Ardeidae,Ardeinae,,Ardea,ibis,,,,unaccepted,411086,Ardea ibis,Ardea ibis,accidental,
Astur atricapillus,,Eurasian Goshawk,Animalia,Chordata,,,Aves,,,Falconiformes,,,,Falconidae,,,,,,,,unknown,1579016,,Astur atricapillus,permanent,
Astur atricapillus laingi,,Haida Gwaii Goshawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Accipitrinae,,Astur,atricapillus,,Astur atricapillus laingi,,unaccepted,1583098,Astur atricapillus laingi,Astur atricapillus laingi,permanent,
Astur cooperii,,Cooper's Hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Accipitrinae,,Astur,cooperii,,,,unaccepted,1579017,Astur cooperii,Astur cooperii,permanent,
Basilinna xantusii,,Xantus's Hummingbird,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,,Trochilidae,Trochilinae,Trochilini,Basilinna,xantusii,,,,unaccepted,1289673,Basilinna xantusii,Basilinna xantusii,accidental,
Canachites canadensis,,Spruce Grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,,Phasianidae,,,Canachites,canadensis,,,,unaccepted,1289698,Canachites canadensis,Canachites canadensis,permanent,
Corthylio calendula,,Ruby-crowned Kinglet,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Regulidae,,,Corthylio,calendula,,,,unaccepted,1289388,Corthylio calendula,Corthylio calendula,permanent,
Corvus brachyrhynchos caurinus,,Northwestern Crow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Corvidae,,,Corvus,brachyrhynchos,,Corvus brachyrhynchos caurinus,,unaccepted,1290036,Corvus brachyrhynchos caurinus,Corvus brachyrhynchos caurinus,permanent,
Hesperiphona vespertina,,Evening Grosbeak,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Fringillidae,,,Hesperiphona,vespertina,,,,unaccepted,1650411,Hesperiphona vespertina,Hesperiphona vespertina,permanent,
Hydrobates furcatus,,Fork-tailed Storm-Petrel,Animalia,Chordata,Vertebrata,,Aves,,,Procellariiformes,,,,Hydrobatidae,,,Hydrobates,furcatus,,,,unaccepted,1289624,Hydrobates furcatus,Hydrobates furcatus,winter (rare),
Larus glaucescens × occidentalis,,Olympic gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Laridae,Larinae,,,,,,Larus glaucescens × occidentalis,unknown,243970,,Larus glaucescens × occidentalis,resident,
Leiothlypis celata lutescens,,Pacific Orange-crowned Warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Leiothlypis,celata,,Leiothlypis celata lutescens,,unaccepted,979762,Leiothlypis celata lutescens,Leiothlypis celata lutescens,"breeding, winter (rare)",
Leiothlypis ruficapilla,,Nashville Warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Leiothlypis,ruficapilla,,,,unaccepted,979753,Leiothlypis ruficapilla,Leiothlypis ruficapilla,breeding (rare),
Leuconotopicus villosus,,Hairy Woodpecker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,Picinae,Melanerpini,Leuconotopicus,villosus,,,,unaccepted,1651487,Leuconotopicus villosus,Leuconotopicus villosus,permanent,
Nannopterum auritum,,Double-crested Cormorant,Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,,Phalacrocoracidae,,,Nannopterum,auritum,,,,unaccepted,1454382,Nannopterum auritum,Nannopterum auritum,permanent (non-breeding),
Urile pelagicus,,Pelagic Cormorant,Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,,Phalacrocoracidae,,,Urile,pelagicus,,,,unaccepted,1289605,Urile pelagicus,Urile pelagicus,permanent,
Urile penicillatus,,Brandt's Cormorant,Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,,Phalacrocoracidae,,,Urile,penicillatus,,,,unaccepted,1289607,Urile penicillatus,Urile penicillatus,permanent (non-breeding),
Acanthis flammea,L.,Redpoll,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Fringillidae,,,Acanthis,flammea,,,,accepted,145300,Acanthis flammea,Acanthis flammea,winter,
Accipiter striatus,Viellot,Sharp-shinned Hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,Accipitrinae,,Accipiter,striatus,,,,accepted,5097,Accipiter striatus,Accipiter striatus,permanent,
Actitis macularius,L.,Spotted Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Actitis,macularius,,,,accepted,72458,Actitis macularius,Actitis macularius,"breeding, winter (rare)",
Aechmophorus occidentalis,Lawrence,Western Grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,,Podicipedidae,,,Aechmophorus,occidentalis,,,,accepted,4235,Aechmophorus occidentalis,Aechmophorus occidentalis,winter,
Aegolius acadicus brooksi,Gmelin,Haida Gwaii Saw-whet Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Aegolius,acadicus,,Aegolius acadicus brooksi,,accepted,236912,Aegolius acadicus brooksi,Aegolius acadicus,permanent,
Aeronautes saxatalis,Woodhouise,White-throated Swift,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,,Apodidae,,,Aeronautes,saxatalis,,,,accepted,6553,Aeronautes saxatalis,Aeronautes saxatalis,accidental,
Agelaius phoeniceus,L.,Red-winged Blackbird,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Icteridae,,,Agelaius,phoeniceus,,,,accepted,9744,Agelaius phoeniceus,Agelaius phoeniceus,permanent,
Aix sponsa,L.,Wood Duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Aix,sponsa,,,,accepted,7107,Aix sponsa,Aix sponsa,permanent,
Alectoris chukar,,Chukar,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,,Phasianidae,,,Alectoris,chukar,,,,accepted,846,Alectoris chukar,Alectoris chukar,introduced,
Ammospiza nelsoni,Allen,Nelson's Sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Ammospiza,nelsoni,,,,accepted,793286,Ammospiza nelsoni,Ammospiza nelsoni,accidental,
Amphispiza bilineata,Cassin,Black-throated Sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Amphispiza,bilineata,,,,accepted,9943,Amphispiza bilineata,Amphispiza bilineata,accidental,
Anas acuta,L.,Northern Pintail,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Anas,acuta,,,,accepted,6933,Anas acuta,Anas acuta,permanent,
Anas crecca,L.,Green-winged Teal,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Anas,crecca,,,,accepted,6937,Anas crecca,Anas crecca,permanent,
Anas platyrhynchos,L.,Mallard,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Anas,platyrhynchos,,,,accepted,6930,Anas platyrhynchos,Anas platyrhynchos,permanent,
Anas rubripes,Brewster,American Black Duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Anas,rubripes,,,,accepted,6924,Anas rubripes,Anas rubripes,accidental,
Anser albifrons,Scopoli,Greater White-fronted Goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Anser,albifrons,,,,accepted,7019,Anser albifrons,Anser albifrons,passage migrant,
Anser caerulescens,L.,Snow Goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Anser,caerulescens,,,,accepted,558426,Anser caerulescens,Anser caerulescens,passage migrant,
Anser canagicus,Sevastianov,Emperor Goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Anser,canagicus,,,,accepted,558425,Anser canagicus,Anser canagicus,accidental,
Anser rossii,Cassin,Ross's Goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Anser,rossii,,,,accepted,558427,Anser rossii,Anser rossii,accidental,
Anthus rubescens,Turnstall,American Pipit,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Motacillidae,,,Anthus,rubescens,,,,accepted,13732,Anthus rubescens,Anthus rubescens,"passage migrant, breeding",
