scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
Abietinaria spp.,L.,Coarse Sea Fir Hydroids,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Abietinaria,,,,,accepted,55322,Abietinaria,Abietinaria,NA,
Acanthodoris hudsoni,MacFarland,Hudson's Horned Dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Acanthodorididae,,,Acanthodoris,hudsoni,,,,accepted,48447,Acanthodoris hudsoni,Acanthodoris hudsoni,NA,
Acanthodoris lutea,MacFarland,Sandalwood Dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Acanthodorididae,,,Acanthodoris,lutea,,,,accepted,47472,Acanthodoris lutea,Acanthodoris lutea,NA,
Acanthodoris nanaimoensis,O'Donoghue,Nanaimo Dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Acanthodorididae,,,Acanthodoris,nanaimoensis,,,,accepted,47476,Acanthodoris nanaimoensis,Acanthodoris nanaimoensis,NA,
Acanthodoris pilosa,Abildgaard in O F Müller,Hairy Spiny Dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Acanthodorididae,,,Acanthodoris,pilosa,,,,accepted,47466,Acanthodoris pilosa,Acanthodoris pilosa,NA,
Acantholithodes hispidus,Stimpson,Spiny Lithode Crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Lithodidae,Hapalogastrinae,,Acantholithodes,hispidus,,,,accepted,450310,Acantholithodes hispidus,Acantholithodes hispidus,NA,
Acartia longiremis,,,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Gymnoplea,Calanoida,,,,Acartiidae,,,Acartia,longiremis,,,,accepted,203394,Acartia longiremis,Acartia longiremis,NA,
Acmaea mitra,Rathke,Whitecap Limpet,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,Nacellida,,,Lottioidea,Acmaeidae,,,Acmaea,mitra,,,,accepted,47676,Acmaea mitra,Acmaea mitra,NA,
Acromegalomma sp.,Montagu,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Acromegalomma,,,,,accepted,781286,Acromegalomma,Acromegalomma,NA,
Acromegalomma splendidum,,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Acromegalomma,splendidum,,,,accepted,1240394,Acromegalomma splendidum,Acromegalomma splendidum,NA,
Acteocina cerealis,,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,,Bulloidea,Tornatinidae,,,Acteocina,cerealis,,,,accepted,49787,Acteocina cerealis,Acteocina cerealis,NA,
Acteocina culcitella,,Western Barrel-Bubble,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,,Bulloidea,Tornatinidae,,,Acteocina,culcitella,,,,accepted,49788,Acteocina culcitella,Acteocina culcitella,NA,
Actinostola faeculenta,,Hobnail Vase Anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinostoloidea,Actinostolidae,,,Actinostola,faeculenta,,,,accepted,1435801,Actinostola faeculenta,Actinostola faeculenta,NA,
Adalaria proxima,Alder & Hancock,Tuberculate Dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Adalaria,proxima,,,,unaccepted,508396,Adalaria proxima,Adalaria proxima,NA,
Adalaria spp.,Bergh,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Adalaria,,,,,accepted,554476,Adalaria,Adalaria,NA,
Adocia sp.,Gray,,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,,Chalinidae,,,Haliclona,,,,,unaccepted,129864,Haliclona,Haliclona,NA,
Aegina citrea,Schuchert,,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Narcomedusae,,,,Aeginidae,,,Aegina,citrea,,,,accepted,256077,Aegina citrea,Aegina citrea,NA,
Aegires albopunctatus,MacFarland,Salt-and-pepper Doris,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Aegiridae,,,Aegires,albopunctatus,,,,accepted,48981,Aegires albopunctatus,Aegires albopunctatus,NA,
Aeolidia papillosa,L.,Shag-rug Nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Aeolidina,,Aeolidioidea,Aeolidiidae,,,Aeolidia,papillosa,,,,accepted,498116,Aeolidia papillosa,Aeolidia papillosa,NA,
Aequorea spp.,Péron & Lesueur,Crystal Jellies,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Aequoreidae,,,Aequorea,,,,,accepted,191502,Aequorea,Aequorea,NA,
Aglaodiaptomus leptopus,,,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Gymnoplea,Calanoida,,,,Diaptomidae,,,Aglaodiaptomus,leptopus,,,,accepted,212725,Aglaodiaptomus leptopus,Aglaodiaptomus leptopus,NA,
Aglaophenia spp.,Lamouroux,Ostrich-Plume Hydroids,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Plumularioidea,Aglaopheniidae,,,Aglaophenia,,,,,accepted,51218,Aglaophenia,Aglaophenia,NA,
Agonopsis vulsa,Jordan & Gilbert,Northern Spearnose Poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Agonidae,Agonopsinae,,Agonopsis,vulsa,,,,accepted,180027,Agonopsis vulsa,Agonopsis vulsa,NA,
Akiodoris salacia,,Salacia's Dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Akiodorididae,,,Akiodoris,salacia,,,,accepted,50784,Akiodoris salacia,Akiodoris salacia,NA,
Alcyonidium gelatinosum,Robertson,,Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Alcyonidiina,,Alcyonidioidea,Alcyonidiidae,,,Alcyonidium,gelatinosum,,,,accepted,796572,Alcyonidium gelatinosum,Alcyonidium gelatinosum,NA,
Alcyonidium pedunculatum,Robertson,,Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Alcyonidiina,,Alcyonidioidea,Alcyonidiidae,,,Alcyonidium,pedunculatum,,,,accepted,873864,Alcyonidium pedunculatum,Alcyonidium pedunculatum,NA,
Aldisa albomarginata,Millen,White-lined Aldisa,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Chromodoridoidea,Cadlinidae,,,Aldisa,albomarginata,,,,accepted,50094,Aldisa albomarginata,Aldisa albomarginata,NA,
Aldisa cooperi,Robilliard & Baba,Cooper's Aldisa,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Chromodoridoidea,Cadlinidae,,,Aldisa,cooperi,,,,accepted,50097,Aldisa cooperi,Aldisa cooperi,NA,
Allocyttus folletti,,Oxeye Oreo,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Zeiformes,,,,Oreosomatidae,Oreosomatinae,,Allocyttus,folletti,,,,accepted,213014,Allocyttus folletti,Allocyttus folletti,NA,
Ameiurus nebulosus,Lesueur,Brown Bullhead,Animalia,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Siluriformes,Siluroidei,,,Ictaluridae,,,Ameiurus,nebulosus,,,,accepted,58654,Ameiurus nebulosus,Ameiurus nebulosus,NA,
Ammodytes hexapterus,Pallas,Arctic Sand Lance,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Labriformes,Uranoscopoidei,,,Ammodytidae,,,Ammodytes,hexapterus,,,,accepted,130238,Ammodytes hexapterus,Ammodytes hexapterus,NA,
Ampharete finmarchica,,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebelliformia,,,Ampharetidae,Ampharetinae,,Ampharete,finmarchica,,,,accepted,1244469,Ampharete finmarchica,Ampharete finmarchica,NA,
Amphicteis mucronata,,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebelliformia,,,Ampharetidae,Ampharetinae,,Amphicteis,mucronata,,,,accepted,1239953,Amphicteis mucronata,Amphicteis mucronata,NA,
Amphilectus digitatus,Koltun,Glove Horny Sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Esperiopsidae,,,Amphilectus,digitatus,,,,accepted,459874,Amphilectus digitatus,Amphilectus digitatus,NA,
Amphiporus bimaculatus,Coe,NA,Animalia,Nemertera,,,Hoplonemertea,,,Monostilifera,Eumonostilifera,,,,,,,,,,,unknown,0,,Nipponnemertes bimaculata,NA,
Amphissa columbiana,Dall,Wrinkled Amphissa,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Buccinoidea,Columbellidae,,,Amphissa,columbiana,,,,accepted,117643,Amphissa columbiana,Amphissa columbiana,NA,
Amphissa versicolor,Dall,Variegate Amphissa,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Buccinoidea,Columbellidae,,,Amphissa,versicolor,,,,accepted,129932,Amphissa versicolor,Amphissa versicolor,NA,
Ampithoe dalli,,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophiida,Corophioidea,Ampithoidae,,,Ampithoe,dalli,,,,accepted,364024,Ampithoe dalli,Ampithoe dalli,NA,
Ampithoe lacertosa,,Sea Lettuce Sea Flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophiida,Corophioidea,Ampithoidae,,,Ampithoe,lacertosa,,,,accepted,260501,Ampithoe lacertosa,Ampithoe lacertosa,NA,
Anarrhichthys ocellatus,Ayres,Wolf Eel,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Zoarcoidei,,,Anarhichadidae,,,Anarrhichthys,ocellatus,,,,accepted,60635,Anarrhichthys ocellatus,Anarrhichthys ocellatus,NA,
Angustassiminea californica,,California Assiminea,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,,Truncatelloidea,Assimineidae,Assimineinae,,Angustassiminea,californica,,,,accepted,1241327,Angustassiminea californica,Angustassiminea californica,NA,
Anisogammarus pugettensis,,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Gammarida,Gammaroidea,Anisogammaridae,,,Anisogammarus,pugettensis,,,,accepted,345298,Anisogammarus pugettensis,Anisogammarus pugettensis,NA,
Anoplagonus inermis,Günther,Smooth Alligatorfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Agonidae,Anoplagoninae,,Anoplagonus,inermis,,,,accepted,213721,Anoplagonus inermis,Anoplagonus inermis,NA,
Anoplarchus insignis,Gilbert & Burke,Slender Cockscomb,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Zoarcoidei,,,Stichaeidae,Xiphisterinae,,Anoplarchus,insignis,,,,accepted,213722,Anoplarchus insignis,Anoplarchus insignis,NA,
Anoplarchus purpurescens,Gill,High Cockscomb,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Zoarcoidei,,,Stichaeidae,Xiphisterinae,,Anoplarchus,purpurescens,,,,accepted,67316,Anoplarchus purpurescens,Anoplarchus purpurescens,NA,
Anoplopoma fimbria,,Sablefish,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Anoplopomatidae,,,Anoplopoma,fimbria,,,,accepted,51353,Anoplopoma fimbria,Anoplopoma fimbria,NA,
Anthopleura artemisia,Pickering in Dana,Moonglow Anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Anthopleura,artemisia,,,,accepted,51658,Anthopleura artemisia,Anthopleura artemisia,NA,
Anthopleura elegantissima,Brandt,Aggregating Anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Anthopleura,elegantissima,,,,accepted,52564,Anthopleura elegantissima,Anthopleura elegantissima,NA,
Antiopella fusca,"O'Donoghue,",White-and-orange-tipped Nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Janolina,,Proctonotoidea,Janolidae,,,Antiopella,fusca,,,,accepted,886884,Antiopella fusca,Antiopella fusca,NA,
Antiopella gelida,Millen,Frosty-tipped Nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Janolina,,Proctonotoidea,Janolidae,,,Antiopella,gelida,,,,unaccepted,1393887,Antiopella gelida,Antiopella gelida,NA,
Aphrocallistes vastus,Schulze,Cloud sponge,Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,,,,accepted,424651,Aphrocallistes vastus,Aphrocallistes vastus,NA,
Aplidium californicum,Ritter & Forsyth,Pacific Sea Pork,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,californicum,,,,accepted,131232,Aplidium californicum,Aplidium californicum,NA,
Aplidium solidum,Ritter & Forsyth,Sea Pork,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,solidum,,,,accepted,195372,Aplidium solidum,Aplidium solidum,NA,
Apodichthys flavidus,Girard,Penpoint Gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Zoarcoidei,,,Pholidae,Apodichthyinae,,Apodichthys,flavidus,,,,accepted,67408,Apodichthys flavidus,Apodichthys flavidus,NA,
Apodichthys fucorum,Jordan & Gilbert,Rockweed gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Zoarcoidei,,,Pholidae,Apodichthyinae,,Apodichthys,fucorum,,,,accepted,67406,Apodichthys fucorum,Apodichthys fucorum,NA,
Apomatus geniculatus,Moore & Bush,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Apomatus,geniculatus,,,,accepted,939557,Apomatus geniculatus,Apomatus geniculatus,NA,
Aporrectodea limicola,,,Animalia,Annelida,,,Clitellata,Oligochaeta,,Crassiclitellata,,,,Lumbricidae,,,Aporrectodea,limicola,,,,accepted,484194,Aporrectodea limicola,Aporrectodea limicola,NA,
Apostichopus californicus,Stimpson,giant California sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,,,,accepted,202640,Apostichopus californicus,Apostichopus californicus,NA,
Apristurus brunneus,,Brown Catshark,Animalia,Chordata,Vertebrata,,Chondrichthyes,Elasmobranchii,Galeomorphi,Carcharhiniformes,,,,Pentanchidae,,,Apristurus,brunneus,,,,accepted,94439,Apristurus brunneus,Apristurus brunneus,NA,
Arctonoe fragilis,Baird,Frilled Commensal Scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,fragilis,,,,accepted,69914,Arctonoe fragilis,Arctonoe fragilis,NA,
Arctonoe pulchra,Johnson,Red Commensal Scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,pulchra,,,,accepted,465156,Arctonoe pulchra,Arctonoe pulchra,NA,
Arctonoe vittata,Grube,Red-banded Commensal Scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,vittata,,,,accepted,122163,Arctonoe vittata,Arctonoe vittata,NA,
