scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
Cribraria tubulina,,,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Cribrariidia,Cribrariales,,,,Cribrariaceae,,,Cribraria,tubulina,,,,accepted,1648901,Cribraria tubulina,Cribraria tubulina,NA,
Leocarpus fragilis,,insect-egg slime,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Physaraceae,,,Leocarpus,fragilis,,,,accepted,56273,Leocarpus fragilis,Leocarpus fragilis,NA,
Arcyria cinerea,,White Carnival Candy Slime Mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Arcyriaceae,,,Arcyria,cinerea,,,,accepted,56258,Arcyria cinerea,Arcyria cinerea,NA,
Arcyria denudata,,carnival candy slime mold,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Arcyriaceae,,,Arcyria,denudata,,,,accepted,56262,Arcyria denudata,Arcyria denudata,NA,
Arcyria stipata,,,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Arcyriaceae,,,Arcyria,stipata,,,,accepted,565889,Arcyria stipata,Arcyria stipata,NA,
Comatricha nigra,,,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Stemonitidales,,,,Amaurochaetaceae,,,Comatricha,nigra,,,,accepted,56565,Comatricha nigra,Comatricha nigra,NA,
Diachea leucopodia,,White-footed Slime,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Didymiaceae,,,Diachea,leucopodia,,,,accepted,56270,Diachea leucopodia,Diachea leucopodia,NA,
Dictydiaethalium plumbeum,,,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Dianemataceae,,,Dictydiaethalium,plumbeum,,,,accepted,324282,Dictydiaethalium plumbeum,Dictydiaethalium plumbeum,NA,
Hemitrichia decipiens,,salmon-eggs,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Hemitrichiaceae,,,Hemitrichia,decipiens,,,,accepted,1441996,Hemitrichia decipiens,Hemitrichia decipiens,NA,
Physarum album,,,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Physaraceae,,,Physarum,album,,,,accepted,179089,Physarum album,Physarum album,NA,
Physarum viride,,,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Physaraceae,,,Physarum,viride,,,,accepted,383670,Physarum viride,Physarum viride,NA,
Reticularia lycoperdon,,False Puffball,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Reticulariales,,,,Reticulariaceae,,,Reticularia,lycoperdon,,,,accepted,145366,Reticularia lycoperdon,Reticularia lycoperdon,NA,
Stemonitis splendens,,chocolate tube slime,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Stemonitidales,,,,Stemonitidaceae,,,Stemonitis,splendens,,,,accepted,53838,Stemonitis splendens,Stemonitis splendens,NA,
Trichia varia,,,Protozoa,Mycetozoa,,,Myxomycetes,Lucisporomycetidae,Trichiidia,Trichiales,,,,Trichiaceae,,,Trichia,varia,,,,accepted,408301,Trichia varia,Trichia varia,NA,
Badhamia utricularis,,,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Physaraceae,,,Badhamia,utricularis,,,,accepted,56264,Badhamia utricularis,Badhamia utricularis,NA,
Brefeldia maxima,,Tapioca Slime Mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Stemonitidales,,,,Amaurochaetaceae,,,Brefeldia,maxima,,,,accepted,244531,Brefeldia maxima,Brefeldia maxima,NA,
Ceratiomyxa fruticulosa,,Common Coral Slime,Protozoa,Mycetozoa,,,Ceratiomyxomycetes,,,Ceratiomyxales,,,,Ceratiomyxaceae,,,Ceratiomyxa,fruticulosa,,,,accepted,56252,Ceratiomyxa fruticulosa,Ceratiomyxa fruticulosa,NA,
Fuligo septica,,Dog Vomit Slime Mold,Protozoa,Mycetozoa,,,Myxomycetes,Columellomycetidae,Stemonitidia,Physarales,,,,Physaraceae,,,Fuligo,septica,,,,accepted,55483,Fuligo septica,Fuligo septica,NA,
