"occurrenceID","catalogNumber","scientificName","eventDate","recordedBy","source"
"BABY-04733-630003","BABY-04733","Arctostaphylos columbiana Piper","1963-06-06T00:00:00","K.I. Beamish; L. Krause","GBIF"
"58824850-BC94-4833-A125-3D7B2714F3B2","BABY-04733","Arctostaphylos columbiana","1963-06-06","K.I. Beamish, L. Krause","CPNWH"
"BABY-06046-18751","BABY-06046","Agrostis exarata Trin.","2004-07-29T00:00:00","P.M. Peterson; J.M. Saarela; S.F. Smith","GBIF"
"75D0BF31-DCF9-471A-AF2B-8F9C9184E477","BABY-06046","Agrostis exarata","2004-07-29","P.M. Peterson, J.M. Saarela, S.F. Smith","CPNWH"
"KX679108","ERM288","Clintonia uniflora (Menzies ex Schult. & Schult.f.) Kunth","2010-07-01T00:00:00","E.R. Manton","GBIF"
"KX677645","ERM288","Vaccinium oxycoccos L.","2010-07-01T00:00:00","E.R. Manton","GBIF"
"http://arctos.database.museum/guid/UAM:Herb:113254?seid=4997563","UAM:Herb:113254","Athyrium filix-femina (L.) Roth","1967-08-18T00:00:00","Collector(s): unknown","GBIF"
"9533C617-73A2-4A4C-A63A-234D170F565A","UAM:Herb:113254","Athyrium filix-femina","1967-08-18","unknown","CPNWH"
"http://arctos.database.museum/guid/UAM:Herb:113736?seid=5036585","UAM:Herb:113736","Polypodium glycyrrhiza D.C.Eaton","1965-08-01T00:00:00","Collector(s): unknown","GBIF"
"A0E7B2F1-C43C-4BFD-A212-FBC803A16C89","UAM:Herb:113736","Polypodium glycyrrhiza","1965-08-01","unknown","CPNWH"
"http://arctos.database.museum/guid/UAM:Herb:113807?seid=5038923","UAM:Herb:113807","Polypodium vulgare L.","1963-09-19T00:00:00","Collector(s): unknown","GBIF"
"6E8E1400-FA5C-4CB6-9A58-BDE571F90EF4","UAM:Herb:113807","Polypodium glycyrrhiza","1963-09-19","unknown","CPNWH"
"http://arctos.database.museum/guid/UAM:Herb:113808?seid=5038924","UAM:Herb:113808","Polypodium vulgare L.","1963-09-19T00:00:00","Collector(s): unknown","GBIF"
"69C5A9D4-4600-4A0D-8664-29740CB32658","UAM:Herb:113808","Polypodium glycyrrhiza","1963-09-19","unknown","CPNWH"
"http://arctos.database.museum/guid/UAM:Herb:113818?seid=5038964","UAM:Herb:113818","Polypodium vulgare L.","1963-07-19T00:00:00","Collector(s): unknown","GBIF"
"DCFAED7B-9BE1-40ED-92A6-001210C64D34","UAM:Herb:113818","Polypodium glycyrrhiza","1963-07-19","unknown","CPNWH"
"http://arctos.database.museum/guid/UAM:Herb:113852?seid=5042228","UAM:Herb:113852","Polypodium montense F.A.Lang","1965-08-01T00:00:00","Collector(s): unknown","GBIF"
"66C14DEB-D156-4207-BEF8-ACFF0C17FF27","UAM:Herb:113852","Polypodium amorphum","1965-08-01","unknown","CPNWH"
"http://arctos.database.museum/guid/UAM:Herb:248772?seid=1995996","UAM:Herb:248772","Cryptogramma acrostichoides R.Br.","2011-08-28T00:00:00","Collector(s): Carl J. Rothfels","GBIF"
"9576DE9B-A7B4-412C-8DFB-018D1AB9F8AA","UAM:Herb:248772","Cryptogramma acrostichoides","2011-08-28","Carl J. Rothfels","CPNWH"
"http://arctos.database.museum/guid/UAM:Herb:254026?seid=3558940","UAM:Herb:254026","Cryptogramma acrostichoides R.Br.","2011-08-17T00:00:00","Collector(s): Jordan Metzgar","GBIF"
"45BA6C64-EC6C-4931-A289-C7B66122228D","UAM:Herb:254026","Cryptogramma acrostichoides","2011-08-17","Jordan Metzgar","CPNWH"
"RBCM:Botany:V000426","V000426","Alopecurus geniculatus L.","1916-06-09T00:00:00","John Macoun","GBIF"
"94F3EA3D-1FB8-4659-AA66-43EC71DC1488","V000426","Alopecurus geniculatus","1916-06-09","John Macoun","CPNWH"
"RBCM:Botany:V000463","V000463","Bromus tectorum L.","1916-06-24T00:00:00","John Macoun","GBIF"
"51EF286D-2718-45DC-9384-9FF00184991D","V000463","Bromus tectorum","1916-06-24","John Macoun","CPNWH"
"RBCM:Botany:V000540","V000540","Elymus glaucus subsp. glaucus","1916-06-16T00:00:00","John Macoun","GBIF"
"19365F56-A451-4F41-BCBA-D8408984499D","V000540","Elymus glaucus ssp. glaucus","1916-06-16","John Macoun","CPNWH"
"RBCM:Botany:V006513Y","V006513Y","Castilleja miniata Douglas ex Hook.","1923-07-15T00:00:00","Geraldine Allen","GBIF"
"657FB94D-8713-4CD3-9C4E-C46E582BD8B4","V006513Y","Castilleja miniata","1923-07-15","Geraldine Allen","CPNWH"
"RBCM:Botany:V007549","V007549","Arabis eschscholtziana Andrz.","1925-05-03T00:00:00","George Hardy","GBIF"
"FA8C3F54-49DE-4D28-8DC9-7FD8898A2390","V007549","Arabis eschscholtziana","1925-05-03","George Hardy","CPNWH"
"RBCM:Botany:V008009","V008009","Poa glauca Vahl","1926-08-01T00:00:00","George Hardy","GBIF"
"D27B0306-F4D3-4B9D-AA11-6CA98325621C","V008009","Poa glauca","1926-08-01","George Hardy","CPNWH"
"RBCM:Botany:V008010","V008010","Poa lettermanii Vasey","1926-07-28T00:00:00","Don Munday","GBIF"
"4720C352-1A81-4B6E-9C80-F3349A15A5C9","V008010","Poa lettermanii","1926-07-28","Don Munday","CPNWH"
"RBCM:Botany:V008011","V008011","Deschampsia atropurpurea (Wahlenb.) Scheele","1926-08-04T00:00:00","George Hardy","GBIF"
"69E4F0D1-112D-40BE-A3F5-79BD25DB5833","V008011","Vahlodea atropurpurea","1926-08-04","George Hardy","CPNWH"
"RBCM:Botany:V008012","V008012","Poa alpina L.","1926-07-31T00:00:00","George Hardy","GBIF"
"C7EB1F4E-9EC0-48BF-B9C6-63CA769660CF","V008012","Poa alpina","1926-07-31","George Hardy","CPNWH"
"RBCM:Botany:V008016","V008016","Trisetum spicatum (L.) K.Richt.","","","GBIF"
"255BF9E1-58CF-4380-B43E-741C36C1AAB2","V008016","Trisetum spicatum",NA,NA,"CPNWH"
"RBCM:Botany:V008017","V008017","Trisetum spicatum (L.) K.Richt.","","","GBIF"
"3E710A7D-F66B-4E91-A6FD-6622DF09D77E","V008017","Trisetum spicatum",NA,NA,"CPNWH"
"RBCM:Botany:V008031","V008031","Boechera stricta (Graham) Al-Shehbaz","1926-08-01T00:00:00","George Hardy","GBIF"
"7753D6C7-9316-4583-A0E1-012B808A14B0","V008031","Boechera stricta","1926-08-01","George Hardy","CPNWH"
"RBCM:Botany:V008032","V008032","Boechera calderi (G.A.Mulligan) Windham & Al-Shehbaz","1926-10-08T00:00:00","George Hardy","GBIF"
"115C9B65-E12E-4C5A-9BF2-2BE549EF9613","V008032","Boechera calderi","1926-10-08","George Hardy","CPNWH"
"RBCM:Botany:V008033","V008033","Cardamine oligosperma Nutt.","1926-07-27T00:00:00","George Hardy","GBIF"
"5AEE9F92-E094-44B6-8BBC-14FE39F6292F","V008033","Cardamine oligosperma","1926-07-27","George Hardy","CPNWH"
"RBCM:Botany:V008045","V008045","Sagina saginoides (L.) Karst.","1926-08-04T00:00:00","George Hardy","GBIF"
"1DE44B83-1F56-4C91-A534-D44E5AA27DD9","V008045","Sagina saginoides","1926-08-04","George Hardy","CPNWH"
"RBCM:Botany:V008055","V008055","Castilleja parviflora var. albida (Pennell) Ownbey","1926-07-31T00:00:00","George Hardy","GBIF"
"0D8A41CC-AD81-451C-84B1-45A5C764BAF9","V008055","Castilleja parviflora var. albida","1926-07-31","George Hardy","CPNWH"
"RBCM:Botany:V008056","V008056","Castilleja parviflora var. parviflora","1926-08-03T00:00:00","George Hardy","GBIF"
"1534201D-C90C-4D65-8841-6BB14A1931FE","V008056","Castilleja parviflora var. parviflora","1926-08-03","George Hardy","CPNWH"
"RBCM:Botany:V008057","V008057","Castilleja miniata var. miniata","1926-08-03T00:00:00","George Hardy","GBIF"
"E66B699D-C90E-4807-9B2F-4A6EE6A7EF0F","V008057","Castilleja miniata var. miniata","1926-08-03","George Hardy","CPNWH"
"RBCM:Botany:V008082","V008082","Phlox diffusa Benth.","1926-07-27T00:00:00","George Hardy","GBIF"
"764CE0FF-1413-40C1-8AB2-76077FD0A4E2","V008082","Phlox diffusa","1926-07-27","George Hardy","CPNWH"
"RBCM:Botany:V008086","V008086","Tonestus lyallii (A.Gray) A.Nels.","1926-07-31T00:00:00","George Hardy","GBIF"
"FAD2C7E7-6BB2-49A5-B89A-9985FB8299CE","V008086","Tonestus lyallii","1926-07-31","George Hardy","CPNWH"
"RBCM:Botany:V008088A","V008088A","Stellaria crassifolia Ehrh.","1926-08-01T00:00:00","George Hardy","GBIF"
"4EB17C6F-92E8-40BB-A29F-E60A3ECDAF0F","V008088A","Stellaria crassifolia","1926-08-01","George Hardy","CPNWH"
"RBCM:Botany:V008104","V008104","Minuartia rubella (Wahlenb.) Hiern","1926-08-08T00:00:00","George Hardy","GBIF"
"D35B90E3-14C7-403A-A686-E1E0F8478E1F","V008104","Sabulina rubella","1926-08-08","George Hardy","CPNWH"
"RBCM:Botany:V008108","V008108","Castilleja miniata var. miniata","1926-08-08T00:00:00","George Hardy","GBIF"
"D182448B-B5C7-45CB-8F06-2E1EF16EE4E4","V008108","Castilleja miniata var. miniata","1926-08-08","George Hardy","CPNWH"
"RBCM:Botany:V008109","V008109","Castilleja parviflora Bong.","1926-07-25T00:00:00","George Hardy","GBIF"
"B39AD3DD-ECBA-45C4-8A87-555FB78BCB60","V008109","Castilleja parviflora","1926-07-25","George Hardy","CPNWH"
"RBCM:Botany:V008136","V008136","Phlox diffusa Benth.","1926-08-08T00:00:00","George Hardy","GBIF"
"A8952EBA-83F5-4785-B42A-9D922602D673","V008136","Phlox diffusa","1926-08-08","George Hardy","CPNWH"
"RBCM:Botany:V008156","V008156","Castilleja miniata var. miniata","1926-07-31T00:00:00","George Hardy","GBIF"
"2598DFE4-6F27-40B6-8192-DF9CC305FA2F","V008156","Castilleja miniata var. miniata","1926-07-31","George Hardy","CPNWH"
"RBCM:Botany:V008172","V008172","Boechera stricta (Graham) Al-Shehbaz","1926-08-08T00:00:00","George Hardy","GBIF"
"BBAD1454-6671-4DC6-9468-C063EEEC229F","V008172","Boechera stricta","1926-08-08","George Hardy","CPNWH"
"RBCM:Botany:V008173","V008173","Phlox diffusa Benth.","1926-08-10T00:00:00","George Hardy","GBIF"
"313FCD81-42BF-4F97-BD62-11331E4107B3","V008173","Phlox diffusa","1926-08-10","George Hardy","CPNWH"
"RBCM:Botany:V008201","V008201","Gaultheria ovatifolia A.Gray","1925-08-10T00:00:00","George Hardy","GBIF"
"CA68284D-10D4-4AB7-8F8E-BB3BEB1943DF","V008201","Gaultheria ovatifolia","1925-08-10","George Hardy","CPNWH"
"RBCM:Botany:V008312","V008312","Tonestus lyallii (A.Gray) A.Nels.","1927-08-01T00:00:00","J. Bennett","GBIF"
"E572220D-6FC7-4F2C-B896-FD5EB0FF97DD","V008312","Tonestus lyallii","1927-08-01","J. Bennett","CPNWH"
"RBCM:Botany:V008330","V008330","Tonestus lyallii (A.Gray) A.Nels.","1926-07-31T00:00:00","George Hardy","GBIF"
"96406826-ADFD-4C93-A0CA-1DDE3D16E99B","V008330","Tonestus lyallii","1926-07-31","George Hardy","CPNWH"
"RBCM:Botany:V011261","V011261","Trisetum spicatum (L.) K.Richt.","","","GBIF"
"A22EC6D4-3F92-4AF8-81F8-BF12684DF1D5","V011261","Trisetum spicatum",NA,NA,"CPNWH"
"RBCM:Botany:V011262","V011262","Poa alpina L.","1938-08-09T00:00:00","John Eastham","GBIF"
"88AF6BED-33B9-4833-A802-5677EA951F82","V011262","Poa alpina","1938-08-09","John Eastham","CPNWH"
"RBCM:Botany:V011263","V011263","Danthonia intermedia Vasey","1938-08-13T00:00:00","John Eastham","GBIF"
"FF3508B9-8FF9-43CC-8737-62ACF789488F","V011263","Danthonia intermedia","1938-08-13","John Eastham","CPNWH"
"RBCM:Botany:V011303","V011303","Elymus glaucus subsp. glaucus","1938-08-08T00:00:00","John Eastham","GBIF"
"36927C19-A628-4364-9A0B-4421B0B02F70","V011303","Elymus glaucus ssp. glaucus","1938-08-08","John Eastham","CPNWH"
"RBCM:Botany:V011304","V011304","Bromus carinatus var. marginatus (Nees ex Steud.) Barkworth & Anderton","1938-08-09T00:00:00","John Eastham","GBIF"
"CBFDD610-AD8C-4308-BD93-49FA82BDED4C","V011304","Bromus sitchensis var. marginatus","1938-08-09","John Eastham","CPNWH"
"RBCM:Botany:V011305","V011305","Poa stenantha Trin.","1938-08-09T00:00:00","John Eastham","GBIF"
"C4454394-DCEB-4061-AA0E-26F9DF954DD2","V011305","Poa stenantha","1938-08-09","John Eastham","CPNWH"
"RBCM:Botany:V011306","V011306","Poa paucispicula Scribn. & Merr.","1938-08-12T00:00:00","John Eastham","GBIF"
"02336605-5663-4E97-8F8C-C35C301F47FD","V011306","Poa paucispicula","1938-08-12","John Eastham","CPNWH"
"RBCM:Botany:V011307","V011307","Poa secunda subsp. secunda","1938-08-12T00:00:00","John Eastham","GBIF"
"5887A330-AE38-401A-B824-74D3B3087E86","V011307","Poa secunda ssp. secunda","1938-08-12","John Eastham","CPNWH"
"RBCM:Botany:V011308","V011308","Poa secunda subsp. secunda","1938-08-12T00:00:00","John Eastham","GBIF"
"DB1FC354-2DDD-4D39-9048-6C07EFF412B3","V011308","Poa secunda ssp. secunda","1938-08-12","John Eastham","CPNWH"
"RBCM:Botany:V011309","V011309","Elymus alaskanus subsp. latiglumis (Scribn. & J.G.Sm.) Á.Löve","1938-08-12T00:00:00","John Eastham","GBIF"
"ADB31948-D713-436C-9B42-D27801686A32","V011309","Elymus violaceus","1938-08-12","John Eastham","CPNWH"
"RBCM:Botany:V011310","V011310","Agrostis humilis Vasey","1938-08-10T00:00:00","John Eastham","GBIF"
"B7BD5DB0-32AF-4D86-94A9-3382E47BF38D","V011310","Podagrostis humilis","1938-08-10","John Eastham","CPNWH"
"RBCM:Botany:V011311","V011311","Agrostis scabra Willd.","1938-08-10T00:00:00","John Eastham","GBIF"
"8C57B6E2-74B4-4316-8136-6C47BD1A54DD","V011311","Agrostis scabra","1938-08-10","John Eastham","CPNWH"
"RBCM:Botany:V011312","V011312","Agrostis variabilis Rydb.","1938-08-12T00:00:00","Agnes Chase","GBIF"
"B3CEE3E2-E400-4649-B4C5-D52C96A376E9","V011312","Agrostis variabilis","1938-08-12","Agnes Chase","CPNWH"
"RBCM:Botany:V011313Y","V011313Y","Agrostis variabilis Rydb.","1938-08-10T00:00:00","John Eastham","GBIF"
"0BFE8F95-7C01-4E26-A0F3-4D1F3130E487","V011313Y","Agrostis variabilis","1938-08-10","John Eastham","CPNWH"
"RBCM:Botany:V011314","V011314","Calamagrostis canadensis var. langsdorffii (Link) Inman","1938-08-13T00:00:00","John Eastham","GBIF"
"FD22A210-8C1A-478E-83A6-CD48331E12BC","V011314","Calamagrostis canadensis var. langsdorffii","1938-08-13","John Eastham","CPNWH"
"RBCM:Botany:V011494","V011494","Castilleja parviflora var. albida (Pennell) Ownbey","1938-08-10T00:00:00","John Eastham","GBIF"
"43074C9F-822F-47E9-B5FA-06FC257F4AB4","V011494","Castilleja parviflora var. albida","1938-08-10","John Eastham","CPNWH"
