"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1",1407132599,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS374994593","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus","","SPECIES","Podiceps auritus (Linnaeus, 1758)","Podiceps auritus","","CA","Lighthouse Park, West Vancouver","British Columbia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.33444,-123.263916,NA,NA,NA,NA,NA,NA,"2002-12-01T00:00:00",1,12,2002,2482059,2482059,"HUMAN_OBSERVATION","CLO","EBIRD","OBS374994593","","","","CC_BY_4_0","","obsr59106","","","2022-11-24T21:02:57.141Z","",""
"2",3638378193,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1107596626","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podilymbus","Podilymbus podiceps","","SPECIES","Podilymbus podiceps (Linnaeus, 1758)","Podilymbus podiceps","","CA","Bowen Island--Killarney Lake","British Columbia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.392048,-123.35464,NA,NA,NA,NA,NA,NA,"2021-03-30T00:00:00",30,3,2021,2482077,2482077,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1107596626","","","","CC_BY_4_0","","obsr339616","","","2022-11-24T21:09:57.557Z","",""
"3",2121331878,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS569984780","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps grisegena","","SPECIES","Podiceps grisegena (Boddaert, 1783)","Podiceps grisegena","","CA","Bowen Island--Cape Roger Curtis Lighthouse","British Columbia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.339985,-123.43221,NA,NA,NA,NA,NA,NA,"2018-01-21T00:00:00",21,1,2018,2482051,2482051,"HUMAN_OBSERVATION","CLO","EBIRD","OBS569984780","","","","CC_BY_4_0","","obsr339616","","","2022-11-24T21:06:14.659Z","",""
"4",29919669,"82d21102-f762-11e1-a439-00145eb45e9a","","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus","","SPECIES","Podiceps auritus (Linnaeus, 1758)","Podiceps auritus","","CA","Whytecliff","British Columbia","PRESENT",NA,"7b3aa470-605f-11d8-b9b2-b8a03c50a862",49.37348,-123.29644,NA,NA,NA,NA,NA,NA,"2001-01-01T00:00:00",NA,NA,2001,2482059,2482059,"OBSERVATION","BSC; Bird Studies Canada - Etudes d'Oiseaux Canada","BCCWS; British Columbia Coastal Waterbird Survey, Bird Records","LMVN-60-2001-HOGR","","","","CC_BY_NC_4_0","","Observer #WRIKEN1","","","2022-11-25T06:30:20.835Z","","GEODETIC_DATUM_ASSUMED_WGS84"
"5",29919630,"82d21102-f762-11e1-a439-00145eb45e9a","","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus","","SPECIES","Podiceps auritus (Linnaeus, 1758)","Podiceps auritus","","CA","Eagle Harbour","British Columbia","PRESENT",NA,"7b3aa470-605f-11d8-b9b2-b8a03c50a862",49.35328,-123.27927,NA,NA,NA,NA,NA,NA,"2000-01-01T00:00:00",NA,NA,2000,2482059,2482059,"OBSERVATION","BSC; Bird Studies Canada - Etudes d'Oiseaux Canada","BCCWS; British Columbia Coastal Waterbird Survey, Bird Records","LMVN-58-2000-HOGR","","","","CC_BY_NC_4_0","","Observer #WRIKEN1","","","2022-11-25T06:30:21Z","","GEODETIC_DATUM_ASSUMED_WGS84"
"6",29919281,"82d21102-f762-11e1-a439-00145eb45e9a","","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus","","SPECIES","Podiceps auritus (Linnaeus, 1758)","Podiceps auritus","","CA","Crescent Slough (CS)","British Columbia","PRESENT",NA,"7b3aa470-605f-11d8-b9b2-b8a03c50a862",49.71481,-123.16015,NA,NA,NA,NA,NA,NA,"1999-01-01T00:00:00",NA,NA,1999,2482059,2482059,"OBSERVATION","BSC; Bird Studies Canada - Etudes d'Oiseaux Canada","BCCWS; British Columbia Coastal Waterbird Survey, Bird Records","LMSQ-10-1999-HOGR","","","","CC_BY_NC_4_0","","Observer #WISJIM1","","","2022-11-25T06:30:21.242Z","","GEODETIC_DATUM_ASSUMED_WGS84"
"7",29919288,"82d21102-f762-11e1-a439-00145eb45e9a","","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podilymbus","Podilymbus podiceps","","SPECIES","Podilymbus podiceps (Linnaeus, 1758)","Podilymbus podiceps","","CA","East Channel (EC)","British Columbia","PRESENT",NA,"7b3aa470-605f-11d8-b9b2-b8a03c50a862",49.68973,-123.16287,NA,NA,NA,NA,NA,NA,"2001-01-01T00:00:00",NA,NA,2001,2482077,2482077,"OBSERVATION","BSC; Bird Studies Canada - Etudes d'Oiseaux Canada","BCCWS; British Columbia Coastal Waterbird Survey, Bird Records","LMSQ-11-2001-PBGR","","","","CC_BY_NC_4_0","","Observer #WISJIM1","","","2022-11-25T06:30:21.368Z","","GEODETIC_DATUM_ASSUMED_WGS84"
"8",29919298,"82d21102-f762-11e1-a439-00145eb45e9a","","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podilymbus","Podilymbus podiceps","","SPECIES","Podilymbus podiceps (Linnaeus, 1758)","Podilymbus podiceps","","CA","North Field2 (NF2)","British Columbia","PRESENT",NA,"7b3aa470-605f-11d8-b9b2-b8a03c50a862",49.70156,-123.16637,NA,NA,NA,NA,NA,NA,"2001-01-01T00:00:00",NA,NA,2001,2482077,2482077,"OBSERVATION","BSC; Bird Studies Canada - Etudes d'Oiseaux Canada","BCCWS; British Columbia Coastal Waterbird Survey, Bird Records","LMSQ-15-2001-PBGR","","","","CC_BY_NC_4_0","","Observer #WISJIM1","","","2022-11-25T06:30:21.426Z","","GEODETIC_DATUM_ASSUMED_WGS84"
"9",29919647,"82d21102-f762-11e1-a439-00145eb45e9a","","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus","","SPECIES","Podiceps auritus (Linnaeus, 1758)","Podiceps auritus","","CA","Batchelor Pt. - Gleneagles","British Columbia","PRESENT",NA,"7b3aa470-605f-11d8-b9b2-b8a03c50a862",49.36002,-123.29074,NA,NA,NA,NA,NA,NA,"2001-01-01T00:00:00",NA,NA,2001,2482059,2482059,"OBSERVATION","BSC; Bird Studies Canada - Etudes d'Oiseaux Canada","BCCWS; British Columbia Coastal Waterbird Survey, Bird Records","LMVN-59-2001-HOGR","","","","CC_BY_NC_4_0","","Observer #WRIKEN1","","","2022-11-25T06:30:21.548Z","","GEODETIC_DATUM_ASSUMED_WGS84"
"10",29796985,"82d21102-f762-11e1-a439-00145eb45e9a","","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus occidentalis","","SPECIES","Aechmophorus occidentalis (Lawrence, 1858)","Aechmophorus occidentalis","","CA","Outer Estuary (OE)","British Columbia","PRESENT",NA,"7b3aa470-605f-11d8-b9b2-b8a03c50a862",49.67977,-123.17326,NA,NA,NA,NA,NA,NA,"2002-01-01T00:00:00",NA,NA,2002,2482033,2482033,"OBSERVATION","BSC; Bird Studies Canada - Etudes d'Oiseaux Canada","BCCWS; British Columbia Coastal Waterbird Survey, Bird Records","LMSQ-1-2002-WEGR","","","","CC_BY_NC_4_0","","Observer #WISJIM1","","","2022-11-25T06:30:21.564Z","","GEODETIC_DATUM_ASSUMED_WGS84"
