scientificName,commonName,recordCount,earliestYear,YearsSinceLastSeen,conservationPriority,InitialAssessment,CP,IS,HS,HE,NS20,NS50,NS100,preliminaryRiskRanking,notesAndrew,notesJudith,family,establishmentMeans,provincialStatus,nationalStatus,firstReported,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,lastReported,lastCollected,lastReportedBy,lastReportedSource,lastReportedCollectionNumber,lastReportedGBIF,reportingStatus,iNatObservationStatus,notes
Viola howellii,Howell's violet,1,1974,51,1,"conservation priority, Infrequently seen",10,1,0,0,1,1,0,13,conservation priority,,Violaceae,native,S1S2 (2019),NA,1974-05-29,Charles E. Beil,UBC,V176114,NA,1974-05-29,1974,Charles E. Beil,UBC,V176114,NA,reported,unobserved,
Isoetes occidentalis,western quillwort,4,1916,109,0,"strong historical evidence (>3 reports), not seen >100 years",0,1,1,1,1,1,1,6,"cryptic, habitat specialist",,,native,S5 (2019),NA,1916-08-30,"Macoun, James M.",CMN,CAN 5531,NA,2020-07-01,1916,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:279,NA,reported,unobserved,
Saxifraga cespitosa,tufted saxifrage,5,1916,109,0,"strong historical evidence (>3 reports), not seen >100 years",0,1,1,1,1,1,1,6,"locally rare, regionally infrequently occurring, habitat specialist",,Saxifragaceae,native,S4 (2015),NA,1916-08-06,F. Perry,UBC,V138424,NA,2020-07-01,1916,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:494,NA,reported,unobserved,UBC:  Garibaldi PP Sentinel Gl foreland
Potentilla villosa,northern cinquefoil,3,1913,112,0,"strong historical evidence (>3 reports), not seen >100 years",0,1,0,1,1,1,1,5,regionally infrequently occurring; may be marginal,,Rosaceae,native,S5 (2000),NA,1913-07-29,John Davidson,CPNWH,2543911,NA,2020-07-01,1913,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:438,NA,reported,unobserved,UBC:  Garibaldi PP Polemonium Ridge
Draba incerta,yellowstone draba,3,1913,112,0,"strong historical evidence (>3 reports), not seen >100 years",0,1,0,1,1,1,1,5,"regionally infrequently occurring; may be marginal, may be overlooked",,Brassicaceae,native,S5 (2019),NA,1913-07-30,W. Taylor,UBC,V12841,NA,2020-07-01,1913,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:185,NA,reported,unobserved,
Anemone parviflora,small-flower anemone,4,1913,112,0,"strong historical evidence (>3 reports), not seen >100 years",0,1,0,1,1,1,1,5,regionally infrequently occurring; may be marginal,,Ranunculaceae,native,S5,NA,1913-07-01,F. Perry,UBC,V34011,NA,2020-07-01,1913,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:28,NA,reported,unobserved,
Draba stenoloba,Alaska draba,4,1913,112,0,"strong historical evidence (>3 reports), not seen >100 years",0,1,0,1,1,1,1,5,may be marginal,,Brassicaceae,native,S5 (2019),NA,1913-07-30,John Davidson,UBC,V12795,NA,2020-07-01,1913,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:187,NA,reported,unobserved,"UBC:  Sphinx Gl. Forelands, Garibaldi PP"
Polemonium viscosum,sky pilot,6,1913,112,0,"strong historical evidence (>3 reports), not seen >100 years",0,1,0,1,1,1,1,5,,,Polemoniaceae,native,S3S4 (2001),NA,1913-08-03,W. Taylor,UBC,V194698,NA,2020-07-01,1913,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:418,NA,reported,unobserved,UBC:  Garibaldi PP Polemonium Ridge
Cherleria biflora,mountain sandwort,7,1913,112,0,"strong historical evidence (>3 reports), not seen >100 years",0,1,0,1,1,1,1,5,,,Caryophyllaceae,native,S5 (2015),NA,1913-08-01,John Davidson,UBC,V7625,NA,2020-07-01,1913,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:347,NA,reported,unobserved,UBC:  Garibaldi PP Sentinel Gl foreland
Stellaria longipes ssp. longipes,longstalk starwort,4,1912,113,0,"strong historical evidence (>3 reports), not seen >100 years",0,1,0,1,1,1,1,5,,,Caryophyllaceae,native,S5 (2000),NA,1912-05-11,Pam Ridge,UBC,V8200,NA,2020-07-01,1912,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:530,NA,reported,unobserved,UBC:  Garibaldi PP Black Tusk
Stellaria calycantha,northern starwort,9,1912,113,0,"strong historical evidence (>3 reports), not seen >100 years",0,1,0,1,1,1,1,5,,,Caryophyllaceae,native,S4S5 (2015),NA,1912-08-15,John Davidson,UBC,V43666,NA,2020-07-01,1912,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:526,NA,reported,unobserved,UBC:  Garibaldi PP Sphinx Gl foreland
Lepidium virginicum ssp. menziesii,tall pepper-grass,5,1966,59,0,"strong historical evidence (>3 reports), not seen >50 years",0,1,1,1,1,1,0,5,"likely overlooked, may be marginal, habitat specialist, restricted occurrence in lowland habitat (dry CWH)?",,Brassicaceae,native,S5 (2019),NA,1966-07-29,A. S. Harrison,CPNWH,2509132,NA,2020-07-01,1966,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:299,NA,reported,unobserved,
