"Taxon","Matched.Taxon"
"×elyhordeum stebbinsianum","× Elyhordeum stebbinsianum"
"Acer glabrum","Acer glabrum var. douglasii"
"Achillea millefolium","Achillea millefolium complex"
"Achillea millefolium borealis","Achillea millefolium complex"
"Achillea millefolium californica","Achillea millefolium complex"
"Achillea millefolium var. californica","Achillea millefolium complex"
"Achnatherum lemmonii var. lemmonii","Eriocoma lemmonii"
"Adiantum aleuticum","Adiantum aleuticum var. aleuticum"
"Adiantum aleuticum aleuticum","Adiantum aleuticum var. aleuticum"
"Adiantum aleuticum var aleuticum","Adiantum aleuticum var. aleuticum"
"Agoseris aurantiaca ssp. aurantiaca","Agoseris aurantiaca var. aurantiaca"
"Agoseris grandiflora","Agoseris grandiflora var. leptophylla"
"Agoseris grandiflora leptophylla","Agoseris grandiflora var. leptophylla"
"Agoseris heterophylla","Agoseris heterophylla ssp. heterophylla"
"Agoseris heterophylla heterophylla","Agoseris heterophylla ssp. heterophylla"
"Agoseris heterophylla var. heterophylla","Agoseris heterophylla ssp. heterophylla"
"Agropyron repens","Elymus repens"
"Agrostis palustris","Agrostis stolonifera"
"Allium cernuum var. cernuum","Allium cernuum"
"Alnus alnobetula","Alnus alnobetula ssp. sinuata"
"Alnus alnobetula ssp. fruticosa","Alnus alnobetula ssp. sinuata"
"Althaea rosea","Alcea rosea"
"Amelanchier alnifolia semiintegrifolia","Amelanchier alnifolia"
"Amsinckia retrorsa","Amsinckia menziesii"
"Anagallis arvensis","Lysimachia arvensis"
"Andromeda polifolia","Andromeda polifolia var. polifolia"
"Anemone lyallii","Anemonoides grayi"
"Anthoxanthum aristatum","Anthoxanthum aristatum ssp. aristatum"
"Anthoxanthum aristatum aristatum","Anthoxanthum aristatum ssp. aristatum"
"Anthoxanthum nitens","Anthoxanthum hirtum"
"Anthoxanthum puelii","Anthoxanthum aristatum ssp. aristatum"
"Aphyllon californicum","Aphyllon californicum ssp. californicum"
"Aquilegia formosa formosa","Aquilegia formosa"
"Arabis  glabra","Turritis glabra"
"Arceuthobium campylopodum","Arceuthobium tsugense ssp. contortae"
"Arceuthobium tsugense subsp. mertensianae","Arceuthobium tsugense ssp. mertensianae"
"Arctostaphylos x media","Arctostaphylos × media"
"Arctostaphylos x-media","Arctostaphylos × media"
"Arenaria serpyllifolia","Arenaria serpyllifolia var. serpyllifolia"
"Arrhenatherum elatius","Arrhenatherum elatius ssp. elatius"
"Artemisa campestris","Artemisia campestris ssp. pacifica"
"Artemisa suksdorfii","Artemisia suksdorfii"
"Artemisia norvegica saxatilis","Artemisia norvegica ssp. saxatilis"
"Aruncus dioicus","Aruncus dioicus var. acuminatus"
"Aruncus sylvester","Aruncus dioicus var. acuminatus"
"Asplenium trichomanes","Asplenium trichomanes ssp. trichomanes"
"Aster chilensis","Symphyotrichum chilense"
"Aster subspicatus","Symphyotrichum subspicatum"
"Athyrium alpestre var americanum","Athyrium distentifolium ssp. americanum"
"Athyrium distentifolium","Athyrium distentifolium ssp. americanum"
