"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1",3258884820,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS935934344","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","CA","445 Gower Point Rd, Gibsons CA-BC 49.39887, -123.50885","British Columbia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.39887,-123.50886,NA,NA,NA,NA,NA,NA,"2020-06-01T00:00:00",1,6,2020,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS935934344","","","","CC_BY_4_0","","obsr110763","","","2022-11-24T21:01:52.654Z","",""
"2",847330609,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD_CAN:OBS144154733","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","CA","Squamish River Estuary","British Columbia","PRESENT",27,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.70507,-123.17841,NA,NA,NA,NA,NA,NA,"2012-03-11T00:00:00",11,3,2012,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD_CAN","OBS144154733","","","","CC_BY_4_0","","obsr107745","","","2022-11-24T21:10:24.220Z","",""
"3",2668700911,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS715233363","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","CA","Brackendale--Cheakamus Centre","British Columbia","PRESENT",7,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.819218,-123.15384,NA,NA,NA,NA,NA,NA,"2019-02-24T00:00:00",24,2,2019,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS715233363","","","","CC_BY_4_0","","obsr555521","","","2022-11-24T21:12:27.038Z","",""
"4",2106661696,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS551750792","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","CA","Squamish River Estuary","British Columbia","PRESENT",32,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.70507,-123.17841,NA,NA,NA,NA,NA,NA,"2017-11-23T00:00:00",23,11,2017,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS551750792","","","","CC_BY_4_0","","obsr831609","","","2022-11-24T21:14:30.411Z","",""
"5",606376113,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD_CAN:OBS128290214","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","CA","Squamish River Estuary","British Columbia","PRESENT",21,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.70507,-123.17841,NA,NA,NA,NA,NA,NA,"2011-10-16T00:00:00",16,10,2011,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD_CAN","OBS128290214","","","","CC_BY_4_0","","obsr104795","","","2022-11-24T20:40:08.946Z","",""
"6",3566666224,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1216616227","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","CA","Langdale","British Columbia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.43388,-123.47894,NA,NA,NA,NA,NA,NA,"2021-08-12T00:00:00",12,8,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1216616227","","","","CC_BY_4_0","","obsr1514353","","","2022-11-24T20:59:20.322Z","",""
"7",2057813273,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD_CAN:OBS482258718","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","CA","Squamish River Estuary","British Columbia","PRESENT",30,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.70507,-123.17841,NA,NA,NA,NA,NA,NA,"2017-04-05T00:00:00",5,4,2017,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD_CAN","OBS482258718","","","","CC_BY_4_0","","obsr173519","","","2022-11-24T21:08:16.456Z","",""
"8",3947633825,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/139074603","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","CA","","British Columbia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",49.698884,-123.159777,136,NA,NA,NA,NA,NA,"2022-08-18T10:28:00",18,8,2022,9809229,9809229,"HUMAN_OBSERVATION","iNaturalist","Observations","139074603","","Ves","2022-10-17T03:17:54","CC_BY_NC_4_0","Ves","Ves","","","2022-12-09T20:30:06.252Z","StillImage","COORDINATE_ROUNDED"
"9",3564902085,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1242263165","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","CA","Squamish River Estuary -- East (of central channel)","British Columbia","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.690567,-123.16406,NA,NA,NA,NA,NA,NA,"2021-09-22T00:00:00",22,9,2021,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1242263165","","","","CC_BY_4_0","","obsr1432935","","","2022-11-24T20:59:20.323Z","",""
"10",2207759930,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS667884124","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris","","SPECIES","Sturnus vulgaris Linnaeus, 1758","Sturnus vulgaris","","CA","Furry Creek mouth (Oliver's Landing)","British Columbia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",49.583195,-123.22673,NA,NA,NA,NA,NA,NA,"2018-10-18T00:00:00",18,10,2018,9809229,9809229,"HUMAN_OBSERVATION","CLO","EBIRD","OBS667884124","","","","CC_BY_4_0","","obsr831609","","","2022-11-24T21:00:51.511Z","",""
