Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Acarospora fuscata,(Schrader) Arnold,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Acarosporales,,,Acarosporaceae,,,Acarospora,fuscata,,,,,,,reported,unobserved,1964-05-10,George Otto,UBC,232-1,,,,,,182542,LIC
Alectoria imshaugii,Brodo & D. Hawksw.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,,Alectoria,imshaugii,,,,,,,reported,unobserved,1974-06-19,C. Beil,UBC,552,,,,,,179862,LIC
Alectoria sarmentosa,(Ach.) Ach.,,witch's hair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Alectoria,sarmentosa,,,,native,S5 (2018),,confirmed,observed,1916-06,J. Macoun,UBC,s.n.,,2017-05-07,judithofsquamish,https://www.inaturalist.org/observations/8899112,,126626,LIC
Alectoria vancouverensis,(Gyelnik) Gyelnik ex Brodo & D. Hawksw,,Vancouver witch's hair lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,Alectoria,vancouverensis,,,,native,S4 (2018),,new 2021,observed,,,,,,2021-01-07,gwenlh,https://www.inaturalist.org/observations/69402015,,205455,LIC
Arthrorhaphis citrinella,(Ach.) Poelt,,,Fungi,Ascomycota,,,Lecanoromycetes,,,,,,Arthrorhaphidaceae,,,Arthrorhaphis,citrinella,,,,,,,reported,unobserved,1962-08-16,George Otto,UBC,s.n.,,,,,,205500,LIC
Aspicilia sp.,A. Massal.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Pertusariales,,,Megasporaceae,,,Aspicilia,NA,,,,,,,reported,unobserved,2009-05-11,W. R. Buck,NY,54782,,,,,,175944,LIC
Baeomyces rufus,(Hudson) Rebent.,,brown beret lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Baeomycetales,,,Baeomycetaceae,,,Baeomyces,rufus,,,,native,S5 (2018),,confirmed,observed,1961-02-25,W.B. Schofield,UBC,13159,,2021-01-09,gwenlh,https://www.inaturalist.org/observations/67830145,,180422,LIC
Blastenia ammiospila,(Wahlenb.) H. Olivier,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Teloschistales,,,Teloschistaceae,,,Blastenia,ammiospila,,,,,,,reported,unobserved,1969-07-11,"Ohlsson, K.",MIN,574,,,,,,508845,LIC
Bryoria fremontii,(Tuck.) Brodo & D. Hawksw.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,,Bryoria,fremontii,,,,,,,reported,unobserved,1916-06,J. Macoun,UBC,s.n.,,,,,,205663,LIC
Bryoria fuscescens,(Gyel.) Brodo & D. Hawksw.,,pale-footed horsehair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,Bryoria,fuscescens,,,,native,S5 (2018),,reported,unobserved,1964-09-01,V.J. Krajina,UBC,s.n.,,,,,,117927,LIC
Bryoria glabra,(Motyka) Brodo & D. Hawksw.,,wire horsehair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,Bryoria,glabra,,,,native,S5 (2018),,reported,unobserved,1969-07-12,"Ohlsson, Karl E",MSC,733,,,,,,205668,LIC
Bryoria pseudofuscescens,(Gyelnik) Brodo & D. Hawksw.,,mountain horsehair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,Bryoria,pseudofuscescens,,,,native,S5 (2018),,reported,unobserved,1916-06,J. Macoun,UBC,443,,,,,,205673,LIC
Bryoria trichodes,NA,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,,Bryoria,trichodes,,,,,,,reported,unobserved,1916-06,J. Macoun,UBC,446,,,,,,182663,LIC
Buellia griseovirens,(Turner & Borrer ex Sm.) Almb.,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Caliciales,,,Caliciaceae,,,Buellia,griseovirens,,,,,,,reported,unobserved,1989-09-17,T. T�nsberg,BG,12915,,,,,,215538,LIC
Candelariella sp.,M�ll. Arg.,,,Fungi,Ascomycota,,,Candelariomycetes,,,Candelariales,,,Candelariaceae,,,Candelariella,NA,,,,,,,reported,unobserved,1989-09-17,T. T�nsberg,BG,12919,,,,,,155094,LIC
Cetraria aculeata,(Schreb.) Link,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,,Cetraria,aculeatum,,,,,,,reported,unobserved,1964-10-16,W.B. Schofield,UBC,26073,,,,,,54351,LIC
Cetraria ericetorum,(R�s�nen) K�rnefelt,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,,Cetraria,ericetorum,,,,,,,reported,unobserved,1964-09-20,George Otto,UBC,336,,,,,,210376,LIC
