scientificName,records,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,firstReported,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,lastReported,lastReportedBy,lastReportedSource,lastReportedCollectionNumber,lastReportedGBIF,recordCount,reportingStatus,iNatObservationStatus,notes,ID,statsCode
Juncus conglomeratus,no,L.,,compact rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus conglomeratus,,,,exotic,SNA (2000),,2007-11-13,Peter F. Zika,CIC,CIC: 41809,,,,,,,,reported,unobserved,"College of Idaho:  Near Exit 5 on route 1, near junction of Westport Road and Northwood Drive, above the N shore of English Bay Elev. 175 m.",204335,VAS
Spergularia marina,no,J. & K. Presl,,salt marsh sand-spurry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,,Spergularia,Spergularia marina,,,,exotic,SNA (2019),,1940-09-05,,RBCM,V013435,,,,,,,,reported,unobserved,RBCM:  West Vancouver; original record S. salina,79169,VAS
Barbarea verna,no,(P. Mill.) Asch.,,early wintercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,,Barbarea,Barbarea verna,,,,exotic,SNA (2019),,1943-05-23,,RBCM,V016333,,,,,,,,reported,unobserved,RBCM:  West Vancouver,71136,VAS
Silene menziesii,no,Hook.,,Menzies' catchfly,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,,Silene,Silene menziesii,,,,native,S5 (2019),,1928-06-03,,RBCM,V038481,,,,,,,,reported,unobserved,RBCM:  West Vancouver,79111,VAS
Arabidopsis lyrata ssp. kamchatica,no,(L.) O'Kane & Al-Shehbaz,(Fisch. ex DC.) O'Kane & Al-Shehbaz,lyreleaf rockcress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,,Arabidopsis,Arabidopsis lyrata,,kamchatica,,native,S4 (2001,,1914-08-05,John Davidson,UBC,V12369,,,,,,,,reported,unobserved,UBC: Arabidopsis kamchatica,333497,VAS
Antennaria rosea ssp. pulvinata,no,Greene,(Greene) R.J.Bayer,pulvinate pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Antennaria,Antennaria rosea,,pulvinata,,native,S4S5 (2016),,1938-08-12,John W. Eastham,UBC,V125197,,,,,,,,reported,unobserved,,444567,VAS
Centaurium erythraea,no,Rafn,,common centaury,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Gentianaceae,,,Centaurium,Centaurium erythraea,,,,exotic,SNA (2019),,1989-07-18,,RBCM,V158284B,,,,,,,,reported,unobserved,RBCM:   C. umbellatum,56236,VAS
Carex micropoda,no,Wahlenb.,,Pyrenean sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Carex,Carex micropoda,,,,native,S5 (2015),,1965-07-22,B. Fraser,UBC,V161040,,,,,,,,reported,unobserved,UBC:  herbarium record C. pyrenaica,520225,VAS
Liriodendron tulipifera,no,L.,,tuliptree,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Magnoliales,,,Magnoliaceae,,,Liriodendron,Liriodendron tulipifera,,,,exotic,,,1978-08-15,John Pinder-Moss,UBC,V166523,,,,,,,,reported,unobserved,"UBC:  Gambier Island Camp Artaban, likely PLANTED",53582,VAS
Juglans regia,no,L.,,persian walnut,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Juglandaceae,,,Juglans,Juglans regia,,,,exotic,SNA,,1978-08-15,John Pinder-Moss,UBC,V166524,,,,,,,,reported,unobserved,UBC:  Gambier Id Camp Artaban,63935,VAS
Luzula campestris,no,(L.) DC.,,field woodrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Luzula,Luzula campestris,,,,exotic,SNA (2001),,1973-08-01,Charles E. Beil,UBC,V176060,,,,,,,,reported,unobserved,UBC:  Bowen Island,55795,VAS
Bromus inermis,no,Leyss.,,smooth brome,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,,Bromus,Bromus inermis,,,,exotic,SNA (2000),,1979-06-06,G.E. Bradfield,UBC,V190183,,,,,,,,reported,unobserved,,75903,VAS
Hieracium atratum,no,Fr.,,polar hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Hieracium,Hieracium atratum,,,,exotic,unlisted,,1989-06-01,Frank Lomer,UBC,V200111,,,,,,,,reported,unobserved,"not in iNaturalist, FNA, but H. pseudoatratum is 897001; is in I.T.I.S.; UBC: near #99 at Horseshoe Bay",1248466,VAS
Agrostis thurberiana,no,Hitchc.,,Thurber's bentgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,,Agrostis,Agrostis thurberiana,,,,native,,,1960-08-22,E.B. Peterson,UBC,V206759,,,,,,,,reported,unobserved,UBC: Podagrostis thurberiana,158141,VAS
Poa compressa,no,L.,,flattened meadow-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Poa,Poa compressa,,,,exotic,SNA (2005),,2016-07-28,Terry Taylor,UBC,V244884,,,,,,,,reported,unobserved,UBC:  Cypress PP Yew Lake,78636,VAS
Cotoneaster sternianus,no,(Turrill) Boom,,Stern's cotoneaster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,,Cotoneaster,Cotoneaster sternianus,,,,exotic,SNA,,2015-05-30,Frank Lomer,UBC,V246595,,,,,,,,reported,unobserved,,791250,VAS
Salicornia depressa,no,Standl.,,Virginia glasswort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Chenopodioideae,,Salicornia,Salicornia depressa,,,,native,S4 (2015),,1933-07-30,H.B. Brown,UBC,V41601,,,,,,,,reported,unobserved,UBC:  Caulfield Burrard,78930,VAS
Anthemis cotula,no,L.,,stinking chamomile,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Anthemis,Anthemis cotula,,,,exotic,SNA (2001),,1911-07-02,John Davidson,UBC,V44823,,,,,,,,reported,unobserved,,52841,VAS
Saxifraga bronchialis ssp. bronchialis,no,Wiegand,,matte saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,,Saxifraga,Saxifraga bronchialis,,bronchialis,,native,S5,,1913-08-07,A. E. Baggs,UBC,V47152,,,,,,,,reported,unobserved,,1074756,VAS
Potentilla × diversifolia,no,Lehm.,,mountain meadow cinquefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,,Potentilla,Potentilla ,Potentilla × diversifolia,,,native,S5 (2020),,1912-08-11,John Davidson,UBC,V62782,,,,,,,,reported,unobserved,Reported as Potentilla diversifolia,167348,VAS
Antennaria parvifolia,no,Nutt.,,small-leaf pussytoes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Antennaria,Antennaria parvifolia,,,,native,S5 (2015),,1955-06-16,V. J. Krajina,UBC,V80232,,,,,,,,reported,unobserved,,158414,VAS
Viola nephrophylla,no,Greene,,northern bog violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,,Viola,Viola nephrophylla,,,,native,S4 (2015),,1913-05-31,F. Perry,UBC,V80672,,,,,,,,reported,unobserved,UBC:  Gambier Id. (herbarium record updated from V. sororia which is native to Eastern NA),79513,VAS
