@@,area,Family,Species,iNatTaxon,HJ_comment,FPNW_note,First_record_year,First_record_observer,First_Record_Institution_ID,First_Record_Collection_No,First_Record_Location,critical_comments,reviewed,review_status,annotation_status
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,saanich,Cabombaceae,Brasenia schreberi,Brasenia schreberi,Margins of shallow lakes; sporadic; Saanich and the Highland district. TCB Glen Lake 1989.,,1989-09-03,T.C. Brayshaw,RCBM,V151694,Victoria; Glen Lake,TL,,remaining,remaining
->,saanich,Cactaceae,Opuntia fragilis,Opuntia fragilis,"Open, dry ground; first recorded from Gordon Head, where it was collected by Phipps in 1898; occasional in Gordon Head and the Beacon Hill area.",,1898,Phipps,FSP,P. 73->p. 73,Gordon Head,TL->FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison 1972 TL,,remaining,remaining
,saanich,Cactaceae,Opuntia polyacantha,Opuntia polyacantha,Reported from Cordova Bay by M. C. Melburn in 1953; specimen not examined. No coast collections found.,,,,,,,"TL: Previously, two species of Opuntia were recognized as present in British Columbia: O. fragilis and O. polyacantha.  However, the BC Conservation Data Centre, and E-Flora BC, follow Flora North America, and no longer recognize O. polyacantha as present in the province.",,remaining,remaining
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,saanich,Caryophyllaceae,Moenchia erecta,Moenchia erecta,"Native of Europe; locally abundant; Uplands, Beacon Hill and Thetis Lake Park. FL Iroquois Park, Sidney 1995.",,1948-05-16,V.C. Brink,UBC,V121389,Victoria: Uplands,TL,,remaining,remaining
->,saanich,Caryophyllaceae,Petrorhagia saxifraga,Petrorhagia saxifraga,"Lomer, Penny, Douglas Malahat summit roadside 1999. Out side area.",,1999-07-14,F. Lomer,UBC,V234438,"Vancouver Island, Malahat Highway (Highway 1), 50 m east of, 3.6 km north of Malahat Highway Summit, 100 m north of 3rd lookout, ca. 15 km northwest of Victoria.
        ->Malahat Highway (Highway 1), 50 m east of, 3.6 km north of Malahat Highway Summit, 100 m north of 3rd lookout, ca. 15 km northwest of Victoria. TL
        ",Note: outside area. TL,,remaining,remaining
,saanich,Caryophyllaceae,Polycarpon tetraphyllum,Polycarpon tetraphyllum,"Rocky outcrop on beach, McNeil Bay Harrison 1967. FL near Oak Bay Marina 2009.",,1967-05-18,A.S. Harrison,UBC,V143630,"Victoria, McNeil Bay, south of Anderson Hill",TL,,remaining,remaining
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,saanich,Caryophyllaceae,Sabulina pusilla,Sabulina pusilla,A&OC 1977 Rocky Point collection not within area.,,1977-05-07,A.&O. Ceska,RBCM,V153580,Rocky Point; Church Hill,TL,,remaining,remaining
